Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,HOU,15.0,54.0,Home,39.0,54.0,54.0,44.109756097560975
2022-10-21,ORL,10.0,44.0,Home,34.0,49.0,98.0,54.0
2022-10-23,CHO,14.0,52.0,Home,38.0,50.0,150.0,49.0
2022-10-26,DET,10.0,40.0,Away,30.0,47.5,190.0,50.0
2022-10-28,DET,14.0,42.0,Away,28.0,46.4,232.0,47.5
2022-10-29,MIL,14.0,49.0,Away,35.0,46.833333333333336,281.0,46.4
2022-10-31,TOR,12.0,44.0,Away,32.0,46.42857142857143,325.0,46.833333333333336
2022-11-02,NYK,12.0,52.0,Away,40.0,47.125,377.0,46.42857142857143
2022-11-05,NOP,19.0,59.0,Home,40.0,48.44444444444444,436.0,47.125
2022-11-07,MIL,6.0,41.0,Home,35.0,47.7,477.0,48.44444444444444
2022-11-09,UTA,13.0,47.0,Home,34.0,47.0,524.0,47.7
2022-11-10,PHI,9.0,45.0,Home,36.0,47.1,569.0,47.0
2022-11-12,PHI,2.0,31.0,Away,29.0,45.0,600.0,47.1
2022-11-14,MIL,11.0,46.0,Away,35.0,45.6,646.0,45.0
2022-11-16,BOS,6.0,49.0,Home,43.0,46.3,695.0,45.6
2022-11-19,TOR,17.0,51.0,Home,34.0,46.5,746.0,46.3
2022-11-21,CLE,3.0,37.0,Away,34.0,45.8,783.0,46.5
2022-11-23,SAC,10.0,48.0,Home,38.0,45.4,831.0,45.8
2022-11-25,HOU,22.0,59.0,Away,37.0,45.4,890.0,45.4
2022-11-27,MIA,6.0,46.0,Home,40.0,45.9,936.0,45.4
2022-11-28,PHI,10.0,37.0,Away,27.0,44.9,973.0,45.9
2022-11-30,ORL,6.0,33.0,Away,27.0,43.7,1006.0,44.9
2022-12-02,DEN,9.0,33.0,Home,24.0,43.9,1039.0,43.7
2022-12-05,OKC,14.0,49.0,Home,35.0,44.2,1088.0,43.9
2022-12-07,NYK,13.0,55.0,Away,42.0,44.8,1143.0,44.2
2022-12-09,BRK,9.0,38.0,Away,29.0,43.5,1181.0,44.8
2022-12-11,CHI,13.0,53.0,Home,40.0,45.1,1234.0,43.5
2022-12-12,MEM,5.0,49.0,Away,44.0,45.2,1283.0,45.1
2022-12-14,ORL,14.0,46.0,Away,32.0,43.9,1329.0,45.2
2022-12-16,CHO,15.0,43.0,Away,28.0,43.6,1372.0,43.9
2022-12-19,ORL,10.0,45.0,Home,35.0,44.4,1417.0,43.6
2022-12-21,CHI,8.0,47.0,Home,39.0,45.8,1464.0,44.4
2022-12-23,DET,9.0,43.0,Home,34.0,46.8,1507.0,45.8
2022-12-27,IND,7.0,49.0,Away,42.0,46.8,1556.0,46.8
2022-12-28,BRK,5.0,47.0,Home,42.0,46.0,1603.0,46.8
2022-12-30,LAL,12.0,55.0,Home,43.0,47.7,1658.0,46.0
2023-01-02,GSW,23.0,69.0,Away,46.0,49.3,1727.0,47.7
2023-01-04,SAC,10.0,42.0,Away,32.0,48.6,1769.0,49.3
2023-01-06,LAL,7.0,51.0,Away,44.0,49.1,1820.0,48.6
2023-01-08,LAC,21.0,59.0,Away,38.0,50.7,1879.0,49.1
2023-01-11,MIL,14.0,57.0,Home,43.0,51.9,1936.0,50.7
2023-01-13,IND,19.0,51.0,Away,32.0,52.3,1987.0,51.9
2023-01-14,TOR,11.0,43.0,Away,32.0,52.3,2030.0,52.3
2023-01-16,MIA,12.0,41.0,Home,29.0,51.5,2071.0,52.3
2023-01-18,DAL,10.0,31.0,Away,21.0,49.9,2102.0,51.5
2023-01-20,NYK,9.0,34.0,Home,25.0,47.8,2136.0,49.9
2023-01-21,CHO,6.0,36.0,Home,30.0,44.5,2172.0,47.8
2023-01-23,CHI,15.0,47.0,Away,32.0,45.0,2219.0,44.5
2023-01-25,OKC,12.0,37.0,Away,25.0,43.6,2256.0,45.0
2023-01-28,LAC,6.0,37.0,Home,31.0,41.4,2293.0,43.6
2023-01-30,POR,3.0,32.0,Away,29.0,38.9,2325.0,41.4
2023-02-01,PHO,12.0,44.0,Away,32.0,38.2,2369.0,38.9
2023-02-03,UTA,13.0,50.0,Away,37.0,38.9,2419.0,38.2
2023-02-04,DEN,12.0,48.0,Away,36.0,39.6,2467.0,38.9
2023-02-07,NOP,13.0,47.0,Away,34.0,41.2,2514.0,39.6
2023-02-09,PHO,9.0,35.0,Home,26.0,41.3,2549.0,41.2
