Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-26,DET,10.0,40.0,Away,30.0,,40.0
2022-10-28,DET,14.0,42.0,Away,28.0,,82.0
2022-10-29,MIL,14.0,49.0,Away,35.0,,131.0
2022-10-31,TOR,12.0,44.0,Away,32.0,,175.0
2022-11-02,NYK,12.0,52.0,Away,40.0,,227.0
2022-11-12,PHI,2.0,31.0,Away,29.0,,258.0
2022-11-14,MIL,11.0,46.0,Away,35.0,,304.0
2022-11-21,CLE,3.0,37.0,Away,34.0,,341.0
2022-11-25,HOU,22.0,59.0,Away,37.0,,400.0
2022-11-28,PHI,10.0,37.0,Away,27.0,43.7,437.0
2022-11-30,ORL,6.0,33.0,Away,27.0,43.0,470.0
2022-12-07,NYK,13.0,55.0,Away,42.0,44.3,525.0
2022-12-09,BRK,9.0,38.0,Away,29.0,43.2,563.0
2022-12-12,MEM,5.0,49.0,Away,44.0,43.7,612.0
2022-12-14,ORL,14.0,46.0,Away,32.0,43.1,658.0
2022-12-16,CHO,15.0,43.0,Away,28.0,44.3,701.0
2022-12-27,IND,7.0,49.0,Away,42.0,44.6,750.0
2023-01-02,GSW,23.0,69.0,Away,46.0,47.8,819.0
2023-01-04,SAC,10.0,42.0,Away,32.0,46.1,861.0
2023-01-06,LAL,7.0,51.0,Away,44.0,47.5,912.0
2023-01-08,LAC,21.0,59.0,Away,38.0,50.1,971.0
2023-01-13,IND,19.0,51.0,Away,32.0,49.7,1022.0
2023-01-14,TOR,11.0,43.0,Away,32.0,50.2,1065.0
2023-01-18,DAL,10.0,31.0,Away,21.0,48.4,1096.0
2023-01-23,CHI,15.0,47.0,Away,32.0,48.5,1143.0
2023-01-25,OKC,12.0,37.0,Away,25.0,47.9,1180.0
2023-01-30,POR,3.0,32.0,Away,29.0,46.2,1212.0
2023-02-01,PHO,12.0,44.0,Away,32.0,43.7,1256.0
2023-02-03,UTA,13.0,50.0,Away,37.0,44.5,1306.0
2023-02-04,DEN,12.0,48.0,Away,36.0,44.2,1354.0
2023-02-07,NOP,13.0,47.0,Away,34.0,43.0,1401.0
2023-02-13,CHO,3.0,35.0,Away,32.0,41.4,1436.0
2023-03-04,MIA,12.0,43.0,Away,31.0,41.4,1479.0
2023-03-06,MIA,8.0,32.0,Away,24.0,41.5,1511.0
2023-03-08,WAS,6.0,39.0,Away,33.0,40.7,1550.0
2023-03-10,WAS,7.0,43.0,Away,36.0,41.3,1593.0
2023-03-19,SAS,10.0,41.0,Away,31.0,42.2,1634.0
2023-03-22,MIN,11.0,42.0,Away,31.0,42.0,1676.0
2023-03-31,BRK,9.0,41.0,Away,32.0,41.1,1717.0
2023-04-04,CHI,6.0,32.0,Away,26.0,39.5,1749.0
2023-04-09,BOS,12.0,47.0,Away,35.0,39.5,1796.0
