Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-21,MIA,11.0,36.0,Away,25.0,,36.0
2022-10-22,ORL,12.0,48.0,Away,36.0,,84.0
2022-10-24,CHI,14.0,60.0,Away,46.0,,144.0
2022-11-02,CLE,9.0,51.0,Away,42.0,,195.0
2022-11-05,NYK,12.0,44.0,Away,32.0,,239.0
2022-11-07,MEM,8.0,45.0,Away,37.0,,284.0
2022-11-12,DET,11.0,50.0,Away,39.0,,334.0
2022-11-16,ATL,14.0,45.0,Away,31.0,,379.0
2022-11-18,NOP,7.0,37.0,Away,30.0,,416.0
2022-11-21,CHI,8.0,51.0,Away,43.0,46.7,467.0
2022-12-04,BRK,11.0,45.0,Away,34.0,47.6,512.0
2022-12-05,TOR,12.0,46.0,Away,34.0,47.4,558.0
2022-12-07,PHO,13.0,49.0,Away,36.0,46.3,607.0
2022-12-10,GSW,11.0,53.0,Away,42.0,46.5,660.0
2022-12-12,LAC,11.0,46.0,Away,35.0,46.7,706.0
2022-12-13,LAL,7.0,49.0,Away,42.0,47.1,755.0
2023-01-01,DEN,1.0,35.0,Away,34.0,45.6,790.0
2023-01-03,OKC,9.0,44.0,Away,35.0,45.5,834.0
2023-01-05,DAL,11.0,42.0,Away,31.0,46.0,876.0
2023-01-07,SAS,12.0,51.0,Away,39.0,46.0,927.0
2023-01-12,BRK,4.0,31.0,Away,27.0,44.6,958.0
2023-01-14,CHO,10.0,46.0,Away,36.0,44.6,1004.0
2023-01-16,CHO,13.0,38.0,Away,25.0,43.5,1042.0
2023-01-21,TOR,6.0,41.0,Away,35.0,42.3,1083.0
2023-01-23,ORL,8.0,40.0,Away,32.0,41.7,1123.0
2023-01-24,MIA,14.0,51.0,Away,37.0,41.9,1174.0
2023-02-06,DET,9.0,42.0,Away,33.0,42.6,1216.0
2023-02-14,MIL,10.0,52.0,Away,42.0,43.4,1268.0
2023-02-23,IND,10.0,37.0,Away,27.0,42.9,1305.0
2023-02-25,PHI,8.0,42.0,Away,34.0,42.0,1347.0
2023-02-27,NYK,7.0,44.0,Away,37.0,43.3,1391.0
2023-03-06,CLE,16.0,58.0,Away,42.0,44.5,1449.0
2023-03-11,ATL,13.0,48.0,Away,35.0,45.5,1497.0
2023-03-13,HOU,15.0,48.0,Away,33.0,46.2,1545.0
2023-03-15,MIN,8.0,46.0,Away,38.0,46.8,1591.0
2023-03-17,POR,8.0,37.0,Away,29.0,45.4,1628.0
2023-03-18,UTA,17.0,56.0,Away,39.0,46.8,1684.0
2023-03-21,SAC,10.0,42.0,Away,32.0,45.8,1726.0
2023-03-28,WAS,6.0,43.0,Away,37.0,46.4,1769.0
2023-03-30,MIL,15.0,45.0,Away,30.0,46.7,1814.0
2023-04-04,PHI,6.0,37.0,Away,31.0,46.0,1851.0
