Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-24,MEM,12.0,38.0,Away,26.0,38.0,38.0,44.75609756097561
2022-10-26,MIL,14.0,54.0,Away,40.0,46.0,92.0,38.0
2022-11-04,WAS,7.0,39.0,Away,32.0,43.666666666666664,131.0,46.0
2022-11-05,CHO,13.0,50.0,Away,37.0,45.25,181.0,43.666666666666664
2022-11-07,DAL,12.0,41.0,Away,29.0,44.4,222.0,45.25
2022-11-12,LAC,10.0,46.0,Away,36.0,44.666666666666664,268.0,44.4
2022-11-13,LAL,12.0,45.0,Away,33.0,44.714285714285715,313.0,44.666666666666664
2022-11-15,SAC,9.0,43.0,Away,34.0,44.5,356.0,44.714285714285715
2022-11-17,POR,8.0,39.0,Away,31.0,43.888888888888886,395.0,44.5
2022-11-22,PHI,20.0,49.0,Away,29.0,44.4,444.0,43.888888888888886
2022-11-23,TOR,23.0,52.0,Away,29.0,45.8,496.0,44.4
2022-11-25,IND,5.0,41.0,Away,36.0,44.5,537.0,45.8
2022-12-10,IND,7.0,30.0,Away,23.0,43.6,567.0,44.5
2022-12-12,WAS,6.0,44.0,Away,38.0,43.0,611.0,43.6
2022-12-16,TOR,7.0,32.0,Away,25.0,42.1,643.0,43.0
2022-12-18,DET,11.0,41.0,Away,30.0,41.6,684.0,42.1
2022-12-26,CLE,10.0,33.0,Away,23.0,40.4,717.0,41.6
2022-12-28,ATL,11.0,47.0,Away,36.0,40.8,764.0,40.4
2022-12-31,CHO,14.0,45.0,Away,31.0,41.4,809.0,40.8
2023-01-04,CHI,6.0,46.0,Away,40.0,41.1,855.0,41.4
2023-01-06,NOP,14.0,51.0,Away,37.0,41.0,906.0,41.1
2023-01-08,MIA,16.0,41.0,Away,25.0,41.0,947.0,41.0
2023-01-17,SAS,13.0,54.0,Away,41.0,43.4,1001.0,41.0
2023-01-19,PHO,12.0,49.0,Away,37.0,43.9,1050.0,43.4
2023-01-20,UTA,13.0,46.0,Away,33.0,45.3,1096.0,43.9
2023-01-22,GSW,10.0,42.0,Away,32.0,45.4,1138.0,45.3
2023-01-25,PHI,11.0,36.0,Away,25.0,45.7,1174.0,45.4
2023-02-01,BOS,11.0,57.0,Away,46.0,46.7,1231.0,45.7
2023-02-13,NYK,6.0,38.0,Away,32.0,46.0,1269.0,46.7
2023-02-24,CHI,12.0,57.0,Away,45.0,47.1,1326.0,46.0
2023-02-26,ATL,13.0,46.0,Away,33.0,46.6,1372.0,47.1
2023-03-01,NYK,7.0,46.0,Away,39.0,47.1,1418.0,46.6
2023-03-03,BOS,9.0,48.0,Away,39.0,46.5,1466.0,47.1
2023-03-07,HOU,15.0,48.0,Away,33.0,46.4,1514.0,46.5
2023-03-09,MIL,20.0,61.0,Away,41.0,47.9,1575.0,46.4
2023-03-10,MIN,12.0,47.0,Away,35.0,48.4,1622.0,47.9
2023-03-12,DEN,15.0,49.0,Away,34.0,49.7,1671.0,48.4
2023-03-14,OKC,14.0,51.0,Away,37.0,49.1,1722.0,49.7
2023-03-25,MIA,8.0,32.0,Away,24.0,48.5,1754.0,49.1
2023-03-26,ORL,9.0,47.0,Away,38.0,47.5,1801.0,48.5
2023-04-05,DET,9.0,34.0,Away,25.0,46.3,1835.0,47.5
