Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,MIA,8.0,46.0,Away,38.0,46.0,46.0,43.73170731707317
2022-10-21,WAS,5.0,39.0,Away,34.0,42.5,85.0,46.0
2022-10-28,SAS,8.0,42.0,Away,34.0,42.333333333333336,127.0,42.5
2022-11-01,BRK,4.0,38.0,Away,34.0,41.25,165.0,42.333333333333336
2022-11-04,BOS,7.0,39.0,Away,32.0,40.8,204.0,41.25
2022-11-06,TOR,23.0,52.0,Away,29.0,42.666666666666664,256.0,40.8
2022-11-16,NOP,12.0,46.0,Away,34.0,43.142857142857146,302.0,42.666666666666664
2022-11-23,MIL,11.0,48.0,Away,37.0,43.75,350.0,43.142857142857146
2022-11-25,OKC,10.0,50.0,Away,40.0,44.44444444444444,400.0,43.75
2022-11-28,UTA,9.0,45.0,Away,36.0,44.5,445.0,44.44444444444444
2022-11-30,PHO,10.0,46.0,Away,36.0,44.5,491.0,44.5
2022-12-02,GSW,7.0,50.0,Away,43.0,45.6,541.0,44.5
2022-12-04,SAC,5.0,46.0,Away,41.0,46.0,587.0,45.6
2022-12-11,ATL,8.0,45.0,Away,37.0,46.7,632.0,46.0
2022-12-18,MIN,4.0,39.0,Away,35.0,46.7,671.0,46.7
2022-12-20,MIA,9.0,35.0,Away,26.0,45.0,706.0,46.7
2022-12-21,ATL,9.0,47.0,Away,38.0,45.1,753.0,45.0
2022-12-23,NYK,12.0,47.0,Away,35.0,45.0,800.0,45.1
2023-01-02,CLE,13.0,47.0,Away,34.0,44.7,847.0,45.0
2023-01-06,PHI,12.0,38.0,Away,26.0,44.0,885.0,44.7
2023-01-09,BOS,9.0,50.0,Away,41.0,44.4,935.0,44.0
2023-01-11,WAS,12.0,52.0,Away,40.0,44.6,987.0,44.4
2023-01-19,DET,17.0,49.0,Away,32.0,44.9,1036.0,44.6
2023-01-24,IND,14.0,45.0,Away,31.0,44.9,1081.0,44.9
2023-01-26,CHO,6.0,52.0,Away,46.0,46.2,1133.0,44.9
2023-01-28,ORL,6.0,36.0,Away,30.0,46.3,1169.0,46.2
2023-02-07,MEM,5.0,39.0,Away,34.0,45.5,1208.0,46.3
2023-02-09,BRK,11.0,49.0,Away,38.0,45.7,1257.0,45.5
2023-02-11,CLE,10.0,39.0,Away,29.0,44.9,1296.0,45.7
2023-02-15,IND,6.0,41.0,Away,35.0,45.2,1337.0,44.9
2023-02-28,TOR,19.0,47.0,Away,28.0,44.9,1384.0,45.2
2023-03-01,DET,7.0,40.0,Away,33.0,43.7,1424.0,44.9
2023-03-08,DEN,11.0,44.0,Away,33.0,43.2,1468.0,43.7
2023-03-11,HOU,6.0,33.0,Away,27.0,42.0,1501.0,43.2
2023-03-20,PHI,9.0,54.0,Away,45.0,42.2,1555.0,42.0
2023-03-24,POR,8.0,31.0,Away,23.0,41.7,1586.0,42.2
2023-03-26,LAL,8.0,38.0,Away,30.0,41.6,1624.0,41.7
2023-03-27,LAC,6.0,37.0,Away,31.0,40.4,1661.0,41.6
2023-03-31,CHO,4.0,36.0,Away,32.0,40.1,1697.0,40.4
2023-04-05,MIL,13.0,53.0,Away,40.0,41.3,1750.0,40.1
2023-04-07,DAL,7.0,43.0,Away,36.0,40.9,1793.0,41.3
