Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,SAS,14.0,44.0,Away,30.0,44.0,44.0,46.36585365853659
2022-10-23,ATL,16.0,45.0,Away,29.0,44.5,89.0,44.0
2022-10-26,NYK,12.0,46.0,Away,34.0,45.0,135.0,44.5
2022-10-28,ORL,5.0,48.0,Away,43.0,45.75,183.0,45.0
2022-11-02,CHI,11.0,51.0,Away,40.0,46.8,234.0,45.75
2022-11-04,MEM,18.0,60.0,Away,42.0,49.0,294.0,46.8
2022-11-10,MIA,8.0,38.0,Away,30.0,47.42857142857143,332.0,49.0
2022-11-12,MIA,9.0,46.0,Away,37.0,47.25,378.0,47.42857142857143
2022-11-14,ORL,22.0,48.0,Away,26.0,47.333333333333336,426.0,47.25
2022-11-18,CLE,7.0,50.0,Away,43.0,47.6,476.0,47.333333333333336
2022-11-20,WAS,14.0,49.0,Away,35.0,48.1,525.0,47.6
2022-11-28,BOS,9.0,39.0,Away,30.0,47.5,564.0,48.1
2022-12-07,BRK,5.0,39.0,Away,34.0,46.8,603.0,47.5
2022-12-11,PHI,9.0,41.0,Away,32.0,46.1,644.0,46.8
2022-12-18,DEN,15.0,55.0,Away,40.0,46.5,699.0,46.1
2022-12-19,SAC,10.0,42.0,Away,32.0,44.7,741.0,46.5
2022-12-21,LAC,5.0,48.0,Away,43.0,45.7,789.0,44.7
2022-12-23,LAL,12.0,42.0,Away,30.0,45.3,831.0,45.7
2022-12-26,POR,10.0,50.0,Away,40.0,45.5,881.0,45.3
2022-12-27,GSW,9.0,49.0,Away,40.0,45.4,930.0,45.5
2023-01-06,MIL,12.0,45.0,Away,33.0,45.0,975.0,45.4
2023-01-08,IND,8.0,41.0,Away,33.0,45.2,1016.0,45.0
2023-01-10,TOR,18.0,49.0,Away,31.0,46.2,1065.0,45.2
2023-01-12,TOR,8.0,32.0,Away,24.0,45.3,1097.0,46.2
2023-01-18,HOU,12.0,47.0,Away,35.0,44.5,1144.0,45.3
2023-01-21,ATL,6.0,40.0,Away,34.0,44.3,1184.0,44.5
2023-01-23,UTA,9.0,46.0,Away,37.0,44.1,1230.0,44.3
2023-01-24,PHO,15.0,55.0,Away,40.0,45.4,1285.0,44.1
2023-01-31,MIL,16.0,66.0,Away,50.0,47.0,1351.0,45.4
2023-02-02,CHI,8.0,40.0,Away,32.0,46.1,1391.0,47.0
2023-02-03,DET,12.0,51.0,Away,39.0,46.7,1442.0,46.1
2023-02-08,WAS,11.0,52.0,Away,41.0,47.8,1494.0,46.7
2023-02-10,BOS,5.0,43.0,Away,38.0,47.2,1537.0,47.8
2023-02-24,MIN,7.0,45.0,Away,38.0,48.5,1582.0,47.2
2023-03-05,BRK,8.0,52.0,Away,44.0,49.0,1634.0,48.5
2023-03-07,NYK,10.0,39.0,Away,29.0,48.9,1673.0,49.0
2023-03-09,DET,17.0,48.0,Away,31.0,49.1,1721.0,48.9
2023-03-23,NOP,11.0,52.0,Away,41.0,48.8,1773.0,49.1
2023-03-24,DAL,7.0,45.0,Away,38.0,46.7,1818.0,48.8
2023-03-28,OKC,7.0,39.0,Away,32.0,46.6,1857.0,46.7
2023-04-09,CLE,11.0,44.0,Away,33.0,45.9,1901.0,46.6
