Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,TOR,12.0,41.0,Away,29.0,41.0,41.0,40.951219512195124
2022-10-22,CHI,10.0,35.0,Away,25.0,38.0,76.0,41.0
2022-10-28,BOS,5.0,34.0,Away,29.0,36.666666666666664,110.0,38.0
2022-11-04,DET,9.0,34.0,Away,25.0,36.0,144.0,36.666666666666664
2022-11-06,LAL,10.0,43.0,Away,33.0,37.4,187.0,36.0
2022-11-07,LAC,4.0,31.0,Away,27.0,36.333333333333336,218.0,37.4
2022-11-09,SAC,2.0,24.0,Away,22.0,34.57142857142857,242.0,36.333333333333336
2022-11-11,GSW,8.0,44.0,Away,36.0,35.75,286.0,34.57142857142857
2022-11-16,MIL,13.0,52.0,Away,39.0,37.55555555555556,338.0,35.75
2022-11-25,MIL,8.0,43.0,Away,35.0,38.1,381.0,37.55555555555556
2022-11-27,DET,7.0,36.0,Away,29.0,37.6,417.0,38.1
2022-11-28,TOR,7.0,45.0,Away,38.0,38.6,462.0,37.6
2022-12-04,NYK,14.0,54.0,Away,40.0,40.6,516.0,38.6
2022-12-12,SAS,19.0,46.0,Away,27.0,41.8,562.0,40.6
2022-12-14,DAL,6.0,33.0,Away,27.0,40.8,595.0,41.8
2022-12-29,IND,4.0,32.0,Away,28.0,40.9,627.0,40.8
2022-12-31,CHI,9.0,40.0,Away,31.0,42.5,667.0,40.9
2023-01-06,DEN,13.0,49.0,Away,36.0,43.0,716.0,42.5
2023-01-08,PHO,6.0,36.0,Away,30.0,41.4,752.0,43.0
2023-01-10,UTA,15.0,54.0,Away,39.0,42.5,806.0,41.4
2023-01-12,POR,5.0,36.0,Away,31.0,42.5,842.0,42.5
2023-01-14,MIN,4.0,31.0,Away,27.0,41.1,873.0,42.5
2023-01-18,MEM,15.0,42.0,Away,27.0,39.9,915.0,41.1
2023-01-24,NYK,9.0,42.0,Away,33.0,39.5,957.0,39.9
2023-01-26,HOU,10.0,46.0,Away,36.0,40.8,1003.0,39.5
2023-01-27,OKC,10.0,46.0,Away,36.0,42.2,1049.0,40.8
2023-02-05,IND,12.0,42.0,Away,30.0,42.4,1091.0,42.2
2023-02-06,WAS,7.0,37.0,Away,30.0,41.2,1128.0,42.4
2023-02-10,NOP,11.0,34.0,Away,23.0,41.0,1162.0,41.2
2023-02-15,PHI,8.0,38.0,Away,30.0,39.4,1200.0,41.0
2023-02-24,ATL,5.0,42.0,Away,37.0,40.0,1242.0,39.4
2023-03-01,BOS,7.0,43.0,Away,36.0,41.2,1285.0,40.0
2023-03-08,MIA,10.0,37.0,Away,27.0,40.7,1322.0,41.2
2023-03-10,MIA,11.0,46.0,Away,35.0,41.1,1368.0,40.7
2023-03-12,CHO,7.0,43.0,Away,36.0,40.8,1411.0,41.1
2023-03-14,CHO,6.0,40.0,Away,34.0,40.2,1451.0,40.8
2023-03-21,BRK,19.0,49.0,Away,30.0,40.9,1500.0,40.2
2023-03-23,BRK,9.0,42.0,Away,33.0,41.4,1542.0,40.9
2023-03-28,ATL,14.0,51.0,Away,37.0,43.1,1593.0,41.4
2023-04-04,ORL,13.0,47.0,Away,34.0,44.0,1640.0,43.1
2023-04-06,ORL,9.0,39.0,Away,30.0,43.7,1679.0,44.0
