Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,UTA,11.0,43.0,Away,32.0,,43.0
2022-10-21,GSW,7.0,35.0,Away,28.0,,78.0
2022-10-24,POR,9.0,45.0,Away,36.0,,123.0
2022-10-30,LAL,13.0,51.0,Away,38.0,,174.0
2022-11-03,OKC,10.0,40.0,Away,30.0,,214.0
2022-11-07,SAS,10.0,38.0,Away,28.0,,252.0
2022-11-09,IND,11.0,44.0,Away,33.0,,296.0
2022-11-11,BOS,10.0,46.0,Away,36.0,,342.0
2022-11-13,CHI,8.0,36.0,Away,28.0,,378.0
2022-11-18,DAL,6.0,44.0,Away,38.0,42.2,422.0
2022-11-20,DAL,6.0,36.0,Away,30.0,41.5,458.0
2022-11-23,OKC,12.0,39.0,Away,27.0,41.9,497.0
2022-11-25,LAC,4.0,33.0,Away,29.0,40.7,530.0
2022-12-02,ATL,12.0,43.0,Away,31.0,39.9,573.0
2022-12-04,NOP,6.0,36.0,Away,30.0,39.5,609.0
2022-12-08,POR,13.0,38.0,Away,25.0,39.5,647.0
2022-12-16,LAL,11.0,45.0,Away,34.0,39.6,692.0
2022-12-27,SAC,8.0,39.0,Away,31.0,38.9,731.0
2022-12-28,SAC,11.0,34.0,Away,23.0,38.7,765.0
2023-01-02,MIN,11.0,41.0,Away,30.0,38.4,806.0
2023-01-13,LAC,11.0,43.0,Away,32.0,39.1,849.0
2023-01-24,NOP,14.0,43.0,Away,29.0,39.5,892.0
2023-01-25,MIL,7.0,49.0,Away,42.0,41.1,941.0
2023-01-28,PHI,12.0,39.0,Away,27.0,40.7,980.0
2023-02-05,MIN,5.0,34.0,Away,29.0,40.5,1014.0
2023-02-09,ORL,15.0,47.0,Away,32.0,41.4,1061.0
2023-02-11,CHO,5.0,37.0,Away,32.0,40.6,1098.0
2023-02-13,MIA,9.0,34.0,Away,25.0,40.1,1132.0
2023-02-23,CLE,13.0,41.0,Away,28.0,40.8,1173.0
2023-02-25,MEM,11.0,50.0,Away,39.0,41.7,1223.0
2023-02-28,HOU,10.0,40.0,Away,30.0,41.4,1263.0
2023-03-10,SAS,13.0,50.0,Away,37.0,42.1,1313.0
2023-03-14,TOR,14.0,44.0,Away,30.0,41.6,1357.0
2023-03-16,DET,13.0,37.0,Away,24.0,41.4,1394.0
2023-03-18,NYK,15.0,43.0,Away,28.0,42.3,1437.0
2023-03-19,BRK,9.0,33.0,Away,24.0,40.9,1470.0
2023-03-22,WAS,10.0,37.0,Away,27.0,40.9,1507.0
2023-03-31,PHO,13.0,51.0,Away,38.0,42.6,1558.0
2023-04-04,HOU,20.0,55.0,Away,35.0,44.0,1613.0
2023-04-06,PHO,7.0,33.0,Away,26.0,42.3,1646.0
2023-04-08,UTA,17.0,59.0,Away,42.0,44.2,1705.0
