Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-21,NYK,11.0,50.0,Away,39.0,50.0,50.0,45.5609756097561
2022-10-22,IND,20.0,59.0,Away,39.0,54.5,109.0,50.0
2022-10-25,WAS,9.0,47.0,Away,38.0,52.0,156.0,54.5
2022-10-31,MIL,14.0,50.0,Away,36.0,51.5,206.0,52.0
2022-11-02,MIL,15.0,52.0,Away,37.0,51.6,258.0,51.5
2022-11-09,BOS,8.0,43.0,Away,35.0,50.166666666666664,301.0,51.6
2022-11-11,NYK,16.0,47.0,Away,31.0,49.714285714285715,348.0,50.166666666666664
2022-11-17,LAC,10.0,51.0,Away,41.0,49.875,399.0,49.714285714285715
2022-11-18,LAL,7.0,44.0,Away,37.0,49.22222222222222,443.0,49.875
2022-11-20,SAC,8.0,41.0,Away,33.0,48.4,484.0,49.22222222222222
2022-11-22,DEN,15.0,42.0,Away,27.0,47.6,526.0,48.4
2022-11-23,UTA,7.0,38.0,Away,31.0,45.5,564.0,47.6
2022-11-25,PHO,11.0,43.0,Away,32.0,45.1,607.0,45.5
2022-12-06,MIA,7.0,40.0,Away,33.0,44.1,647.0,45.1
2022-12-07,NOP,10.0,50.0,Away,40.0,43.9,697.0,44.1
2022-12-09,MEM,12.0,48.0,Away,36.0,44.4,745.0,43.9
2022-12-14,CHO,17.0,52.0,Away,35.0,44.9,797.0,44.4
2022-12-21,PHI,13.0,49.0,Away,36.0,44.7,846.0,44.9
2022-12-23,ATL,8.0,48.0,Away,40.0,45.1,894.0,44.7
2022-12-30,CHI,12.0,38.0,Away,26.0,44.8,932.0,45.1
2022-12-31,MIN,9.0,39.0,Away,30.0,44.5,971.0,44.8
2023-01-02,POR,6.0,44.0,Away,38.0,45.1,1015.0,44.5
2023-01-04,GSW,9.0,40.0,Away,31.0,44.8,1055.0,45.1
2023-01-06,SAS,7.0,44.0,Away,37.0,45.2,1099.0,44.8
2023-01-10,PHI,10.0,55.0,Away,45.0,45.7,1154.0,45.2
2023-01-26,BRK,15.0,40.0,Away,25.0,44.9,1194.0,45.7
2023-01-30,DAL,9.0,40.0,Away,31.0,43.7,1234.0,44.9
2023-02-08,CLE,13.0,50.0,Away,37.0,43.8,1284.0,43.7
2023-02-12,TOR,13.0,40.0,Away,27.0,43.0,1324.0,43.8
2023-02-15,BOS,8.0,43.0,Away,35.0,43.5,1367.0,43.0
2023-02-23,ORL,12.0,46.0,Away,34.0,44.2,1413.0,43.5
2023-02-27,CHO,7.0,46.0,Away,39.0,44.4,1459.0,44.2
2023-03-04,CLE,8.0,39.0,Away,31.0,44.3,1498.0,44.4
2023-03-14,WAS,10.0,48.0,Away,38.0,44.7,1546.0,44.3
2023-03-21,ATL,21.0,61.0,Away,40.0,45.3,1607.0,44.7
2023-03-24,TOR,15.0,46.0,Away,31.0,45.9,1653.0,45.3
2023-03-29,OKC,10.0,38.0,Away,28.0,45.7,1691.0,45.9
2023-03-31,HOU,14.0,46.0,Away,32.0,45.3,1737.0,45.7
2023-04-02,ORL,7.0,41.0,Away,34.0,45.4,1778.0,45.3
2023-04-07,IND,9.0,42.0,Away,33.0,45.3,1820.0,45.4
2023-04-09,CHI,11.0,48.0,Away,37.0,45.5,1868.0,45.3
