Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-25,PHO,14.0,48.0,Away,34.0,48.0,48.0,43.0
2022-10-29,CHO,15.0,55.0,Away,40.0,51.5,103.0,48.0
2022-10-30,DET,12.0,47.0,Away,35.0,50.0,150.0,51.5
2022-11-01,MIA,9.0,39.0,Away,30.0,47.25,189.0,50.0
2022-11-03,ORL,11.0,46.0,Away,35.0,47.0,235.0,47.25
2022-11-04,NOP,9.0,37.0,Away,28.0,45.333333333333336,272.0,47.0
2022-11-13,SAC,9.0,45.0,Away,36.0,45.285714285714285,317.0,45.333333333333336
2022-11-16,PHO,8.0,47.0,Away,39.0,45.5,364.0,45.285714285714285
2022-11-20,HOU,12.0,45.0,Away,33.0,45.44444444444444,409.0,45.5
2022-11-21,NOP,11.0,50.0,Away,39.0,45.9,459.0,45.44444444444444
2022-11-27,MIN,6.0,31.0,Away,25.0,44.2,490.0,45.9
2022-11-29,DAL,8.0,39.0,Away,31.0,42.6,529.0,44.2
2022-12-07,UTA,9.0,40.0,Away,31.0,41.9,569.0,42.6
2022-12-13,MIL,12.0,55.0,Away,43.0,43.5,624.0,41.9
2022-12-14,IND,5.0,34.0,Away,29.0,42.3,658.0,43.5
2022-12-16,PHI,11.0,49.0,Away,38.0,43.5,707.0,42.3
2022-12-18,TOR,18.0,43.0,Away,25.0,43.3,750.0,43.5
2022-12-20,NYK,14.0,47.0,Away,33.0,43.3,797.0,43.3
2022-12-21,BRK,3.0,32.0,Away,29.0,42.0,829.0,43.3
2023-01-13,SAS,7.0,38.0,Away,31.0,40.8,867.0,42.0
2023-01-15,CHI,7.0,38.0,Away,31.0,41.5,905.0,40.8
2023-01-16,WAS,6.0,36.0,Away,30.0,41.2,941.0,41.5
2023-01-19,BOS,18.0,63.0,Away,45.0,43.5,1004.0,41.2
2023-01-20,CLE,10.0,35.0,Away,25.0,41.5,1039.0,43.5
2023-01-30,OKC,8.0,43.0,Away,35.0,42.4,1082.0,41.5
2023-02-01,MIN,10.0,53.0,Away,43.0,42.8,1135.0,42.4
2023-02-02,DEN,7.0,38.0,Away,31.0,42.3,1173.0,42.8
2023-02-08,POR,12.0,47.0,Away,35.0,42.3,1220.0,42.3
2023-02-14,LAC,12.0,36.0,Away,24.0,42.7,1256.0,42.3
2023-02-23,LAL,10.0,58.0,Away,48.0,44.7,1314.0,42.7
2023-03-05,LAL,10.0,46.0,Away,36.0,45.5,1360.0,44.7
2023-03-07,OKC,13.0,44.0,Away,31.0,46.3,1404.0,45.5
2023-03-09,MEM,9.0,42.0,Away,33.0,44.2,1446.0,46.3
2023-03-15,LAC,16.0,44.0,Away,28.0,45.1,1490.0,44.2
2023-03-17,ATL,13.0,45.0,Away,32.0,45.3,1535.0,45.1
2023-03-18,MEM,11.0,39.0,Away,28.0,43.9,1574.0,45.3
2023-03-20,HOU,13.0,41.0,Away,28.0,44.2,1615.0,43.9
2023-03-22,DAL,8.0,31.0,Away,23.0,42.6,1646.0,44.2
2023-04-02,DEN,17.0,47.0,Away,30.0,43.7,1693.0,42.6
2023-04-07,SAC,18.0,40.0,Away,22.0,41.9,1733.0,43.7
2023-04-09,POR,6.0,30.0,Away,24.0,40.3,1763.0,41.9
