Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,ATL,4.0,38.0,Away,34.0,,38.0
2022-10-22,MIL,8.0,47.0,Away,39.0,,85.0
2022-10-26,UTA,11.0,53.0,Away,42.0,,138.0
2022-10-28,POR,11.0,45.0,Away,34.0,,183.0
2022-10-30,PHO,10.0,36.0,Away,26.0,,219.0
2022-10-31,LAC,8.0,46.0,Away,38.0,,265.0
2022-11-05,MIN,9.0,36.0,Away,27.0,,301.0
2022-11-07,ORL,11.0,37.0,Away,26.0,,338.0
2022-11-09,TOR,22.0,50.0,Away,28.0,,388.0
2022-11-12,NOP,12.0,36.0,Away,24.0,42.4,424.0
2022-11-16,DAL,13.0,38.0,Away,25.0,42.4,462.0
2022-11-28,DEN,13.0,43.0,Away,30.0,42.0,505.0
2022-11-30,DEN,8.0,42.0,Away,34.0,40.9,547.0
2022-12-02,PHO,9.0,37.0,Away,28.0,40.1,584.0
2022-12-03,GSW,6.0,35.0,Away,29.0,40.0,619.0
2022-12-08,SAS,7.0,38.0,Away,31.0,39.2,657.0
2022-12-26,CHI,8.0,35.0,Away,27.0,39.1,692.0
2022-12-27,BOS,9.0,49.0,Away,40.0,40.3,741.0
2022-12-29,DAL,6.0,44.0,Away,38.0,39.7,785.0
2023-01-04,NOP,15.0,51.0,Away,36.0,41.2,836.0
2023-01-11,SAC,9.0,45.0,Away,36.0,41.9,881.0
2023-01-13,SAC,14.0,46.0,Away,32.0,42.2,927.0
2023-01-15,LAC,11.0,44.0,Away,33.0,42.4,971.0
2023-01-16,LAL,9.0,39.0,Away,30.0,42.6,1010.0
2023-01-21,MIN,3.0,30.0,Away,27.0,42.1,1040.0
2023-01-28,DET,8.0,35.0,Away,27.0,41.8,1075.0
2023-02-04,OKC,9.0,42.0,Away,33.0,42.5,1117.0
2023-02-10,MIA,6.0,40.0,Away,34.0,41.6,1157.0
2023-02-13,PHI,7.0,38.0,Away,31.0,41.0,1195.0
2023-02-15,OKC,10.0,49.0,Away,39.0,40.8,1244.0
2023-02-24,GSW,7.0,47.0,Away,40.0,41.0,1291.0
2023-02-26,POR,6.0,37.0,Away,31.0,40.1,1328.0
2023-03-04,SAS,13.0,42.0,Away,29.0,39.9,1370.0
2023-03-09,IND,8.0,42.0,Away,34.0,40.2,1412.0
2023-03-22,MEM,12.0,36.0,Away,24.0,40.8,1448.0
2023-03-24,MEM,5.0,35.0,Away,30.0,40.8,1483.0
2023-03-26,CLE,13.0,41.0,Away,28.0,40.7,1524.0
2023-03-27,NYK,7.0,39.0,Away,32.0,40.6,1563.0
2023-03-29,BRK,8.0,41.0,Away,33.0,40.9,1604.0
2023-04-07,CHO,7.0,41.0,Away,34.0,40.1,1645.0
2023-04-09,WAS,14.0,51.0,Away,37.0,40.5,1696.0
