Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-24,PHI,7.0,39.0,Away,32.0,,39.0
2022-10-26,CHI,9.0,44.0,Away,35.0,,83.0
2022-10-28,WAS,9.0,38.0,Away,29.0,,121.0
2022-10-29,BRK,6.0,34.0,Away,28.0,,155.0
2022-10-31,BRK,6.0,39.0,Away,33.0,,194.0
2022-11-16,CHO,14.0,44.0,Away,30.0,,238.0
2022-11-18,HOU,14.0,49.0,Away,35.0,,287.0
2022-11-27,LAC,18.0,62.0,Away,44.0,,349.0
2022-11-28,LAL,18.0,57.0,Away,39.0,,406.0
2022-11-30,SAC,11.0,58.0,Away,47.0,46.4,464.0
2022-12-02,UTA,8.0,47.0,Away,39.0,47.2,511.0
2022-12-04,POR,11.0,45.0,Away,34.0,47.3,556.0
2022-12-05,GSW,12.0,47.0,Away,35.0,48.2,603.0
2022-12-07,MIN,16.0,51.0,Away,35.0,49.9,654.0
2022-12-16,CLE,6.0,34.0,Away,28.0,49.4,688.0
2022-12-21,BOS,25.0,62.0,Away,37.0,51.2,750.0
2022-12-23,MIA,13.0,38.0,Away,25.0,50.1,788.0
2022-12-26,NOP,16.0,54.0,Away,38.0,49.3,842.0
2023-01-04,PHI,14.0,46.0,Away,32.0,48.2,888.0
2023-01-11,NYK,12.0,50.0,Away,38.0,47.4,938.0
2023-01-16,MIL,9.0,41.0,Away,32.0,46.8,979.0
2023-01-18,OKC,13.0,42.0,Away,29.0,46.5,1021.0
2023-01-20,DEN,12.0,38.0,Away,26.0,45.6,1059.0
2023-01-21,PHO,14.0,55.0,Away,41.0,46.0,1114.0
2023-01-25,ORL,9.0,34.0,Away,25.0,46.0,1148.0
2023-01-29,MEM,15.0,41.0,Away,26.0,43.9,1189.0
2023-02-08,MIA,15.0,48.0,Away,33.0,44.9,1237.0
2023-02-11,WAS,8.0,40.0,Away,32.0,43.5,1277.0
2023-02-25,ORL,15.0,55.0,Away,40.0,44.4,1332.0
2023-02-28,DAL,9.0,38.0,Away,29.0,43.2,1370.0
2023-03-02,SAS,13.0,50.0,Away,37.0,44.1,1420.0
2023-03-05,CHI,4.0,33.0,Away,29.0,43.2,1453.0
2023-03-11,DET,12.0,42.0,Away,30.0,43.6,1495.0
2023-03-13,DET,19.0,52.0,Away,33.0,43.3,1547.0
2023-03-16,MIL,9.0,44.0,Away,35.0,44.3,1591.0
2023-03-20,CHO,10.0,37.0,Away,27.0,43.9,1628.0
2023-03-22,TOR,13.0,40.0,Away,27.0,43.1,1668.0
2023-03-24,BOS,9.0,49.0,Away,40.0,44.0,1717.0
2023-03-25,ATL,15.0,42.0,Away,27.0,42.7,1759.0
2023-04-02,CLE,13.0,43.0,Away,30.0,43.2,1802.0
2023-04-09,NYK,19.0,53.0,Away,34.0,43.5,1855.0
