Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-20,LAL,8.0,38.0,Away,30.0,,38.0
2022-10-22,SAC,9.0,39.0,Away,30.0,,77.0
2022-10-25,OKC,21.0,60.0,Away,39.0,,137.0
2022-10-27,OKC,13.0,36.0,Away,23.0,,173.0
2022-11-02,HOU,16.0,50.0,Away,34.0,,223.0
2022-11-04,SAS,6.0,35.0,Away,29.0,,258.0
2022-11-14,HOU,10.0,40.0,Away,30.0,,298.0
2022-11-15,DAL,8.0,34.0,Away,26.0,,332.0
2022-11-23,GSW,12.0,45.0,Away,33.0,,377.0
2022-11-29,POR,9.0,43.0,Away,34.0,42.0,420.0
2022-11-30,UTA,13.0,46.0,Away,33.0,42.8,466.0
2022-12-05,CHO,14.0,49.0,Away,35.0,43.8,515.0
2022-12-07,ORL,16.0,53.0,Away,37.0,43.1,568.0
2022-12-08,MIA,7.0,43.0,Away,36.0,43.8,611.0
2022-12-10,WAS,8.0,50.0,Away,42.0,43.8,661.0
2022-12-23,PHI,6.0,39.0,Away,33.0,44.2,700.0
2022-12-26,DET,16.0,45.0,Away,29.0,44.7,745.0
2022-12-27,TOR,10.0,39.0,Away,29.0,45.2,784.0
2022-12-29,BOS,11.0,49.0,Away,38.0,45.6,833.0
2022-12-31,IND,8.0,36.0,Away,28.0,44.9,869.0
2023-01-05,DEN,10.0,57.0,Away,47.0,46.0,926.0
2023-01-06,MIN,10.0,45.0,Away,35.0,45.6,971.0
2023-01-18,UTA,9.0,44.0,Away,35.0,44.7,1015.0
2023-01-20,SAS,12.0,34.0,Away,22.0,43.8,1049.0
2023-01-22,DAL,12.0,38.0,Away,26.0,42.6,1087.0
2023-01-24,LAL,9.0,32.0,Away,23.0,41.9,1119.0
2023-01-28,ATL,15.0,47.0,Away,32.0,42.1,1166.0
2023-01-29,CLE,4.0,35.0,Away,31.0,41.7,1201.0
2023-01-31,CHI,6.0,51.0,Away,45.0,41.9,1252.0
2023-02-02,MIL,8.0,53.0,Away,45.0,43.6,1305.0
2023-02-04,NYK,10.0,46.0,Away,36.0,42.5,1351.0
2023-02-06,BRK,8.0,42.0,Away,34.0,42.2,1393.0
2023-02-16,PHO,7.0,38.0,Away,31.0,41.6,1431.0
2023-02-26,DEN,11.0,50.0,Away,39.0,43.2,1481.0
2023-03-02,GSW,15.0,60.0,Away,45.0,45.4,1541.0
2023-03-03,SAC,9.0,45.0,Away,36.0,46.7,1586.0
2023-03-19,POR,11.0,40.0,Away,29.0,46.0,1626.0
2023-03-29,MEM,14.0,45.0,Away,31.0,47.0,1671.0
2023-03-31,MEM,12.0,51.0,Away,39.0,47.0,1722.0
2023-04-01,NOP,14.0,40.0,Away,26.0,45.7,1762.0
2023-04-09,PHO,12.0,47.0,Away,35.0,45.8,1809.0
