Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-18,GSW,11.0,48.0,Away,37.0,,48.0
2022-10-26,DEN,9.0,54.0,Away,45.0,,102.0
2022-10-28,MIN,14.0,49.0,Away,35.0,,151.0
2022-11-07,UTA,10.0,41.0,Away,31.0,,192.0
2022-11-09,LAC,6.0,41.0,Away,35.0,,233.0
2022-11-22,PHO,8.0,49.0,Away,41.0,,282.0
2022-11-25,SAS,20.0,50.0,Away,30.0,,332.0
2022-11-26,SAS,17.0,47.0,Away,30.0,,379.0
2022-12-02,MIL,10.0,42.0,Away,32.0,,421.0
2022-12-04,WAS,11.0,44.0,Away,33.0,46.5,465.0
2022-12-06,CLE,9.0,44.0,Away,35.0,46.1,509.0
2022-12-07,TOR,17.0,54.0,Away,37.0,46.1,563.0
2022-12-09,PHI,7.0,42.0,Away,35.0,45.4,605.0
2022-12-11,DET,10.0,40.0,Away,30.0,45.3,645.0
2022-12-19,PHO,15.0,51.0,Away,36.0,46.3,696.0
2022-12-21,SAC,10.0,46.0,Away,36.0,46.0,742.0
2022-12-25,DAL,11.0,38.0,Away,27.0,44.8,780.0
2022-12-27,ORL,8.0,37.0,Away,29.0,43.8,817.0
2022-12-28,MIA,10.0,37.0,Away,27.0,43.3,854.0
2022-12-30,ATL,12.0,41.0,Away,29.0,43.0,895.0
2023-01-02,CHO,8.0,47.0,Away,39.0,43.3,942.0
2023-01-07,SAC,13.0,34.0,Away,21.0,41.3,976.0
2023-01-09,DEN,14.0,55.0,Away,41.0,42.6,1031.0
2023-01-22,POR,11.0,38.0,Away,27.0,42.4,1069.0
2023-01-28,BOS,7.0,46.0,Away,39.0,41.9,1115.0
2023-01-30,BRK,12.0,50.0,Away,38.0,42.3,1165.0
2023-01-31,NYK,13.0,45.0,Away,32.0,43.0,1210.0
2023-02-02,IND,6.0,46.0,Away,40.0,43.9,1256.0
2023-02-04,NOP,14.0,48.0,Away,34.0,45.0,1304.0
2023-02-11,GSW,7.0,43.0,Away,36.0,45.2,1347.0
2023-02-13,POR,8.0,42.0,Away,34.0,44.7,1389.0
2023-02-26,DAL,11.0,48.0,Away,37.0,46.1,1437.0
2023-02-28,MEM,14.0,47.0,Away,33.0,45.3,1484.0
2023-03-01,OKC,12.0,42.0,Away,30.0,45.7,1526.0
2023-03-14,NOP,15.0,41.0,Away,26.0,45.2,1567.0
2023-03-15,HOU,16.0,51.0,Away,35.0,45.3,1618.0
2023-03-29,CHI,6.0,32.0,Away,26.0,44.0,1650.0
2023-03-31,MIN,12.0,39.0,Away,27.0,43.3,1689.0
2023-04-02,HOU,16.0,44.0,Away,28.0,42.9,1733.0
2023-04-04,UTA,6.0,41.0,Away,35.0,42.7,1774.0
2023-04-05,LAC,5.0,38.0,Away,33.0,42.3,1812.0
