Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-21,HOU,13.0,45.0,Away,32.0,,45.0
2022-10-22,DAL,15.0,52.0,Away,37.0,,97.0
2022-10-27,SAC,9.0,40.0,Away,31.0,,137.0
2022-10-29,UTA,10.0,34.0,Away,24.0,,171.0
2022-10-31,UTA,11.0,48.0,Away,37.0,,219.0
2022-11-02,POR,16.0,46.0,Away,30.0,,265.0
2022-11-09,SAS,13.0,39.0,Away,26.0,,304.0
2022-11-13,WAS,9.0,47.0,Away,38.0,,351.0
2022-11-15,NOP,7.0,43.0,Away,36.0,,394.0
2022-11-20,BRK,5.0,45.0,Away,40.0,43.9,439.0
2022-11-27,NYK,12.0,42.0,Away,30.0,43.6,481.0
2022-11-30,MIN,5.0,29.0,Away,24.0,41.3,510.0
2022-12-04,DET,8.0,39.0,Away,31.0,41.2,549.0
2022-12-17,OKC,9.0,53.0,Away,44.0,43.1,602.0
2022-12-20,DEN,13.0,48.0,Away,35.0,43.1,650.0
2022-12-23,PHO,11.0,35.0,Away,24.0,42.0,685.0
2022-12-25,GSW,9.0,51.0,Away,42.0,43.2,736.0
2022-12-29,TOR,17.0,47.0,Away,30.0,43.2,783.0
2023-01-04,CHO,10.0,44.0,Away,34.0,43.3,827.0
2023-01-05,ORL,7.0,39.0,Away,32.0,42.7,866.0
2023-01-14,IND,16.0,49.0,Away,33.0,43.4,915.0
2023-01-20,LAL,10.0,47.0,Away,37.0,45.2,962.0
2023-01-22,PHO,6.0,40.0,Away,34.0,45.3,1002.0
2023-01-23,SAC,10.0,53.0,Away,43.0,45.3,1055.0
2023-01-25,GSW,14.0,44.0,Away,30.0,44.9,1099.0
2023-01-27,MIN,9.0,45.0,Away,36.0,45.9,1144.0
2023-02-02,CLE,9.0,41.0,Away,32.0,44.9,1185.0
2023-02-12,BOS,15.0,55.0,Away,40.0,45.7,1240.0
2023-02-23,PHI,7.0,43.0,Away,36.0,45.6,1283.0
2023-03-01,HOU,17.0,49.0,Away,32.0,46.6,1332.0
2023-03-03,DEN,13.0,53.0,Away,40.0,47.0,1385.0
2023-03-05,LAC,13.0,53.0,Away,40.0,47.6,1438.0
2023-03-07,LAL,7.0,57.0,Away,50.0,49.3,1495.0
2023-03-13,DAL,8.0,41.0,Away,33.0,48.1,1536.0
2023-03-15,MIA,8.0,41.0,Away,33.0,47.8,1577.0
2023-03-17,SAS,16.0,54.0,Away,38.0,48.7,1631.0
2023-03-26,ATL,14.0,48.0,Away,34.0,49.4,1679.0
2023-04-02,CHI,4.0,36.0,Away,32.0,47.5,1715.0
2023-04-05,NOP,8.0,44.0,Away,36.0,47.6,1759.0
2023-04-07,MIL,11.0,38.0,Away,27.0,46.5,1797.0
2023-04-09,OKC,8.0,49.0,Away,41.0,46.1,1846.0
