Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-26,POR,11.0,38.0,Away,27.0,,38.0
2022-10-27,GSW,16.0,50.0,Away,34.0,,88.0
2022-10-29,SAC,6.0,43.0,Away,37.0,,131.0
2022-11-04,IND,5.0,42.0,Away,37.0,,173.0
2022-11-16,TOR,16.0,42.0,Away,26.0,,215.0
2022-11-18,WAS,8.0,54.0,Away,46.0,,269.0
2022-11-20,CLE,13.0,49.0,Away,36.0,,318.0
2022-11-21,MIN,6.0,40.0,Away,34.0,,358.0
2022-11-27,ATL,8.0,42.0,Away,34.0,,400.0
2022-11-30,BOS,11.0,41.0,Away,30.0,44.1,441.0
2022-12-02,BOS,7.0,48.0,Away,41.0,45.1,489.0
2022-12-05,MEM,4.0,41.0,Away,37.0,44.2,530.0
2022-12-12,IND,8.0,45.0,Away,37.0,44.4,575.0
2022-12-14,OKC,7.0,44.0,Away,37.0,44.6,619.0
2022-12-15,HOU,18.0,51.0,Away,33.0,45.5,670.0
2022-12-17,SAS,7.0,38.0,Away,31.0,43.9,708.0
2022-12-30,DEN,5.0,36.0,Away,31.0,42.6,744.0
2022-12-31,UTA,16.0,49.0,Away,33.0,43.5,793.0
2023-01-02,LAC,3.0,34.0,Away,31.0,42.7,827.0
2023-01-04,LAL,9.0,42.0,Away,33.0,42.8,869.0
2023-01-06,PHO,8.0,44.0,Away,36.0,42.4,913.0
2023-01-16,ATL,2.0,28.0,Away,26.0,41.1,941.0
2023-01-18,NOP,9.0,38.0,Away,29.0,40.4,979.0
2023-01-20,DAL,10.0,37.0,Away,27.0,39.7,1016.0
2023-01-29,CHO,11.0,47.0,Away,36.0,39.3,1063.0
2023-01-31,CLE,5.0,39.0,Away,34.0,39.4,1102.0
2023-02-02,NYK,11.0,44.0,Away,33.0,40.2,1146.0
2023-02-04,MIL,10.0,51.0,Away,41.0,40.4,1197.0
2023-02-11,ORL,12.0,44.0,Away,32.0,41.4,1241.0
2023-02-15,BRK,5.0,36.0,Away,31.0,40.8,1277.0
2023-02-24,MIL,10.0,57.0,Away,47.0,42.1,1334.0
2023-02-25,CHO,11.0,48.0,Away,37.0,44.1,1382.0
2023-02-27,PHI,9.0,39.0,Away,30.0,44.2,1421.0
2023-03-11,ORL,15.0,54.0,Away,39.0,45.9,1475.0
2023-03-18,CHI,5.0,32.0,Away,27.0,44.4,1507.0
2023-03-19,DET,9.0,39.0,Away,30.0,44.4,1546.0
2023-03-28,TOR,15.0,47.0,Away,32.0,44.7,1593.0
2023-03-29,NYK,9.0,47.0,Away,38.0,44.3,1640.0
2023-04-04,DET,6.0,35.0,Away,29.0,43.4,1675.0
2023-04-06,PHI,3.0,32.0,Away,29.0,43.0,1707.0
2023-04-07,WAS,12.0,50.0,Away,38.0,42.3,1757.0
