Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-20,PHI,6.0,44.0,Away,38.0,44.0,44.0,45.53658536585366
2022-11-04,MIN,10.0,47.0,Away,37.0,45.5,91.0,44.0
2022-11-07,ATL,12.0,48.0,Away,36.0,46.333333333333336,139.0,45.5
2022-11-09,OKC,16.0,55.0,Away,39.0,48.5,194.0,46.333333333333336
2022-11-11,SAS,9.0,50.0,Away,41.0,48.8,244.0,48.5
2022-11-18,PHI,6.0,41.0,Away,35.0,47.5,285.0,48.8
2022-11-30,NYK,19.0,55.0,Away,36.0,48.57142857142857,340.0,47.5
2022-12-03,CHO,9.0,44.0,Away,35.0,48.0,384.0,48.57142857142857
2022-12-05,ORL,15.0,52.0,Away,37.0,48.44444444444444,436.0,48.0
2022-12-09,DAL,12.0,43.0,Away,31.0,47.9,479.0,48.44444444444444
2022-12-11,HOU,10.0,49.0,Away,39.0,48.4,528.0,47.9
2022-12-15,MEM,14.0,56.0,Away,42.0,49.3,584.0,48.4
2022-12-19,NOP,17.0,44.0,Away,27.0,48.9,628.0,49.3
2022-12-21,CLE,9.0,37.0,Away,28.0,47.1,665.0,48.9
2022-12-23,BRK,12.0,45.0,Away,33.0,46.6,710.0,47.1
2022-12-25,BOS,5.0,35.0,Away,30.0,46.0,745.0,46.6
2022-12-28,CHI,7.0,52.0,Away,45.0,45.7,797.0,46.0
2023-01-04,TOR,14.0,47.0,Away,33.0,46.0,844.0,45.7
2023-01-09,NYK,18.0,48.0,Away,30.0,45.6,892.0,46.0
2023-01-11,ATL,6.0,41.0,Away,35.0,45.4,933.0,45.6
2023-01-12,MIA,18.0,61.0,Away,43.0,46.6,994.0,45.4
2023-01-14,MIA,13.0,51.0,Away,38.0,46.1,1045.0,46.6
2023-01-21,CLE,9.0,41.0,Away,32.0,45.8,1086.0,46.1
2023-01-23,DET,11.0,41.0,Away,30.0,46.2,1127.0,45.8
2023-01-27,IND,5.0,38.0,Away,33.0,45.5,1165.0,46.2
2023-02-06,POR,1.0,28.0,Away,27.0,44.8,1193.0,45.5
2023-02-09,LAL,11.0,43.0,Away,32.0,43.9,1236.0,44.8
2023-02-10,LAC,3.0,35.0,Away,32.0,42.7,1271.0,43.9
2023-02-16,CHI,15.0,51.0,Away,36.0,43.0,1322.0,42.7
2023-02-28,BRK,3.0,38.0,Away,35.0,42.7,1360.0,43.0
2023-03-05,WAS,20.0,56.0,Away,36.0,42.2,1416.0,42.7
2023-03-07,ORL,10.0,38.0,Away,28.0,40.9,1454.0,42.2
2023-03-11,GSW,18.0,65.0,Away,47.0,43.3,1519.0,40.9
2023-03-13,SAC,15.0,45.0,Away,30.0,43.7,1564.0,43.3
2023-03-14,PHO,8.0,41.0,Away,33.0,44.0,1605.0,43.7
2023-03-24,UTA,20.0,51.0,Away,31.0,46.3,1656.0,44.0
2023-03-25,DEN,7.0,48.0,Away,41.0,46.8,1704.0,46.3
2023-03-27,DET,14.0,47.0,Away,33.0,48.0,1751.0,46.8
2023-03-29,IND,10.0,29.0,Away,19.0,45.8,1780.0,48.0
2023-04-04,WAS,9.0,42.0,Away,33.0,46.2,1822.0,45.8
2023-04-09,TOR,7.0,45.0,Away,38.0,45.1,1867.0,46.2
