Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-23,OKC,11.0,42.0,Away,31.0,,42.0
2022-10-30,SAS,14.0,52.0,Away,38.0,,94.0
2022-11-01,PHO,7.0,34.0,Away,27.0,,128.0
2022-11-11,MEM,15.0,46.0,Away,31.0,,174.0
2022-11-13,CLE,16.0,40.0,Away,24.0,,214.0
2022-11-16,ORL,12.0,47.0,Away,35.0,,261.0
2022-11-19,PHI,4.0,39.0,Away,35.0,,300.0
2022-11-23,IND,13.0,30.0,Away,17.0,,330.0
2022-11-25,CHO,15.0,55.0,Away,40.0,,385.0
2022-11-28,WAS,7.0,34.0,Away,27.0,41.9,419.0
2022-12-09,UTA,12.0,40.0,Away,28.0,41.7,459.0
2022-12-10,POR,11.0,45.0,Away,34.0,41.0,504.0
2022-12-12,POR,11.0,54.0,Away,43.0,43.0,558.0
2022-12-14,LAC,14.0,52.0,Away,38.0,43.6,610.0
2022-12-16,OKC,9.0,45.0,Away,36.0,44.1,655.0
2022-12-23,BOS,20.0,53.0,Away,33.0,44.7,708.0
2022-12-26,MIA,13.0,40.0,Away,27.0,44.8,748.0
2022-12-28,NOP,9.0,43.0,Away,34.0,46.1,791.0
2022-12-30,MIL,20.0,68.0,Away,48.0,47.4,859.0
2023-01-08,HOU,12.0,41.0,Away,29.0,48.1,900.0
2023-01-11,DET,7.0,38.0,Away,31.0,47.9,938.0
2023-01-18,DEN,8.0,34.0,Away,26.0,46.8,972.0
2023-01-23,HOU,12.0,47.0,Away,35.0,46.1,1019.0
2023-01-25,NOP,8.0,42.0,Away,34.0,45.1,1061.0
2023-02-07,DEN,6.0,44.0,Away,38.0,45.0,1105.0
2023-02-08,UTA,21.0,50.0,Away,29.0,44.7,1155.0
2023-02-10,MEM,9.0,44.0,Away,35.0,45.1,1199.0
2023-02-13,DAL,9.0,33.0,Away,24.0,44.1,1232.0
2023-02-26,GSW,16.0,56.0,Away,40.0,42.9,1288.0
2023-02-28,LAC,9.0,44.0,Away,35.0,43.2,1332.0
2023-03-03,LAL,11.0,41.0,Away,30.0,43.5,1373.0
2023-03-04,SAC,11.0,39.0,Away,28.0,44.0,1412.0
2023-03-13,ATL,18.0,51.0,Away,33.0,44.4,1463.0
2023-03-17,CHI,6.0,47.0,Away,41.0,44.9,1510.0
2023-03-18,TOR,9.0,45.0,Away,36.0,45.0,1555.0
2023-03-20,NYK,7.0,34.0,Away,27.0,43.4,1589.0
2023-03-26,GSW,6.0,37.0,Away,31.0,42.7,1626.0
2023-03-27,SAC,12.0,42.0,Away,30.0,43.6,1668.0
2023-03-29,PHO,15.0,48.0,Away,33.0,42.8,1716.0
2023-04-04,BRK,7.0,40.0,Away,33.0,42.4,1756.0
2023-04-08,SAS,10.0,45.0,Away,35.0,42.8,1801.0
