Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,BRK,9.0,39.0,Away,30.0,39.0,39.0,42.926829268292686
2022-10-21,CHO,11.0,37.0,Away,26.0,38.0,76.0,39.0
2022-10-28,PHO,14.0,47.0,Away,33.0,41.0,123.0,38.0
2022-10-30,LAC,8.0,39.0,Away,31.0,40.5,162.0,41.0
2022-11-02,LAL,11.0,56.0,Away,45.0,43.6,218.0,40.5
2022-11-05,ATL,12.0,50.0,Away,38.0,44.666666666666664,268.0,43.6
2022-11-07,IND,10.0,45.0,Away,35.0,44.714285714285715,313.0,44.666666666666664
2022-11-09,CHI,6.0,35.0,Away,29.0,43.5,348.0,44.714285714285715
2022-11-23,SAS,8.0,37.0,Away,29.0,42.77777777777778,385.0,43.5
2022-11-25,MEM,13.0,46.0,Away,33.0,43.1,431.0,42.77777777777778
2022-12-02,SAS,10.0,49.0,Away,39.0,44.1,480.0,43.1
2022-12-13,UTA,19.0,59.0,Away,40.0,46.3,539.0,44.1
2022-12-15,UTA,11.0,44.0,Away,33.0,46.0,583.0,46.3
2022-12-17,PHO,10.0,35.0,Away,25.0,45.6,618.0,46.0
2022-12-23,OKC,10.0,47.0,Away,37.0,44.7,665.0,45.6
2022-12-31,MEM,13.0,52.0,Away,39.0,44.9,717.0,44.7
2023-01-02,PHI,7.0,35.0,Away,28.0,43.9,752.0,44.9
2023-01-07,DAL,5.0,39.0,Away,34.0,44.3,791.0,43.9
2023-01-09,WAS,7.0,37.0,Away,30.0,44.3,828.0,44.3
2023-01-11,BOS,11.0,50.0,Away,39.0,44.7,878.0,44.3
2023-01-13,DET,7.0,42.0,Away,35.0,44.0,920.0,44.7
2023-01-16,CLE,13.0,43.0,Away,30.0,42.4,963.0,44.0
2023-01-20,ORL,5.0,42.0,Away,37.0,42.2,1005.0,42.4
2023-01-22,MIA,12.0,42.0,Away,30.0,42.9,1047.0,42.2
2023-01-29,MIL,12.0,57.0,Away,45.0,43.9,1104.0,42.9
2023-01-31,DEN,10.0,44.0,Away,34.0,43.1,1148.0,43.9
2023-02-02,DAL,6.0,36.0,Away,30.0,43.2,1184.0,43.1
2023-02-13,OKC,14.0,43.0,Away,29.0,43.6,1227.0,43.2
2023-02-15,LAL,6.0,43.0,Away,37.0,44.2,1270.0,43.6
2023-02-23,TOR,11.0,48.0,Away,37.0,44.0,1318.0,44.2
2023-02-25,NYK,11.0,54.0,Away,43.0,45.2,1372.0,44.0
2023-03-01,POR,12.0,41.0,Away,29.0,45.0,1413.0,45.2
2023-03-03,GSW,9.0,43.0,Away,34.0,45.1,1456.0,45.0
2023-03-06,SAC,6.0,33.0,Away,27.0,44.2,1489.0,45.1
2023-03-17,HOU,15.0,52.0,Away,37.0,43.7,1541.0,44.2
2023-03-19,HOU,8.0,36.0,Away,28.0,42.9,1577.0,43.7
2023-03-25,LAC,2.0,31.0,Away,29.0,42.4,1608.0,42.9
2023-03-27,POR,6.0,29.0,Away,23.0,41.0,1637.0,42.4
2023-03-28,GSW,11.0,41.0,Away,30.0,40.8,1678.0,41.0
2023-03-30,DEN,11.0,40.0,Away,29.0,40.0,1718.0,40.8
2023-04-09,MIN,8.0,42.0,Away,34.0,38.8,1760.0,40.0
