Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,MEM,20.0,64.0,Away,44.0,,64.0
2022-10-28,MIL,19.0,60.0,Away,41.0,,124.0
2022-10-30,CLE,10.0,43.0,Away,33.0,,167.0
2022-11-04,PHI,13.0,44.0,Away,31.0,,211.0
2022-11-07,MIN,4.0,39.0,Away,35.0,,250.0
2022-11-09,BRK,11.0,55.0,Away,44.0,,305.0
2022-11-15,UTA,15.0,49.0,Away,34.0,,354.0
2022-11-16,DEN,8.0,42.0,Away,34.0,,396.0
2022-11-18,GSW,12.0,51.0,Away,39.0,,447.0
2022-11-20,PHO,22.0,60.0,Away,38.0,50.7,507.0
2022-11-21,OKC,11.0,38.0,Away,27.0,48.1,545.0
2022-11-29,DET,7.0,30.0,Away,23.0,45.1,575.0
2022-12-09,CHO,12.0,45.0,Away,33.0,45.3,620.0
2022-12-14,CHI,3.0,31.0,Away,28.0,44.0,651.0
2022-12-16,CHI,2.0,39.0,Away,37.0,44.0,690.0
2022-12-18,IND,12.0,44.0,Away,32.0,42.9,734.0
2022-12-27,DAL,7.0,47.0,Away,40.0,42.7,781.0
2022-12-29,SAS,14.0,48.0,Away,34.0,43.3,829.0
2022-12-31,HOU,12.0,52.0,Away,40.0,43.4,881.0
2023-01-06,TOR,12.0,46.0,Away,34.0,42.0,927.0
2023-01-13,WAS,12.0,50.0,Away,38.0,43.2,977.0
2023-01-15,DET,9.0,38.0,Away,29.0,44.0,1015.0
2023-01-20,ATL,14.0,39.0,Away,25.0,43.4,1054.0
2023-01-22,TOR,17.0,45.0,Away,28.0,44.8,1099.0
2023-01-26,BOS,15.0,54.0,Away,39.0,46.3,1153.0
2023-01-28,BRK,9.0,35.0,Away,26.0,45.4,1188.0
2023-02-07,ORL,9.0,41.0,Away,32.0,44.8,1229.0
2023-02-10,PHI,6.0,40.0,Away,34.0,44.0,1269.0
2023-02-15,ATL,8.0,40.0,Away,32.0,42.8,1309.0
2023-02-24,WAS,3.0,34.0,Away,31.0,41.6,1343.0
2023-03-03,MIA,11.0,39.0,Away,28.0,40.5,1382.0
2023-03-05,BOS,17.0,54.0,Away,37.0,42.1,1436.0
2023-03-09,SAC,6.0,42.0,Away,36.0,42.4,1478.0
2023-03-11,LAC,7.0,39.0,Away,32.0,41.8,1517.0
2023-03-12,LAL,10.0,37.0,Away,27.0,40.1,1554.0
2023-03-14,POR,11.0,38.0,Away,27.0,40.4,1592.0
2023-03-22,MIA,2.0,29.0,Away,27.0,39.2,1621.0
2023-03-23,ORL,8.0,43.0,Away,35.0,39.5,1664.0
2023-03-31,CLE,3.0,33.0,Away,30.0,38.8,1697.0
2023-04-05,IND,10.0,37.0,Away,27.0,39.1,1734.0
2023-04-07,NOP,4.0,43.0,Away,39.0,39.5,1777.0
