Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,MIN,14.0,55.0,Away,41.0,,55.0
2022-10-22,DEN,9.0,46.0,Away,37.0,,101.0
2022-10-29,DAL,12.0,49.0,Away,37.0,,150.0
2022-11-05,MIL,18.0,55.0,Away,37.0,,205.0
2022-11-07,DET,16.0,58.0,Away,42.0,,263.0
2022-11-13,NYK,13.0,35.0,Away,22.0,,298.0
2022-11-14,BOS,10.0,46.0,Away,36.0,,344.0
2022-11-16,WAS,11.0,41.0,Away,30.0,,385.0
2022-11-18,MEM,17.0,57.0,Away,40.0,,442.0
2022-11-26,HOU,11.0,53.0,Away,42.0,49.5,495.0
2022-11-28,NOP,14.0,49.0,Away,35.0,48.9,544.0
2022-12-03,MIN,12.0,44.0,Away,32.0,48.7,588.0
2022-12-05,ATL,17.0,54.0,Away,37.0,49.2,642.0
2022-12-07,MEM,10.0,50.0,Away,40.0,48.7,692.0
2022-12-10,CLE,12.0,48.0,Away,36.0,47.7,740.0
2022-12-12,DAL,16.0,50.0,Away,34.0,49.2,790.0
2022-12-29,CHO,12.0,52.0,Away,40.0,49.8,842.0
2023-01-04,ORL,13.0,49.0,Away,36.0,50.6,891.0
2023-01-10,MIA,13.0,41.0,Away,28.0,49.0,932.0
2023-01-12,PHI,9.0,39.0,Away,30.0,47.6,971.0
2023-01-13,CHI,10.0,42.0,Away,32.0,46.9,1013.0
2023-01-15,BRK,14.0,51.0,Away,37.0,47.6,1064.0
2023-01-20,SAC,13.0,53.0,Away,40.0,47.5,1117.0
2023-01-22,DEN,10.0,42.0,Away,32.0,46.7,1159.0
2023-02-01,HOU,24.0,65.0,Away,41.0,48.4,1224.0
2023-02-06,GSW,11.0,45.0,Away,34.0,47.9,1269.0
2023-02-07,LAL,6.0,41.0,Away,35.0,46.8,1310.0
2023-02-10,POR,9.0,32.0,Away,23.0,45.1,1342.0
2023-02-23,UTA,17.0,58.0,Away,41.0,46.8,1400.0
2023-02-24,PHO,15.0,54.0,Away,39.0,48.3,1454.0
2023-03-08,PHO,14.0,54.0,Away,40.0,49.5,1508.0
2023-03-11,NOP,8.0,43.0,Away,35.0,48.7,1551.0
2023-03-12,SAS,10.0,50.0,Away,40.0,48.4,1601.0
2023-03-16,TOR,19.0,59.0,Away,40.0,50.1,1660.0
2023-03-21,LAC,12.0,46.0,Away,34.0,48.2,1706.0
2023-03-23,LAC,8.0,42.0,Away,34.0,47.9,1748.0
2023-03-24,LAL,16.0,53.0,Away,37.0,49.1,1801.0
2023-03-26,POR,8.0,37.0,Away,29.0,49.6,1838.0
2023-03-31,IND,20.0,56.0,Away,36.0,49.4,1894.0
2023-04-04,GSW,19.0,54.0,Away,35.0,49.4,1948.0
2023-04-06,UTA,7.0,45.0,Away,38.0,48.5,1993.0
