Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-18,BOS,6.0,36.0,Away,30.0,36.0,36.0,40.58536585365854
2022-10-26,TOR,6.0,39.0,Away,33.0,37.5,75.0,36.0
2022-10-28,TOR,15.0,45.0,Away,30.0,40.0,120.0,37.5
2022-10-29,CHI,9.0,40.0,Away,31.0,40.0,160.0,40.0
2022-10-31,WAS,9.0,41.0,Away,32.0,40.2,201.0,40.0
2022-11-10,ATL,11.0,54.0,Away,43.0,42.5,255.0,40.2
2022-11-23,CHO,11.0,44.0,Away,33.0,42.714285714285715,299.0,42.5
2022-11-25,ORL,9.0,35.0,Away,26.0,41.75,334.0,42.714285714285715
2022-11-27,ORL,7.0,26.0,Away,19.0,40.0,360.0,41.75
2022-11-30,CLE,6.0,40.0,Away,34.0,40.0,400.0,40.0
2022-12-02,MEM,19.0,57.0,Away,38.0,42.1,457.0,40.0
2022-12-05,HOU,16.0,51.0,Away,35.0,43.3,508.0,42.1
2022-12-25,NYK,12.0,46.0,Away,34.0,43.4,554.0,43.3
2022-12-27,WAS,14.0,39.0,Away,25.0,43.3,593.0,43.4
2022-12-30,NOP,7.0,36.0,Away,29.0,42.8,629.0,43.3
2022-12-31,OKC,15.0,50.0,Away,35.0,42.4,679.0,42.8
2023-01-08,DET,10.0,43.0,Away,33.0,42.3,722.0,42.4
2023-01-14,UTA,10.0,48.0,Away,38.0,43.6,770.0,42.3
2023-01-15,LAL,4.0,38.0,Away,34.0,44.8,808.0,43.6
2023-01-17,LAC,8.0,33.0,Away,25.0,44.1,841.0,44.8
2023-01-19,POR,13.0,44.0,Away,31.0,42.8,885.0,44.1
2023-01-21,SAC,4.0,29.0,Away,25.0,40.6,914.0,42.8
2023-02-03,SAS,9.0,35.0,Away,26.0,39.5,949.0,40.6
2023-02-05,NYK,14.0,49.0,Away,35.0,40.5,998.0,39.5
2023-02-08,BOS,5.0,44.0,Away,39.0,41.3,1042.0,40.5
2023-02-11,BRK,12.0,42.0,Away,30.0,40.5,1084.0,41.3
2023-03-01,MIA,5.0,33.0,Away,28.0,39.5,1117.0,40.5
2023-03-02,DAL,5.0,31.0,Away,26.0,37.8,1148.0,39.5
2023-03-04,MIL,11.0,43.0,Away,32.0,38.3,1191.0,37.8
2023-03-06,IND,5.0,30.0,Away,25.0,38.0,1221.0,38.3
2023-03-07,MIN,6.0,34.0,Away,28.0,37.0,1255.0,38.0
2023-03-15,CLE,12.0,33.0,Away,21.0,37.4,1288.0,37.0
2023-03-17,CHO,7.0,35.0,Away,28.0,37.4,1323.0,37.4
2023-03-18,IND,12.0,41.0,Away,29.0,36.6,1364.0,37.4
2023-03-22,CHI,15.0,42.0,Away,27.0,36.4,1406.0,36.6
2023-03-24,GSW,10.0,49.0,Away,39.0,37.1,1455.0,36.4
2023-03-25,PHO,13.0,45.0,Away,32.0,38.3,1500.0,37.1
2023-03-27,DEN,10.0,42.0,Away,32.0,39.4,1542.0,38.3
2023-04-02,MIL,7.0,42.0,Away,35.0,39.3,1584.0,39.4
2023-04-07,ATL,4.0,38.0,Away,34.0,40.1,1622.0,39.3
2023-04-09,BRK,10.0,42.0,Away,32.0,40.9,1664.0,40.1
