Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-21,POR,13.0,48.0,Away,35.0,48.0,48.0,43.146341463414636
2022-10-23,LAC,9.0,43.0,Away,34.0,45.5,91.0,48.0
2022-11-07,PHI,15.0,48.0,Away,33.0,46.333333333333336,139.0,45.5
2022-11-09,MIN,8.0,38.0,Away,30.0,44.25,177.0,46.333333333333336
2022-11-11,ORL,9.0,50.0,Away,41.0,45.4,227.0,44.25
2022-11-14,MIA,17.0,42.0,Away,25.0,44.833333333333336,269.0,45.4
2022-11-18,UTA,11.0,36.0,Away,25.0,43.57142857142857,305.0,44.833333333333336
2022-11-28,SAC,8.0,37.0,Away,29.0,42.75,342.0,43.57142857142857
2022-12-04,SAS,12.0,40.0,Away,28.0,42.44444444444444,382.0,42.75
2022-12-05,DAL,10.0,41.0,Away,31.0,42.3,423.0,42.44444444444444
2022-12-09,NOP,13.0,44.0,Away,31.0,41.9,467.0,42.3
2022-12-11,NOP,7.0,43.0,Away,36.0,41.9,510.0,41.9
2022-12-13,HOU,17.0,67.0,Away,50.0,43.8,577.0,41.9
2022-12-15,LAC,21.0,52.0,Away,31.0,45.2,629.0,43.8
2022-12-25,DEN,12.0,48.0,Away,36.0,45.0,677.0,45.2
2022-12-27,MEM,15.0,40.0,Away,25.0,44.8,717.0,45.0
2022-12-28,WAS,12.0,46.0,Away,34.0,45.8,763.0,44.8
2022-12-30,TOR,8.0,31.0,Away,23.0,45.2,794.0,45.8
2023-01-02,NYK,5.0,45.0,Away,40.0,45.7,839.0,45.2
2023-01-04,CLE,7.0,46.0,Away,39.0,46.2,885.0,45.7
2023-01-10,GSW,16.0,45.0,Away,29.0,46.3,930.0,46.2
2023-01-11,DEN,7.0,38.0,Away,31.0,45.8,968.0,46.3
2023-01-13,MIN,4.0,37.0,Away,33.0,42.8,1005.0,45.8
2023-01-16,MEM,13.0,51.0,Away,38.0,42.7,1056.0,42.8
2023-01-28,SAS,17.0,53.0,Away,36.0,43.2,1109.0,42.7
2023-02-03,BOS,3.0,43.0,Away,40.0,43.5,1152.0,43.2
2023-02-04,DET,9.0,30.0,Away,21.0,41.9,1182.0,43.5
2023-02-07,BRK,5.0,36.0,Away,31.0,42.4,1218.0,41.9
2023-02-09,ATL,20.0,59.0,Away,39.0,43.8,1277.0,42.4
2023-02-10,IND,11.0,38.0,Away,27.0,43.0,1315.0,43.8
2023-02-26,MIL,11.0,45.0,Away,34.0,43.0,1360.0,43.0
2023-03-01,CHO,12.0,48.0,Away,36.0,44.0,1408.0,43.0
2023-03-03,CHI,9.0,34.0,Away,25.0,43.7,1442.0,44.0
2023-03-05,DAL,5.0,31.0,Away,26.0,41.7,1473.0,43.7
2023-03-13,GSW,9.0,41.0,Away,32.0,40.5,1514.0,41.7
2023-03-19,OKC,6.0,44.0,Away,38.0,40.6,1558.0,40.5
2023-03-22,LAL,5.0,36.0,Away,31.0,41.2,1594.0,40.6
2023-03-24,SAC,5.0,33.0,Away,28.0,40.9,1627.0,41.2
2023-03-27,UTA,10.0,47.0,Away,37.0,39.7,1674.0,40.9
2023-04-02,OKC,13.0,41.0,Away,28.0,40.0,1715.0,39.7
2023-04-07,LAL,10.0,54.0,Away,44.0,40.9,1769.0,40.0
