Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,SAC,4.0,41.0,Away,37.0,,41.0
2022-10-23,LAL,10.0,40.0,Away,30.0,,81.0
2022-11-04,PHO,13.0,39.0,Away,26.0,,120.0
2022-11-05,PHO,11.0,44.0,Away,33.0,,164.0
2022-11-07,MIA,5.0,32.0,Away,27.0,,196.0
2022-11-09,CHO,20.0,42.0,Away,22.0,,238.0
2022-11-10,NOP,9.0,45.0,Away,36.0,,283.0
2022-11-12,DAL,7.0,40.0,Away,33.0,,323.0
2022-11-21,MIL,10.0,42.0,Away,32.0,,365.0
2022-11-23,CLE,11.0,39.0,Away,28.0,40.4,404.0
2022-11-25,NYK,12.0,44.0,Away,32.0,40.7,448.0
2022-11-27,BRK,4.0,38.0,Away,34.0,40.5,486.0
2022-11-30,LAL,13.0,48.0,Away,35.0,41.4,534.0
2022-12-03,UTA,10.0,44.0,Away,34.0,41.4,578.0
2022-12-14,SAS,14.0,40.0,Away,26.0,42.2,618.0
2022-12-16,DAL,3.0,40.0,Away,37.0,42.0,658.0
2022-12-17,HOU,18.0,51.0,Away,33.0,42.6,709.0
2022-12-19,OKC,11.0,39.0,Away,28.0,42.5,748.0
2022-12-21,OKC,9.0,37.0,Away,28.0,42.0,785.0
2022-12-23,DEN,4.0,38.0,Away,34.0,41.9,823.0
2022-12-30,GSW,17.0,46.0,Away,29.0,42.1,869.0
2023-01-04,MIN,8.0,33.0,Away,25.0,41.6,902.0
2023-01-06,IND,4.0,41.0,Away,37.0,40.9,943.0
2023-01-08,TOR,13.0,41.0,Away,28.0,40.6,984.0
2023-01-17,DEN,11.0,42.0,Away,31.0,40.8,1026.0
2023-02-01,MEM,12.0,44.0,Away,32.0,41.2,1070.0
2023-02-03,WAS,9.0,41.0,Away,32.0,40.2,1111.0
2023-02-04,CHI,6.0,41.0,Away,35.0,40.4,1152.0
2023-02-23,SAC,12.0,49.0,Away,37.0,41.6,1201.0
2023-02-28,GSW,12.0,46.0,Away,34.0,42.4,1247.0
2023-03-03,ATL,10.0,43.0,Away,33.0,42.1,1290.0
2023-03-05,ORL,6.0,38.0,Away,32.0,42.6,1328.0
2023-03-06,DET,16.0,52.0,Away,36.0,43.7,1380.0
2023-03-08,BOS,5.0,45.0,Away,40.0,44.1,1425.0
2023-03-10,PHI,12.0,42.0,Away,30.0,44.1,1467.0
2023-03-12,NOP,8.0,43.0,Away,35.0,44.0,1510.0
2023-03-22,UTA,7.0,47.0,Away,40.0,44.6,1557.0
2023-04-02,MIN,7.0,47.0,Away,40.0,45.2,1604.0
2023-04-04,MEM,8.0,49.0,Away,41.0,45.2,1653.0
2023-04-06,SAS,18.0,47.0,Away,29.0,45.3,1700.0
2023-04-08,LAC,13.0,51.0,Away,38.0,46.1,1751.0
