Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-23,GSW,6.0,37.0,Away,31.0,37.0,37.0,43.51219512195122
2022-10-31,CHO,6.0,38.0,Away,32.0,37.5,75.0,37.0
2022-11-02,MIA,9.0,46.0,Away,37.0,40.333333333333336,121.0,37.5
2022-11-05,ORL,7.0,48.0,Away,41.0,42.25,169.0,40.333333333333336
2022-11-07,GSW,8.0,48.0,Away,40.0,43.4,217.0,42.25
2022-11-11,LAL,14.0,41.0,Away,27.0,43.0,258.0,43.4
2022-11-22,MEM,13.0,49.0,Away,36.0,43.857142857142854,307.0,43.0
2022-11-23,ATL,10.0,47.0,Away,37.0,44.25,354.0,43.857142857142854
2022-11-25,BOS,4.0,38.0,Away,34.0,43.55555555555556,392.0,44.25
2022-12-03,LAC,17.0,50.0,Away,33.0,44.2,442.0,43.55555555555556
2022-12-07,MIL,17.0,50.0,Away,33.0,45.5,492.0,44.2
2022-12-09,CLE,8.0,36.0,Away,28.0,45.3,528.0,45.5
2022-12-11,NYK,15.0,55.0,Away,40.0,46.2,583.0,45.3
2022-12-13,PHI,4.0,42.0,Away,38.0,45.6,625.0,46.2
2022-12-14,TOR,11.0,39.0,Away,28.0,44.7,664.0,45.6
2022-12-16,DET,14.0,46.0,Away,32.0,45.2,710.0,44.7
2023-01-01,MEM,21.0,57.0,Away,36.0,46.0,767.0,45.2
2023-01-03,UTA,12.0,44.0,Away,32.0,45.7,811.0,46.0
2023-01-15,SAS,11.0,40.0,Away,29.0,45.9,851.0,45.7
2023-01-18,LAL,6.0,36.0,Away,30.0,44.5,887.0,45.9
2023-01-28,MIN,9.0,44.0,Away,35.0,43.9,931.0,44.5
2023-01-30,MIN,8.0,49.0,Away,41.0,45.2,980.0,43.9
2023-02-01,SAS,8.0,40.0,Away,32.0,43.7,1020.0,45.2
2023-02-03,IND,9.0,47.0,Away,38.0,44.2,1067.0,43.7
2023-02-05,NOP,12.0,48.0,Away,36.0,45.1,1115.0,44.2
2023-02-06,HOU,11.0,39.0,Away,28.0,44.4,1154.0,45.1
2023-02-08,HOU,15.0,44.0,Away,29.0,43.1,1198.0,44.4
2023-02-14,PHO,8.0,37.0,Away,29.0,42.4,1235.0,43.1
2023-02-24,LAC,7.0,42.0,Away,35.0,42.6,1277.0,42.4
2023-02-26,OKC,9.0,37.0,Away,28.0,42.7,1314.0,42.6
2023-02-28,OKC,12.0,42.0,Away,30.0,42.5,1356.0,42.7
2023-03-11,PHO,7.0,40.0,Away,33.0,41.6,1396.0,42.5
2023-03-15,CHI,13.0,48.0,Away,35.0,42.4,1444.0,41.6
2023-03-16,BRK,3.0,41.0,Away,38.0,41.8,1485.0,42.4
2023-03-18,WAS,12.0,46.0,Away,34.0,41.6,1531.0,41.8
2023-03-20,UTA,6.0,48.0,Away,42.0,42.5,1579.0,41.6
2023-03-29,POR,8.0,45.0,Away,37.0,42.6,1624.0,42.5
2023-03-31,POR,9.0,33.0,Away,24.0,42.2,1657.0,42.6
2023-04-04,NOP,9.0,37.0,Away,28.0,41.7,1694.0,42.2
2023-04-05,DAL,7.0,39.0,Away,32.0,41.9,1733.0,41.7
2023-04-09,DEN,15.0,51.0,Away,36.0,42.8,1784.0,41.9
