Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-21,IND,14.0,42.0,Away,28.0,,42.0
2022-10-22,PHI,12.0,40.0,Away,28.0,,82.0
2022-10-24,MIN,10.0,50.0,Away,40.0,,132.0
2022-10-26,MIN,0.0,30.0,Away,30.0,,162.0
2022-11-05,DEN,10.0,47.0,Away,37.0,,209.0
2022-11-14,GSW,5.0,40.0,Away,35.0,,249.0
2022-11-15,POR,9.0,39.0,Away,30.0,,288.0
2022-11-17,SAC,6.0,37.0,Away,31.0,,325.0
2022-11-19,LAC,7.0,35.0,Away,28.0,,360.0
2022-11-20,LAL,5.0,54.0,Away,49.0,41.4,414.0
2022-11-30,OKC,15.0,52.0,Away,37.0,42.4,466.0
2022-12-10,MIA,5.0,32.0,Away,27.0,41.6,498.0
2022-12-19,HOU,16.0,41.0,Away,25.0,40.7,539.0
2022-12-22,NOP,16.0,46.0,Away,30.0,42.3,585.0
2022-12-23,ORL,7.0,44.0,Away,37.0,42.0,629.0
2022-12-27,OKC,13.0,45.0,Away,32.0,42.5,674.0
2023-01-02,BRK,7.0,45.0,Away,38.0,43.1,719.0
2023-01-04,NYK,14.0,47.0,Away,33.0,44.1,766.0
2023-01-09,MEM,11.0,50.0,Away,39.0,45.6,816.0
2023-01-11,MEM,17.0,57.0,Away,40.0,45.9,873.0
2023-01-23,POR,8.0,36.0,Away,28.0,44.3,909.0
2023-01-25,LAL,11.0,56.0,Away,45.0,46.7,965.0
2023-01-26,LAC,6.0,37.0,Away,31.0,46.3,1002.0
2023-02-06,CHI,7.0,49.0,Away,42.0,46.6,1051.0
2023-02-08,TOR,9.0,51.0,Away,42.0,47.3,1102.0
2023-02-10,DET,21.0,62.0,Away,41.0,49.0,1164.0
2023-02-11,ATL,14.0,48.0,Away,34.0,49.3,1212.0
2023-02-13,CLE,11.0,36.0,Away,25.0,48.2,1248.0
2023-02-15,CHO,15.0,58.0,Away,43.0,49.0,1306.0
2023-02-23,DAL,3.0,36.0,Away,33.0,46.9,1342.0
2023-02-25,UTA,15.0,56.0,Away,41.0,48.9,1398.0
2023-02-28,UTA,14.0,52.0,Away,38.0,48.5,1450.0
2023-03-05,HOU,6.0,44.0,Away,38.0,49.2,1494.0
2023-03-21,NOP,5.0,49.0,Away,44.0,49.2,1543.0
2023-03-22,MIL,10.0,54.0,Away,44.0,49.5,1597.0
2023-03-24,WAS,6.0,43.0,Away,37.0,47.6,1640.0
2023-03-26,BOS,9.0,61.0,Away,52.0,48.9,1701.0
2023-03-31,GSW,14.0,45.0,Away,31.0,49.8,1746.0
2023-04-02,SAC,13.0,43.0,Away,30.0,48.3,1789.0
2023-04-04,PHO,15.0,57.0,Away,42.0,50.4,1846.0
2023-04-09,DAL,8.0,46.0,Away,38.0,49.4,1892.0
