Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-21,BRK,13.0,44.0,Away,31.0,,44.0
2022-10-22,MIA,6.0,44.0,Away,38.0,,88.0
2022-10-24,MIA,8.0,46.0,Away,38.0,,134.0
2022-11-02,SAS,13.0,46.0,Away,33.0,,180.0
2022-11-04,DAL,6.0,31.0,Away,25.0,,211.0
2022-11-07,CHI,9.0,49.0,Away,40.0,,260.0
2022-11-11,OKC,15.0,44.0,Away,29.0,,304.0
2022-11-12,IND,11.0,51.0,Away,40.0,,355.0
2022-11-14,DET,11.0,39.0,Away,28.0,,394.0
2022-11-19,ATL,11.0,50.0,Away,39.0,44.4,444.0
2022-11-30,NOP,12.0,52.0,Away,40.0,45.2,496.0
2022-12-02,BRK,7.0,41.0,Away,34.0,44.9,537.0
2022-12-09,ORL,3.0,43.0,Away,40.0,44.6,580.0
2022-12-11,ORL,11.0,42.0,Away,31.0,44.2,622.0
2022-12-19,PHI,4.0,41.0,Away,37.0,45.2,663.0
2022-12-21,NYK,9.0,38.0,Away,29.0,44.1,701.0
2022-12-23,CLE,6.0,35.0,Away,29.0,43.2,736.0
2023-01-02,IND,15.0,50.0,Away,35.0,43.1,786.0
2023-01-16,NYK,20.0,54.0,Away,34.0,44.6,840.0
2023-01-17,MIL,6.0,42.0,Away,36.0,43.8,882.0
2023-01-19,MIN,8.0,37.0,Away,29.0,42.3,919.0
2023-01-25,SAC,4.0,34.0,Away,30.0,41.6,953.0
2023-01-27,GSW,5.0,43.0,Away,38.0,41.6,996.0
2023-01-28,POR,3.0,27.0,Away,24.0,40.1,1023.0
2023-01-30,PHO,13.0,42.0,Away,29.0,40.2,1065.0
2023-02-01,UTA,13.0,49.0,Away,36.0,41.3,1114.0
2023-02-03,HOU,6.0,40.0,Away,34.0,41.8,1154.0
2023-02-05,MEM,8.0,44.0,Away,36.0,41.2,1198.0
2023-02-25,DET,17.0,62.0,Away,45.0,42.0,1260.0
2023-02-26,CLE,8.0,45.0,Away,37.0,42.3,1305.0
2023-03-02,WAS,9.0,43.0,Away,34.0,42.9,1348.0
2023-03-04,WAS,9.0,43.0,Away,34.0,43.8,1391.0
2023-03-06,DEN,12.0,41.0,Away,29.0,43.6,1432.0
2023-03-08,LAC,9.0,44.0,Away,35.0,45.3,1476.0
2023-03-10,LAL,5.0,35.0,Away,30.0,44.6,1511.0
2023-03-19,MIL,7.0,45.0,Away,38.0,44.2,1556.0
2023-03-31,PHI,9.0,37.0,Away,28.0,43.9,1593.0
2023-04-02,CHO,10.0,37.0,Away,27.0,43.2,1630.0
2023-04-04,CHO,6.0,42.0,Away,36.0,41.2,1672.0
2023-04-05,BOS,11.0,48.0,Away,37.0,41.5,1720.0
2023-04-07,BOS,13.0,53.0,Away,40.0,42.5,1773.0
