Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-21,MIN,21.0,60.0,Away,39.0,60.0,60.0,43.58536585365854
2022-10-23,NOP,14.0,45.0,Away,31.0,52.5,105.0,60.0
2022-10-24,HOU,17.0,47.0,Away,30.0,50.666666666666664,152.0,52.5
2022-10-28,DEN,17.0,58.0,Away,41.0,52.5,210.0,50.666666666666664
2022-11-02,DAL,7.0,37.0,Away,30.0,49.4,247.0,52.5
2022-11-04,LAL,9.0,40.0,Away,31.0,47.833333333333336,287.0,49.4
2022-11-06,LAC,4.0,32.0,Away,28.0,45.57142857142857,319.0,47.833333333333336
2022-11-09,ATL,17.0,54.0,Away,37.0,46.625,373.0,45.57142857142857
2022-11-12,WAS,6.0,46.0,Away,40.0,46.55555555555556,419.0,46.625
2022-11-13,PHI,8.0,39.0,Away,31.0,45.8,458.0,46.55555555555556
2022-11-19,POR,10.0,43.0,Away,33.0,44.1,501.0,45.8
2022-11-21,LAC,12.0,41.0,Away,29.0,43.7,542.0,44.1
2022-11-25,GSW,16.0,49.0,Away,33.0,43.9,591.0,43.7
2022-11-26,PHO,18.0,48.0,Away,30.0,42.9,639.0,43.9
2022-12-10,DEN,6.0,39.0,Away,33.0,43.1,678.0,42.9
2022-12-17,MIL,15.0,54.0,Away,39.0,44.5,732.0,43.1
2022-12-19,CLE,4.0,45.0,Away,41.0,45.8,777.0,44.5
2022-12-20,DET,9.0,43.0,Away,34.0,44.7,820.0,45.8
2022-12-26,SAS,6.0,41.0,Away,35.0,44.2,861.0,44.7
2022-12-28,GSW,10.0,51.0,Away,41.0,45.4,912.0,44.2
2022-12-30,SAC,10.0,38.0,Away,28.0,44.9,950.0,45.4
2023-01-05,HOU,14.0,49.0,Away,35.0,45.7,999.0,44.9
2023-01-07,CHI,7.0,44.0,Away,37.0,45.2,1043.0,45.7
2023-01-08,MEM,13.0,39.0,Away,26.0,44.3,1082.0,45.2
2023-01-16,MIN,16.0,41.0,Away,25.0,44.5,1123.0,44.3
2023-01-25,POR,6.0,41.0,Away,35.0,43.2,1164.0,44.5
2023-02-10,TOR,9.0,40.0,Away,31.0,42.7,1204.0,43.2
2023-02-11,NYK,20.0,52.0,Away,32.0,43.6,1256.0,42.7
2023-02-13,IND,8.0,32.0,Away,24.0,42.7,1288.0,43.6
2023-02-15,MEM,17.0,46.0,Away,29.0,42.2,1334.0,42.7
2023-03-03,OKC,11.0,40.0,Away,29.0,42.4,1374.0,42.2
2023-03-05,OKC,11.0,42.0,Away,31.0,41.7,1416.0,42.4
2023-03-07,DAL,3.0,43.0,Away,40.0,41.6,1459.0,41.7
2023-03-09,ORL,12.0,36.0,Away,24.0,41.3,1495.0,41.6
2023-03-11,CHO,11.0,43.0,Away,32.0,41.5,1538.0,41.3
2023-03-13,MIA,9.0,37.0,Away,28.0,41.1,1575.0,41.5
2023-03-25,SAC,14.0,42.0,Away,28.0,41.3,1617.0,41.1
2023-03-29,SAS,9.0,39.0,Away,30.0,40.0,1656.0,41.3
2023-03-31,BOS,10.0,42.0,Away,32.0,41.0,1698.0,40.0
2023-04-02,BRK,7.0,40.0,Away,33.0,40.4,1738.0,41.0
2023-04-09,LAL,10.0,49.0,Away,39.0,41.3,1787.0,40.4
