Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,IND,12.0,42.0,Away,30.0,42.0,42.0,43.1219512195122
2022-10-23,CLE,16.0,48.0,Away,32.0,45.0,90.0,42.0
2022-10-30,BOS,4.0,47.0,Away,43.0,45.666666666666664,137.0,45.0
2022-11-02,PHI,6.0,32.0,Away,26.0,42.25,169.0,45.666666666666664
2022-11-06,MEM,12.0,50.0,Away,38.0,43.8,219.0,42.25
2022-11-07,CHO,17.0,45.0,Away,28.0,44.0,264.0,43.8
2022-11-23,MIA,14.0,53.0,Away,39.0,45.285714285714285,317.0,44.0
2022-11-25,MIA,10.0,47.0,Away,37.0,45.5,364.0,45.285714285714285
2022-11-27,BOS,10.0,38.0,Away,28.0,44.666666666666664,402.0,45.5
2022-11-30,BRK,4.0,35.0,Away,31.0,43.7,437.0,44.666666666666664
2022-12-02,CHO,19.0,45.0,Away,26.0,44.0,482.0,43.7
2022-12-07,CHI,6.0,41.0,Away,35.0,43.3,523.0,44.0
2022-12-09,IND,13.0,40.0,Away,27.0,42.6,563.0,43.3
2022-12-14,DEN,7.0,45.0,Away,38.0,43.9,608.0,42.6
2022-12-17,LAC,12.0,49.0,Away,37.0,43.8,657.0,43.9
2022-12-18,LAL,6.0,43.0,Away,37.0,43.6,700.0,43.8
2022-12-20,PHO,15.0,44.0,Away,29.0,42.7,744.0,43.6
2022-12-22,UTA,8.0,40.0,Away,32.0,42.0,784.0,42.7
2022-12-23,SAC,13.0,47.0,Away,34.0,42.9,831.0,42.0
2022-12-30,ORL,8.0,35.0,Away,27.0,42.9,866.0,42.9
2023-01-01,MIL,14.0,44.0,Away,30.0,42.8,910.0,42.9
2023-01-03,MIL,15.0,49.0,Away,34.0,43.6,959.0,42.8
2023-01-06,OKC,11.0,41.0,Away,30.0,43.7,1000.0,43.6
2023-01-18,NYK,20.0,49.0,Away,29.0,44.1,1049.0,43.7
2023-01-24,DAL,8.0,38.0,Away,30.0,43.0,1087.0,44.1
2023-01-25,HOU,17.0,57.0,Away,40.0,44.4,1144.0,43.0
2023-01-28,NOP,8.0,42.0,Away,34.0,44.2,1186.0,44.4
2023-01-30,SAS,14.0,43.0,Away,29.0,44.5,1229.0,44.2
2023-02-04,BRK,10.0,39.0,Away,29.0,43.7,1268.0,44.5
2023-02-13,GSW,11.0,34.0,Away,23.0,43.6,1302.0,43.7
2023-02-14,POR,12.0,37.0,Away,25.0,42.9,1339.0,43.6
2023-02-16,MIN,16.0,53.0,Away,37.0,43.3,1392.0,42.9
2023-02-26,CHI,8.0,39.0,Away,31.0,43.1,1431.0,43.3
2023-02-28,ATL,13.0,42.0,Away,29.0,42.4,1473.0,43.1
2023-03-07,DET,10.0,30.0,Away,20.0,41.6,1503.0,42.4
2023-03-12,PHI,9.0,42.0,Away,33.0,40.1,1545.0,41.6
2023-03-17,CLE,9.0,41.0,Away,32.0,40.0,1586.0,40.1
2023-03-21,ORL,7.0,42.0,Away,35.0,39.9,1628.0,40.0
2023-03-26,TOR,18.0,53.0,Away,35.0,41.3,1681.0,39.9
2023-04-02,NYK,7.0,39.0,Away,32.0,41.8,1720.0,41.3
2023-04-05,ATL,12.0,48.0,Away,36.0,42.9,1768.0,41.8
