Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-18,PHI,4.0,31.0,Home,27.0,31.0,31.0,44.01219512195122
2022-10-21,MIA,11.0,36.0,Away,25.0,33.5,67.0,31.0
2022-10-22,ORL,12.0,48.0,Away,36.0,38.333333333333336,115.0,33.5
2022-10-24,CHI,14.0,60.0,Away,46.0,43.75,175.0,38.333333333333336
2022-10-28,CLE,9.0,42.0,Home,33.0,43.4,217.0,43.75
2022-10-30,WAS,15.0,51.0,Home,36.0,44.666666666666664,268.0,43.4
2022-11-02,CLE,9.0,51.0,Away,42.0,45.57142857142857,319.0,44.666666666666664
2022-11-04,CHI,4.0,37.0,Home,33.0,44.5,356.0,45.57142857142857
2022-11-05,NYK,12.0,44.0,Away,32.0,44.44444444444444,400.0,44.5
2022-11-07,MEM,8.0,45.0,Away,37.0,44.5,445.0,44.44444444444444
2022-11-09,DET,15.0,48.0,Home,33.0,46.2,493.0,44.5
2022-11-11,DEN,11.0,38.0,Home,27.0,46.4,531.0,46.2
2022-11-12,DET,11.0,50.0,Away,39.0,46.6,581.0,46.4
2022-11-14,OKC,10.0,51.0,Home,41.0,45.7,632.0,46.6
2022-11-16,ATL,14.0,45.0,Away,31.0,46.0,677.0,45.7
2022-11-18,NOP,7.0,37.0,Away,30.0,44.6,714.0,46.0
2022-11-21,CHI,8.0,51.0,Away,43.0,44.6,765.0,44.6
2022-11-23,DAL,5.0,35.0,Home,30.0,44.4,800.0,44.6
2022-11-25,SAC,11.0,45.0,Home,34.0,44.5,845.0,44.4
2022-11-27,WAS,6.0,29.0,Home,23.0,42.9,874.0,44.5
2022-11-28,CHO,13.0,37.0,Home,24.0,41.8,911.0,42.9
2022-11-30,MIA,9.0,32.0,Home,23.0,41.2,943.0,41.8
2022-12-02,MIA,12.0,50.0,Home,38.0,41.2,993.0,41.2
2022-12-04,BRK,11.0,45.0,Away,34.0,40.6,1038.0,41.2
2022-12-05,TOR,12.0,46.0,Away,34.0,40.7,1084.0,40.6
2022-12-07,PHO,13.0,49.0,Away,36.0,41.9,1133.0,40.7
2022-12-10,GSW,11.0,53.0,Away,42.0,42.1,1186.0,41.9
2022-12-12,LAC,11.0,46.0,Away,35.0,43.2,1232.0,42.1
2022-12-13,LAL,7.0,49.0,Away,42.0,43.6,1281.0,43.2
2022-12-16,ORL,15.0,53.0,Home,38.0,46.0,1334.0,43.6
2022-12-18,ORL,6.0,46.0,Home,40.0,46.9,1380.0,46.0
2022-12-21,IND,12.0,47.0,Home,35.0,48.4,1427.0,46.9
2022-12-23,MIN,11.0,45.0,Home,34.0,47.9,1472.0,48.4
2022-12-25,MIL,8.0,39.0,Home,31.0,47.3,1511.0,47.9
2022-12-27,HOU,13.0,49.0,Home,36.0,47.6,1560.0,47.3
2022-12-29,LAC,8.0,41.0,Home,33.0,46.8,1601.0,47.6
2023-01-01,DEN,1.0,35.0,Away,34.0,45.0,1636.0,46.8
2023-01-03,OKC,9.0,44.0,Away,35.0,44.8,1680.0,45.0
2023-01-05,DAL,11.0,42.0,Away,31.0,44.1,1722.0,44.8
2023-01-07,SAS,12.0,51.0,Away,39.0,43.9,1773.0,44.1
2023-01-09,CHI,6.0,42.0,Home,36.0,43.5,1815.0,43.9
2023-01-11,NOP,4.0,33.0,Home,29.0,42.1,1848.0,43.5
2023-01-12,BRK,4.0,31.0,Away,27.0,40.7,1879.0,42.1
2023-01-14,CHO,10.0,46.0,Away,36.0,41.4,1925.0,40.7
2023-01-16,CHO,13.0,38.0,Away,25.0,40.3,1963.0,41.4
2023-01-19,GSW,8.0,47.0,Home,39.0,40.9,2010.0,40.3
2023-01-21,TOR,6.0,41.0,Away,35.0,41.5,2051.0,40.9
2023-01-23,ORL,8.0,40.0,Away,32.0,41.1,2091.0,41.5
2023-01-24,MIA,14.0,51.0,Away,37.0,42.0,2142.0,41.1
2023-01-26,NYK,10.0,50.0,Home,40.0,41.9,2192.0,42.0
2023-01-28,LAL,11.0,47.0,Home,36.0,42.4,2239.0,41.9
2023-02-01,BRK,5.0,32.0,Home,27.0,42.3,2271.0,42.4
2023-02-03,PHO,10.0,53.0,Home,43.0,44.5,2324.0,42.3
2023-02-06,DET,9.0,42.0,Away,33.0,44.1,2366.0,44.5
2023-02-08,PHI,8.0,37.0,Home,29.0,44.0,2403.0,44.1
2023-02-10,CHO,11.0,47.0,Home,36.0,44.0,2450.0,44.0
2023-02-12,MEM,3.0,34.0,Home,31.0,43.3,2484.0,44.0
2023-02-14,MIL,10.0,52.0,Away,42.0,44.5,2536.0,43.3
2023-02-15,DET,6.0,35.0,Home,29.0,42.9,2571.0,44.5
2023-02-23,IND,10.0,37.0,Away,27.0,41.6,2608.0,42.9
2023-02-25,PHI,8.0,42.0,Away,34.0,41.1,2650.0,41.6
2023-02-27,NYK,7.0,44.0,Away,37.0,42.3,2694.0,41.1
2023-03-01,CLE,10.0,38.0,Home,28.0,40.8,2732.0,42.3
2023-03-03,BRK,13.0,47.0,Home,34.0,41.3,2779.0,40.8
2023-03-05,NYK,11.0,54.0,Home,43.0,43.0,2833.0,41.3
2023-03-06,CLE,16.0,58.0,Away,42.0,44.1,2891.0,43.0
2023-03-08,POR,6.0,47.0,Home,41.0,45.4,2938.0,44.1
2023-03-11,ATL,13.0,48.0,Away,35.0,45.0,2986.0,45.4
2023-03-13,HOU,15.0,48.0,Away,33.0,46.3,3034.0,45.0
2023-03-15,MIN,8.0,46.0,Away,38.0,47.2,3080.0,46.3
2023-03-17,POR,8.0,37.0,Away,29.0,46.7,3117.0,47.2
2023-03-18,UTA,17.0,56.0,Away,39.0,47.9,3173.0,46.7
2023-03-21,SAC,10.0,42.0,Away,32.0,48.3,3215.0,47.9
2023-03-24,IND,6.0,44.0,Home,38.0,48.0,3259.0,48.3
2023-03-26,SAS,3.0,38.0,Home,35.0,46.4,3297.0,48.0
