Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,NOP,21.0,61.0,Home,40.0,61.0,61.0
2022-10-21,TOR,8.0,41.0,Home,33.0,51.0,102.0
2022-10-24,MEM,12.0,38.0,Away,26.0,46.666666666666664,140.0
2022-10-26,MIL,14.0,54.0,Away,40.0,48.5,194.0
2022-10-27,DAL,7.0,37.0,Home,30.0,46.2,231.0
2022-10-29,IND,17.0,53.0,Home,36.0,47.333333333333336,284.0
2022-10-31,IND,10.0,38.0,Home,28.0,46.0,322.0
2022-11-01,CHI,11.0,44.0,Home,33.0,45.75,366.0
2022-11-04,WAS,7.0,39.0,Away,32.0,45.0,405.0
2022-11-05,CHO,13.0,50.0,Away,37.0,45.5,455.0
2022-11-07,DAL,12.0,41.0,Away,29.0,43.5,496.0
2022-11-09,NYK,11.0,46.0,Home,35.0,44.0,542.0
2022-11-12,LAC,10.0,46.0,Away,36.0,44.8,588.0
2022-11-13,LAL,12.0,45.0,Away,33.0,43.9,633.0
2022-11-15,SAC,9.0,43.0,Away,34.0,44.5,676.0
2022-11-17,POR,8.0,39.0,Away,31.0,43.1,715.0
2022-11-20,MEM,13.0,44.0,Home,31.0,43.7,759.0
2022-11-22,PHI,20.0,49.0,Away,29.0,44.2,808.0
2022-11-23,TOR,23.0,52.0,Away,29.0,45.5,860.0
2022-11-25,IND,5.0,41.0,Away,36.0,44.6,901.0
2022-11-27,POR,11.0,42.0,Home,31.0,44.7,943.0
2022-11-28,ORL,9.0,35.0,Home,26.0,43.6,978.0
2022-11-30,WAS,14.0,51.0,Home,37.0,44.1,1029.0
2022-12-02,TOR,11.0,43.0,Home,32.0,43.9,1072.0
2022-12-04,BOS,8.0,48.0,Home,40.0,44.4,1120.0
2022-12-07,CHO,10.0,40.0,Home,30.0,44.5,1160.0
2022-12-09,ATL,12.0,38.0,Home,26.0,43.9,1198.0
2022-12-10,IND,7.0,30.0,Away,23.0,42.0,1228.0
2022-12-12,WAS,6.0,44.0,Away,38.0,41.2,1272.0
2022-12-16,TOR,7.0,32.0,Away,25.0,40.3,1304.0
2022-12-18,DET,11.0,41.0,Away,30.0,40.2,1345.0
2022-12-21,GSW,9.0,36.0,Home,27.0,40.3,1381.0
2022-12-23,MIL,13.0,45.0,Home,32.0,39.7,1426.0
2022-12-26,CLE,10.0,33.0,Away,23.0,38.7,1459.0
2022-12-28,ATL,11.0,47.0,Away,36.0,38.6,1506.0
2022-12-31,CHO,14.0,45.0,Away,31.0,39.1,1551.0
2023-01-02,SAS,15.0,43.0,Home,28.0,39.6,1594.0
2023-01-04,CHI,6.0,46.0,Away,40.0,41.2,1640.0
2023-01-06,NOP,14.0,51.0,Away,37.0,41.9,1691.0
2023-01-08,MIA,16.0,41.0,Away,25.0,42.8,1732.0
2023-01-12,BOS,12.0,48.0,Home,36.0,43.5,1780.0
2023-01-15,OKC,11.0,50.0,Home,39.0,44.9,1830.0
2023-01-17,SAS,13.0,54.0,Away,41.0,45.8,1884.0
2023-01-19,PHO,12.0,49.0,Away,37.0,47.4,1933.0
2023-01-20,UTA,13.0,46.0,Away,33.0,47.3,1979.0
2023-01-22,GSW,10.0,42.0,Away,32.0,47.0,2021.0
2023-01-25,PHI,11.0,36.0,Away,25.0,46.3,2057.0
2023-01-26,DET,15.0,48.0,Home,33.0,46.5,2105.0
2023-01-28,NYK,14.0,45.0,Home,31.0,45.9,2150.0
2023-01-30,LAL,16.0,53.0,Home,37.0,47.1,2203.0
2023-02-01,BOS,11.0,57.0,Away,46.0,48.0,2260.0
2023-02-04,WAS,6.0,39.0,Home,33.0,46.9,2299.0
2023-02-06,LAC,11.0,46.0,Home,35.0,46.1,2345.0
2023-02-07,PHO,16.0,48.0,Home,32.0,46.0,2393.0
2023-02-09,CHI,8.0,46.0,Home,38.0,46.0,2439.0
2023-02-11,PHI,8.0,41.0,Home,33.0,45.9,2480.0
