Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,MIA,8.0,46.0,Away,38.0,46.0,46.0
2022-10-21,WAS,5.0,39.0,Away,34.0,42.5,85.0
2022-10-22,CLE,8.0,48.0,Home,40.0,44.333333333333336,133.0
2022-10-24,BOS,14.0,45.0,Home,31.0,44.5,178.0
2022-10-26,IND,6.0,38.0,Home,32.0,43.2,216.0
2022-10-28,SAS,8.0,42.0,Away,34.0,43.0,258.0
2022-10-29,PHI,8.0,41.0,Home,33.0,42.714285714285715,299.0
2022-11-01,BRK,4.0,38.0,Away,34.0,42.125,337.0
2022-11-02,CHO,13.0,47.0,Home,34.0,42.666666666666664,384.0
2022-11-04,BOS,7.0,39.0,Away,32.0,42.3,423.0
2022-11-06,TOR,23.0,52.0,Away,29.0,42.9,475.0
2022-11-07,TOR,5.0,31.0,Home,26.0,42.1,506.0
2022-11-09,NOP,13.0,50.0,Home,37.0,42.3,556.0
2022-11-13,DEN,5.0,36.0,Home,31.0,41.4,592.0
2022-11-16,NOP,12.0,46.0,Away,34.0,42.2,638.0
2022-11-18,ORL,6.0,41.0,Home,35.0,42.1,679.0
2022-11-21,BOS,5.0,38.0,Home,33.0,41.8,717.0
2022-11-23,MIL,11.0,48.0,Away,37.0,42.8,765.0
2022-11-25,OKC,10.0,50.0,Away,40.0,43.1,815.0
2022-11-28,UTA,9.0,45.0,Away,36.0,43.7,860.0
2022-11-30,PHO,10.0,46.0,Away,36.0,43.1,906.0
2022-12-02,GSW,7.0,50.0,Away,43.0,45.0,956.0
2022-12-04,SAC,5.0,46.0,Away,41.0,44.6,1002.0
2022-12-07,WAS,6.0,38.0,Home,32.0,44.8,1040.0
2022-12-10,DAL,8.0,37.0,Home,29.0,43.9,1077.0
2022-12-11,ATL,8.0,45.0,Away,37.0,44.3,1122.0
2022-12-14,NYK,15.0,48.0,Home,33.0,45.3,1170.0
2022-12-16,NYK,15.0,50.0,Home,35.0,45.5,1220.0
2022-12-18,MIN,4.0,39.0,Away,35.0,44.4,1259.0
2022-12-20,MIA,9.0,35.0,Away,26.0,43.4,1294.0
2022-12-21,ATL,9.0,47.0,Away,38.0,43.5,1341.0
2022-12-23,NYK,12.0,47.0,Away,35.0,43.2,1388.0
2022-12-26,HOU,8.0,45.0,Home,37.0,43.1,1433.0
2022-12-28,MIL,22.0,61.0,Home,39.0,45.4,1494.0
2022-12-30,DET,13.0,35.0,Home,22.0,45.2,1529.0
2022-12-31,CLE,15.0,50.0,Home,35.0,45.7,1579.0
2023-01-02,CLE,13.0,47.0,Away,34.0,45.6,1626.0
2023-01-04,BRK,5.0,34.0,Home,29.0,44.0,1660.0
2023-01-06,PHI,12.0,38.0,Away,26.0,43.9,1698.0
2023-01-07,UTA,7.0,39.0,Home,32.0,44.3,1737.0
2023-01-09,BOS,9.0,50.0,Away,41.0,44.6,1787.0
2023-01-11,WAS,12.0,52.0,Away,40.0,45.1,1839.0
2023-01-13,OKC,12.0,46.0,Home,34.0,45.2,1885.0
2023-01-15,GSW,7.0,40.0,Home,33.0,43.1,1925.0
2023-01-19,DET,17.0,49.0,Away,32.0,44.5,1974.0
2023-01-23,ATL,9.0,43.0,Home,34.0,43.8,2017.0
2023-01-24,IND,14.0,45.0,Away,31.0,43.6,2062.0
2023-01-26,CHO,6.0,52.0,Away,46.0,45.4,2114.0
2023-01-28,ORL,6.0,36.0,Away,30.0,45.2,2150.0
2023-01-31,LAC,11.0,44.0,Home,33.0,45.7,2194.0
2023-02-02,CHO,16.0,45.0,Home,29.0,45.2,2239.0
2023-02-04,POR,7.0,33.0,Home,26.0,43.3,2272.0
2023-02-06,SAS,6.0,38.0,Home,32.0,42.5,2310.0
2023-02-07,MEM,5.0,39.0,Away,34.0,42.4,2349.0
2023-02-09,BRK,11.0,49.0,Away,38.0,42.4,2398.0
2023-02-11,CLE,10.0,39.0,Away,29.0,42.0,2437.0
2023-02-13,ORL,7.0,42.0,Home,35.0,41.7,2479.0
2023-02-15,IND,6.0,41.0,Away,35.0,40.6,2520.0
2023-02-16,MIL,9.0,52.0,Home,43.0,42.2,2572.0
2023-02-24,BRK,5.0,31.0,Home,26.0,40.9,2603.0
2023-02-26,WAS,12.0,42.0,Home,30.0,40.6,2645.0
2023-02-28,TOR,19.0,47.0,Away,28.0,42.0,2692.0
2023-03-01,DET,7.0,40.0,Away,33.0,42.2,2732.0
2023-03-03,PHO,13.0,41.0,Home,28.0,42.4,2773.0
2023-03-05,IND,13.0,35.0,Home,22.0,41.0,2808.0
2023-03-08,DEN,11.0,44.0,Away,33.0,41.5,2852.0
2023-03-11,HOU,6.0,33.0,Away,27.0,40.6,2885.0
2023-03-15,SAC,5.0,45.0,Home,40.0,41.0,2930.0
2023-03-17,MIN,14.0,50.0,Home,36.0,40.8,2980.0
2023-03-18,MIA,14.0,39.0,Home,25.0,41.6,3019.0
2023-03-20,PHI,9.0,54.0,Away,45.0,42.8,3073.0
2023-03-22,PHI,11.0,44.0,Home,33.0,42.5,3117.0
2023-03-24,POR,8.0,31.0,Away,23.0,41.6,3148.0
2023-03-26,LAL,8.0,38.0,Away,30.0,41.3,3186.0
2023-03-27,LAC,6.0,37.0,Away,31.0,41.5,3223.0
2023-03-29,LAL,13.0,45.0,Home,32.0,41.6,3268.0
2023-03-31,CHO,4.0,36.0,Away,32.0,41.9,3304.0
2023-04-02,MEM,8.0,47.0,Home,39.0,42.1,3351.0
2023-04-04,ATL,7.0,48.0,Home,41.0,41.9,3399.0
2023-04-05,MIL,13.0,53.0,Away,40.0,43.3,3452.0
2023-04-07,DAL,7.0,43.0,Away,36.0,42.2,3495.0
2023-04-09,DET,15.0,59.0,Home,44.0,43.7,3554.0
