Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,TOR,12.0,41.0,Away,29.0,41.0,41.0,41.23170731707317
2022-10-22,CHI,10.0,35.0,Away,25.0,38.0,76.0,41.0
2022-10-23,WAS,4.0,35.0,Home,31.0,37.0,111.0,38.0
2022-10-26,ORL,10.0,43.0,Home,33.0,38.5,154.0,37.0
2022-10-28,BOS,5.0,34.0,Away,29.0,37.6,188.0,38.5
2022-10-30,NYK,12.0,45.0,Home,33.0,38.833333333333336,233.0,37.6
2022-11-02,BOS,8.0,52.0,Home,44.0,40.714285714285715,285.0,38.833333333333336
2022-11-04,DET,9.0,34.0,Away,25.0,39.875,319.0,40.714285714285715
2022-11-06,LAL,10.0,43.0,Away,33.0,40.22222222222222,362.0,39.875
2022-11-07,LAC,4.0,31.0,Away,27.0,39.3,393.0,40.22222222222222
2022-11-09,SAC,2.0,24.0,Away,22.0,37.6,417.0,39.3
2022-11-11,GSW,8.0,44.0,Away,36.0,38.5,461.0,37.6
2022-11-13,MIN,11.0,47.0,Home,36.0,39.7,508.0,38.5
2022-11-16,MIL,13.0,52.0,Away,39.0,40.6,560.0,39.7
2022-11-18,CHO,17.0,53.0,Home,36.0,42.5,613.0,40.6
2022-11-20,MIA,11.0,30.0,Home,19.0,41.0,643.0,42.5
2022-11-21,ATL,10.0,35.0,Home,25.0,39.3,678.0,41.0
2022-11-23,POR,11.0,32.0,Home,21.0,39.1,710.0,39.3
2022-11-25,MIL,8.0,43.0,Away,35.0,39.1,753.0,39.1
2022-11-27,DET,7.0,36.0,Away,29.0,39.6,789.0,39.1
2022-11-28,TOR,7.0,45.0,Away,38.0,41.7,834.0,39.6
2022-11-30,PHI,7.0,30.0,Home,23.0,40.3,864.0,41.7
2022-12-02,ORL,11.0,40.0,Home,29.0,39.6,904.0,40.3
2022-12-04,NYK,14.0,54.0,Away,40.0,39.8,958.0,39.6
2022-12-06,LAL,14.0,43.0,Home,29.0,38.8,1001.0,39.8
2022-12-09,SAC,5.0,38.0,Home,33.0,39.6,1039.0,38.8
2022-12-10,OKC,7.0,40.0,Home,33.0,40.1,1079.0,39.6
2022-12-12,SAS,19.0,46.0,Away,27.0,41.5,1125.0,40.1
2022-12-14,DAL,6.0,33.0,Away,27.0,40.5,1158.0,41.5
2022-12-16,IND,5.0,33.0,Home,28.0,40.2,1191.0,40.5
2022-12-17,DAL,5.0,45.0,Home,40.0,40.2,1236.0,40.2
2022-12-19,UTA,15.0,35.0,Home,20.0,40.7,1271.0,40.2
2022-12-21,MIL,13.0,46.0,Home,33.0,41.3,1317.0,40.7
2022-12-23,TOR,11.0,45.0,Home,34.0,40.4,1362.0,41.3
2022-12-26,BRK,7.0,38.0,Home,31.0,39.9,1400.0,40.4
2022-12-29,IND,4.0,32.0,Away,28.0,39.3,1432.0,39.9
2022-12-31,CHI,9.0,40.0,Away,31.0,39.3,1472.0,39.3
2023-01-02,CHI,6.0,42.0,Home,36.0,38.9,1514.0,39.3
2023-01-04,PHO,8.0,49.0,Home,41.0,40.5,1563.0,38.9
2023-01-06,DEN,13.0,49.0,Away,36.0,42.1,1612.0,40.5
2023-01-08,PHO,6.0,36.0,Away,30.0,41.2,1648.0,42.1
2023-01-10,UTA,15.0,54.0,Away,39.0,43.1,1702.0,41.2
2023-01-12,POR,5.0,36.0,Away,31.0,42.1,1738.0,43.1
2023-01-14,MIN,4.0,31.0,Away,27.0,40.7,1769.0,42.1
2023-01-16,NOP,3.0,28.0,Home,25.0,39.7,1797.0,40.7
2023-01-18,MEM,15.0,42.0,Away,27.0,40.7,1839.0,39.7
2023-01-20,GSW,14.0,45.0,Home,31.0,41.2,1884.0,40.7
2023-01-21,MIL,7.0,36.0,Home,29.0,40.6,1920.0,41.2
2023-01-24,NYK,9.0,42.0,Away,33.0,39.9,1962.0,40.6
2023-01-26,HOU,10.0,46.0,Away,36.0,39.6,2008.0,39.9
2023-01-27,OKC,10.0,46.0,Away,36.0,40.6,2054.0,39.6
