Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,PHO,8.0,40.0,Away,32.0,40.0,40.0
2022-10-22,MEM,6.0,29.0,Home,23.0,34.5,69.0
2022-10-25,NOP,4.0,26.0,Away,22.0,31.666666666666668,95.0
2022-10-27,BRK,13.0,45.0,Away,32.0,35.0,140.0
2022-10-29,OKC,9.0,47.0,Home,38.0,37.4,187.0
2022-10-30,ORL,11.0,47.0,Home,36.0,39.0,234.0
2022-11-02,UTA,12.0,40.0,Home,28.0,39.142857142857146,274.0
2022-11-04,TOR,18.0,44.0,Home,26.0,39.75,318.0
2022-11-07,BRK,14.0,34.0,Home,20.0,39.111111111111114,352.0
2022-11-09,ORL,4.0,49.0,Away,45.0,40.1,401.0
2022-11-10,WAS,8.0,52.0,Away,44.0,41.3,453.0
2022-11-12,POR,12.0,44.0,Home,32.0,42.8,497.0
2022-11-15,LAC,3.0,40.0,Home,37.0,44.2,537.0
2022-11-16,HOU,9.0,56.0,Home,47.0,45.3,593.0
2022-11-18,DEN,13.0,36.0,Home,23.0,44.2,629.0
2022-11-20,DEN,4.0,44.0,Home,40.0,43.9,673.0
2022-11-23,BOS,6.0,38.0,Away,32.0,43.7,711.0
2022-11-26,TOR,17.0,48.0,Away,31.0,44.1,759.0
2022-11-27,MIL,8.0,40.0,Away,32.0,44.7,799.0
2022-11-29,GSW,10.0,50.0,Home,40.0,44.8,849.0
2022-12-01,DET,13.0,52.0,Away,39.0,44.8,901.0
2022-12-03,NYK,7.0,45.0,Away,38.0,44.9,946.0
2022-12-05,PHO,13.0,41.0,Home,28.0,45.0,987.0
2022-12-06,DEN,8.0,36.0,Away,28.0,43.0,1023.0
2022-12-09,MIL,13.0,51.0,Home,38.0,44.5,1074.0
2022-12-10,CHI,4.0,44.0,Away,40.0,44.5,1118.0
2022-12-12,OKC,10.0,42.0,Home,32.0,44.9,1160.0
2022-12-14,CLE,5.0,43.0,Home,38.0,44.4,1203.0
2022-12-16,POR,10.0,42.0,Home,32.0,44.6,1245.0
2022-12-17,CLE,9.0,51.0,Away,42.0,44.7,1296.0
2022-12-19,MIN,9.0,44.0,Away,35.0,43.9,1340.0
2022-12-21,MIN,8.0,39.0,Away,31.0,43.3,1379.0
2022-12-23,HOU,12.0,45.0,Away,33.0,43.7,1424.0
2022-12-25,LAL,6.0,35.0,Home,29.0,43.6,1459.0
2022-12-27,NYK,17.0,55.0,Home,38.0,44.0,1514.0
2022-12-29,HOU,12.0,48.0,Home,36.0,44.4,1562.0
2022-12-31,SAS,15.0,48.0,Away,33.0,45.0,1610.0
2023-01-02,HOU,8.0,46.0,Away,38.0,45.3,1656.0
2023-01-05,BOS,10.0,52.0,Home,42.0,46.3,1708.0
2023-01-07,NOP,15.0,44.0,Home,29.0,45.6,1752.0
2023-01-08,OKC,13.0,48.0,Away,35.0,46.0,1800.0
2023-01-10,LAC,12.0,46.0,Away,34.0,46.7,1846.0
2023-01-12,LAL,14.0,56.0,Away,42.0,47.8,1902.0
2023-01-14,POR,10.0,47.0,Away,37.0,49.0,1949.0
2023-01-15,POR,8.0,41.0,Away,33.0,47.6,1990.0
2023-01-18,ATL,7.0,35.0,Home,28.0,46.3,2025.0
2023-01-20,MIA,5.0,39.0,Home,34.0,45.4,2064.0
2023-01-22,LAC,9.0,46.0,Home,37.0,45.4,2110.0
2023-01-24,WAS,6.0,41.0,Home,35.0,44.3,2151.0
2023-01-26,PHO,13.0,50.0,Away,37.0,44.9,2201.0
2023-01-28,UTA,13.0,49.0,Away,36.0,45.0,2250.0
2023-01-30,DET,9.0,40.0,Home,31.0,44.4,2290.0
2023-02-02,NOP,12.0,50.0,Home,38.0,43.8,2340.0
2023-02-04,GSW,5.0,38.0,Away,33.0,42.9,2378.0
2023-02-06,UTA,10.0,37.0,Away,27.0,42.5,2415.0
2023-02-08,LAC,9.0,40.0,Away,31.0,43.0,2455.0
2023-02-10,SAC,5.0,38.0,Away,33.0,42.9,2493.0
2023-02-11,SAC,11.0,50.0,Away,39.0,43.3,2543.0
2023-02-13,MIN,10.0,39.0,Home,29.0,43.1,2582.0
2023-02-15,DEN,6.0,43.0,Away,37.0,42.4,2625.0
2023-02-23,SAS,10.0,45.0,Home,35.0,42.0,2670.0
