Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,UTA,11.0,43.0,Away,32.0,43.0,43.0
2022-10-21,GSW,7.0,35.0,Away,28.0,39.0,78.0
2022-10-22,OKC,10.0,47.0,Home,37.0,41.666666666666664,125.0
2022-10-24,POR,9.0,45.0,Away,36.0,42.5,170.0
2022-10-26,LAL,7.0,47.0,Home,40.0,43.4,217.0
2022-10-28,UTA,8.0,38.0,Home,30.0,42.5,255.0
2022-10-30,LAL,13.0,51.0,Away,38.0,43.714285714285715,306.0
2022-11-03,OKC,10.0,40.0,Away,30.0,43.25,346.0
2022-11-05,SAS,6.0,28.0,Home,22.0,41.55555555555556,374.0
2022-11-07,SAS,10.0,38.0,Away,28.0,41.2,412.0
2022-11-09,IND,11.0,44.0,Away,33.0,41.3,456.0
2022-11-11,BOS,10.0,46.0,Away,36.0,42.4,502.0
2022-11-13,CHI,8.0,36.0,Away,28.0,41.3,538.0
2022-11-16,NYK,6.0,40.0,Home,34.0,40.8,578.0
2022-11-18,DAL,6.0,44.0,Away,38.0,40.5,622.0
2022-11-20,DAL,6.0,36.0,Away,30.0,40.3,658.0
2022-11-22,DET,12.0,40.0,Home,28.0,39.2,698.0
2022-11-23,OKC,12.0,39.0,Away,27.0,39.1,737.0
2022-11-25,LAC,4.0,33.0,Away,29.0,39.6,770.0
2022-11-28,HOU,12.0,37.0,Home,25.0,39.5,807.0
2022-11-30,HOU,10.0,39.0,Home,29.0,39.0,846.0
2022-12-02,ATL,12.0,43.0,Away,31.0,38.7,889.0
2022-12-04,NOP,6.0,36.0,Away,30.0,38.7,925.0
2022-12-06,DAL,4.0,35.0,Home,31.0,38.2,960.0
2022-12-08,POR,13.0,38.0,Away,25.0,37.6,998.0
2022-12-10,UTA,10.0,42.0,Home,32.0,38.2,1040.0
2022-12-14,WAS,4.0,24.0,Home,20.0,36.6,1064.0
2022-12-16,LAL,11.0,45.0,Away,34.0,37.2,1109.0
2022-12-18,CHO,12.0,48.0,Home,36.0,38.7,1157.0
2022-12-20,MEM,7.0,42.0,Home,35.0,39.2,1199.0
2022-12-23,POR,13.0,43.0,Home,30.0,39.6,1242.0
2022-12-25,PHO,12.0,46.0,Home,34.0,39.9,1288.0
2022-12-27,SAC,8.0,39.0,Away,31.0,40.2,1327.0
2022-12-28,SAC,11.0,34.0,Away,23.0,40.1,1361.0
2022-12-30,MIA,11.0,36.0,Home,25.0,39.9,1397.0
2023-01-01,BOS,10.0,41.0,Home,31.0,39.8,1438.0
2023-01-02,MIN,11.0,41.0,Away,30.0,41.5,1479.0
2023-01-05,LAC,8.0,41.0,Home,33.0,41.1,1520.0
2023-01-06,CLE,18.0,40.0,Home,22.0,40.3,1560.0
2023-01-09,LAL,11.0,44.0,Home,33.0,40.5,1604.0
2023-01-11,PHO,15.0,44.0,Home,29.0,40.6,1648.0
2023-01-13,LAC,11.0,43.0,Away,32.0,40.3,1691.0
2023-01-15,ORL,10.0,39.0,Home,29.0,40.3,1730.0
2023-01-17,POR,5.0,35.0,Home,30.0,40.4,1765.0
2023-01-18,MIN,12.0,36.0,Home,24.0,40.4,1801.0
2023-01-20,IND,16.0,39.0,Home,23.0,40.2,1840.0
2023-01-22,OKC,14.0,50.0,Home,36.0,41.1,1890.0
2023-01-24,NOP,14.0,43.0,Away,29.0,41.3,1933.0
2023-01-25,MIL,7.0,49.0,Away,42.0,42.2,1982.0
2023-01-28,PHI,12.0,39.0,Away,27.0,41.7,2021.0
2023-01-31,NOP,8.0,36.0,Home,28.0,40.9,2057.0
2023-02-02,GSW,10.0,42.0,Home,32.0,40.8,2099.0
2023-02-04,ATL,10.0,43.0,Home,33.0,41.2,2142.0
2023-02-05,MIN,5.0,34.0,Away,29.0,41.1,2176.0
2023-02-07,MIN,8.0,36.0,Home,28.0,41.1,2212.0
2023-02-09,ORL,15.0,47.0,Away,32.0,41.9,2259.0
2023-02-11,CHO,5.0,37.0,Away,32.0,40.6,2296.0
2023-02-13,MIA,9.0,34.0,Away,25.0,39.7,2330.0
