Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,ORL,10.0,48.0,Home,38.0,48.0,48.0
2022-10-21,NYK,11.0,50.0,Away,39.0,49.0,98.0
2022-10-22,IND,20.0,59.0,Away,39.0,52.333333333333336,157.0
2022-10-25,WAS,9.0,47.0,Away,38.0,51.0,204.0
2022-10-26,ATL,10.0,46.0,Home,36.0,50.0,250.0
2022-10-28,ATL,10.0,45.0,Home,35.0,49.166666666666664,295.0
2022-10-30,GSW,13.0,42.0,Home,29.0,48.142857142857146,337.0
2022-10-31,MIL,14.0,50.0,Away,36.0,48.375,387.0
2022-11-02,MIL,15.0,52.0,Away,37.0,48.77777777777778,439.0
2022-11-04,CLE,10.0,47.0,Home,37.0,48.6,486.0
2022-11-07,OKC,16.0,46.0,Home,30.0,48.4,532.0
2022-11-09,BOS,8.0,43.0,Away,35.0,47.7,575.0
2022-11-11,NYK,16.0,47.0,Away,31.0,46.5,622.0
2022-11-12,BOS,9.0,42.0,Home,33.0,46.0,664.0
2022-11-14,TOR,12.0,42.0,Home,30.0,45.6,706.0
2022-11-17,LAC,10.0,51.0,Away,41.0,46.2,757.0
2022-11-18,LAL,7.0,44.0,Away,37.0,46.4,801.0
2022-11-20,SAC,8.0,41.0,Away,33.0,45.5,842.0
2022-11-22,DEN,15.0,42.0,Away,27.0,44.5,884.0
2022-11-23,UTA,7.0,38.0,Away,31.0,43.6,922.0
2022-11-25,PHO,11.0,43.0,Away,32.0,43.3,965.0
2022-11-27,CLE,10.0,41.0,Home,31.0,43.1,1006.0
2022-11-29,NYK,17.0,51.0,Home,34.0,43.5,1057.0
2022-12-01,DAL,4.0,30.0,Home,26.0,42.3,1087.0
2022-12-04,MEM,12.0,46.0,Home,34.0,42.7,1133.0
2022-12-06,MIA,7.0,40.0,Away,33.0,41.6,1173.0
2022-12-07,NOP,10.0,50.0,Away,40.0,42.2,1223.0
2022-12-09,MEM,12.0,48.0,Away,36.0,42.9,1271.0
2022-12-11,LAL,6.0,42.0,Home,36.0,42.9,1313.0
2022-12-14,CHO,17.0,52.0,Away,35.0,44.3,1365.0
2022-12-16,SAC,4.0,33.0,Home,29.0,43.3,1398.0
2022-12-18,BRK,4.0,35.0,Home,31.0,42.7,1433.0
2022-12-20,UTA,12.0,43.0,Home,31.0,41.9,1476.0
2022-12-21,PHI,13.0,49.0,Away,36.0,43.8,1525.0
2022-12-23,ATL,8.0,48.0,Away,40.0,44.0,1573.0
2022-12-26,LAC,10.0,48.0,Home,38.0,44.8,1621.0
2022-12-28,ORL,15.0,47.0,Home,32.0,44.5,1668.0
2022-12-30,CHI,12.0,38.0,Away,26.0,43.5,1706.0
2022-12-31,MIN,9.0,39.0,Away,30.0,43.2,1745.0
2023-01-02,POR,6.0,44.0,Away,38.0,42.4,1789.0
2023-01-04,GSW,9.0,40.0,Away,31.0,43.1,1829.0
2023-01-06,SAS,7.0,44.0,Away,37.0,44.0,1873.0
2023-01-08,PHI,14.0,44.0,Home,30.0,44.1,1917.0
2023-01-10,PHI,10.0,55.0,Away,45.0,44.7,1972.0
2023-01-11,MIN,13.0,36.0,Home,23.0,43.5,2008.0
2023-01-13,NOP,8.0,48.0,Home,40.0,43.5,2056.0
2023-01-15,NYK,18.0,52.0,Home,34.0,44.0,2108.0
2023-01-19,CHI,11.0,48.0,Home,37.0,45.0,2156.0
2023-01-23,MIL,13.0,50.0,Home,37.0,46.1,2206.0
2023-01-26,BRK,15.0,40.0,Away,25.0,45.7,2246.0
2023-01-28,HOU,16.0,48.0,Home,32.0,46.5,2294.0
2023-01-30,DAL,9.0,40.0,Away,31.0,46.1,2334.0
2023-02-03,CHO,8.0,37.0,Home,29.0,45.4,2371.0
2023-02-04,PHO,10.0,46.0,Home,36.0,44.5,2417.0
2023-02-06,BOS,10.0,51.0,Home,41.0,46.0,2468.0
2023-02-08,CLE,13.0,50.0,Away,37.0,46.2,2518.0
2023-02-10,SAS,13.0,51.0,Home,38.0,46.1,2569.0
2023-02-12,TOR,13.0,40.0,Away,27.0,45.3,2609.0
2023-02-15,BOS,8.0,43.0,Away,35.0,44.6,2652.0
2023-02-23,ORL,12.0,46.0,Away,34.0,45.2,2698.0
2023-02-25,TOR,10.0,46.0,Home,36.0,45.0,2744.0
2023-02-27,CHO,7.0,46.0,Away,39.0,45.6,2790.0
2023-03-01,CHI,10.0,40.0,Home,30.0,45.9,2830.0
2023-03-04,CLE,8.0,39.0,Away,31.0,45.2,2869.0
2023-03-06,POR,5.0,38.0,Home,33.0,43.9,2907.0
2023-03-07,WAS,9.0,37.0,Home,28.0,42.6,2944.0
2023-03-09,CHO,13.0,44.0,Home,31.0,41.9,2988.0
2023-03-11,IND,18.0,58.0,Home,40.0,43.7,3046.0
2023-03-13,IND,13.0,42.0,Home,29.0,43.6,3088.0
2023-03-14,WAS,10.0,48.0,Away,38.0,43.8,3136.0
2023-03-16,DEN,13.0,47.0,Home,34.0,43.9,3183.0
2023-03-19,MIA,8.0,42.0,Home,34.0,43.5,3225.0
2023-03-21,ATL,21.0,61.0,Away,40.0,45.6,3286.0
2023-03-24,TOR,15.0,46.0,Away,31.0,46.3,3332.0
2023-03-27,MIL,15.0,50.0,Home,35.0,47.5,3382.0
2023-03-29,OKC,10.0,38.0,Away,28.0,47.6,3420.0
