Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-18,LAL,9.0,48.0,Home,39.0,48.0,48.0
2022-10-21,DEN,12.0,41.0,Home,29.0,44.5,89.0
2022-10-23,SAC,13.0,51.0,Home,38.0,46.666666666666664,140.0
2022-10-25,PHO,14.0,48.0,Away,34.0,47.0,188.0
2022-10-27,MIA,8.0,31.0,Home,23.0,43.8,219.0
2022-10-29,CHO,15.0,55.0,Away,40.0,45.666666666666664,274.0
2022-10-30,DET,12.0,47.0,Away,35.0,45.857142857142854,321.0
2022-11-01,MIA,9.0,39.0,Away,30.0,45.0,360.0
2022-11-03,ORL,11.0,46.0,Away,35.0,45.111111111111114,406.0
2022-11-04,NOP,9.0,37.0,Away,28.0,44.3,443.0
2022-11-07,SAC,9.0,43.0,Home,34.0,43.8,486.0
2022-11-11,CLE,14.0,46.0,Home,32.0,44.3,532.0
2022-11-13,SAC,9.0,45.0,Away,36.0,43.7,577.0
2022-11-14,SAS,22.0,53.0,Home,31.0,44.2,630.0
2022-11-16,PHO,8.0,47.0,Away,39.0,45.8,677.0
2022-11-18,NYK,13.0,45.0,Home,32.0,44.8,722.0
2022-11-20,HOU,12.0,45.0,Away,33.0,44.6,767.0
2022-11-21,NOP,11.0,50.0,Away,39.0,45.7,817.0
2022-11-23,LAC,10.0,43.0,Home,33.0,45.4,860.0
2022-11-25,UTA,15.0,42.0,Home,27.0,45.9,902.0
2022-11-27,MIN,6.0,31.0,Away,25.0,44.7,933.0
2022-11-29,DAL,8.0,39.0,Away,31.0,44.0,972.0
2022-12-02,CHI,6.0,44.0,Home,38.0,43.9,1016.0
2022-12-03,HOU,14.0,45.0,Home,31.0,43.1,1061.0
2022-12-05,IND,7.0,47.0,Home,40.0,43.1,1108.0
2022-12-07,UTA,9.0,40.0,Away,31.0,42.6,1148.0
2022-12-10,BOS,6.0,39.0,Home,33.0,42.0,1187.0
2022-12-13,MIL,12.0,55.0,Away,43.0,42.5,1242.0
2022-12-14,IND,5.0,34.0,Away,29.0,41.6,1276.0
2022-12-16,PHI,11.0,49.0,Away,38.0,42.3,1325.0
2022-12-18,TOR,18.0,43.0,Away,25.0,43.5,1368.0
2022-12-20,NYK,14.0,47.0,Away,33.0,44.3,1415.0
2022-12-21,BRK,3.0,32.0,Away,29.0,43.1,1447.0
2022-12-25,MEM,9.0,44.0,Home,35.0,43.0,1491.0
2022-12-27,CHO,9.0,47.0,Home,38.0,43.0,1538.0
2022-12-28,UTA,10.0,50.0,Home,40.0,44.0,1588.0
2022-12-30,POR,17.0,49.0,Home,32.0,45.0,1637.0
2023-01-02,ATL,10.0,53.0,Home,43.0,44.8,1690.0
2023-01-04,DET,11.0,41.0,Home,30.0,45.5,1731.0
2023-01-07,ORL,7.0,44.0,Home,37.0,45.0,1775.0
2023-01-10,PHO,19.0,57.0,Home,38.0,46.4,1832.0
2023-01-13,SAS,7.0,38.0,Away,31.0,45.5,1870.0
2023-01-15,CHI,7.0,38.0,Away,31.0,46.1,1908.0
2023-01-16,WAS,6.0,36.0,Away,30.0,45.3,1944.0
2023-01-19,BOS,18.0,63.0,Away,45.0,46.9,2007.0
2023-01-20,CLE,10.0,35.0,Away,25.0,45.4,2042.0
2023-01-22,BRK,9.0,42.0,Home,33.0,44.7,2084.0
2023-01-25,MEM,11.0,36.0,Home,25.0,43.0,2120.0
2023-01-27,TOR,14.0,46.0,Home,32.0,43.5,2166.0
2023-01-30,OKC,8.0,43.0,Away,35.0,43.4,2209.0
2023-02-01,MIN,10.0,53.0,Away,43.0,43.0,2262.0
2023-02-02,DEN,7.0,38.0,Away,31.0,43.0,2300.0
2023-02-04,DAL,10.0,39.0,Home,29.0,43.1,2339.0
2023-02-06,OKC,7.0,36.0,Home,29.0,43.1,2375.0
2023-02-08,POR,12.0,47.0,Away,35.0,41.5,2422.0
2023-02-11,LAL,10.0,52.0,Home,42.0,43.2,2474.0
2023-02-13,WAS,9.0,33.0,Home,24.0,42.3,2507.0
2023-02-14,LAC,12.0,36.0,Away,24.0,42.3,2543.0
2023-02-23,LAL,10.0,58.0,Away,48.0,43.5,2601.0
2023-02-24,HOU,13.0,44.0,Home,31.0,43.6,2645.0
2023-02-26,MIN,10.0,43.0,Home,33.0,42.6,2688.0
2023-02-28,POR,9.0,33.0,Home,24.0,42.1,2721.0
2023-03-02,LAC,9.0,47.0,Home,38.0,42.9,2768.0
2023-03-03,NOP,7.0,29.0,Home,22.0,42.2,2797.0
2023-03-05,LAL,10.0,46.0,Away,36.0,42.1,2843.0
2023-03-07,OKC,13.0,44.0,Away,31.0,41.3,2887.0
2023-03-09,MEM,9.0,42.0,Away,33.0,42.2,2929.0
2023-03-11,MIL,7.0,48.0,Home,41.0,43.4,2977.0
2023-03-13,PHO,17.0,47.0,Home,30.0,42.3,3024.0
2023-03-15,LAC,16.0,44.0,Away,28.0,42.3,3068.0
2023-03-17,ATL,13.0,45.0,Away,32.0,42.5,3113.0
2023-03-18,MEM,11.0,39.0,Away,28.0,43.1,3152.0
2023-03-20,HOU,13.0,41.0,Away,28.0,42.5,3193.0
2023-03-22,DAL,8.0,31.0,Away,23.0,42.7,3224.0
2023-03-24,PHI,4.0,38.0,Home,34.0,41.9,3262.0
2023-03-26,MIN,9.0,49.0,Home,40.0,42.4,3311.0
2023-03-28,NOP,11.0,41.0,Home,30.0,42.3,3352.0
2023-03-31,SAS,14.0,46.0,Home,32.0,42.1,3398.0
2023-04-02,DEN,17.0,47.0,Away,30.0,42.1,3445.0
2023-04-04,OKC,13.0,38.0,Home,25.0,41.5,3483.0
2023-04-07,SAC,18.0,40.0,Away,22.0,41.0,3523.0
