Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,ATL,4.0,38.0,Away,34.0,38.0,38.0
2022-10-21,MEM,17.0,50.0,Home,33.0,44.0,88.0
2022-10-22,MIL,8.0,47.0,Away,39.0,45.0,135.0
2022-10-24,UTA,18.0,49.0,Home,31.0,46.0,184.0
2022-10-26,UTA,11.0,53.0,Away,42.0,47.4,237.0
2022-10-28,POR,11.0,45.0,Away,34.0,47.0,282.0
2022-10-30,PHO,10.0,36.0,Away,26.0,45.42857142857143,318.0
2022-10-31,LAC,8.0,46.0,Away,38.0,45.5,364.0
2022-11-02,LAC,9.0,43.0,Home,34.0,45.22222222222222,407.0
2022-11-05,MIN,9.0,36.0,Away,27.0,44.3,443.0
2022-11-07,ORL,11.0,37.0,Away,26.0,44.2,480.0
2022-11-09,TOR,22.0,50.0,Away,28.0,44.2,530.0
2022-11-12,NOP,12.0,36.0,Away,24.0,43.1,566.0
2022-11-14,LAC,9.0,44.0,Home,35.0,42.6,610.0
2022-11-16,DAL,13.0,38.0,Away,25.0,41.1,648.0
2022-11-18,IND,12.0,45.0,Home,33.0,41.1,693.0
2022-11-20,GSW,8.0,40.0,Home,32.0,41.5,733.0
2022-11-25,ATL,6.0,28.0,Home,22.0,39.7,761.0
2022-11-26,OKC,16.0,41.0,Home,25.0,39.5,802.0
2022-11-28,DEN,13.0,43.0,Away,30.0,40.2,845.0
2022-11-30,DEN,8.0,42.0,Away,34.0,40.7,887.0
2022-12-02,PHO,9.0,37.0,Away,28.0,39.4,924.0
2022-12-03,GSW,6.0,35.0,Away,29.0,39.3,959.0
2022-12-05,PHI,11.0,39.0,Home,28.0,38.8,998.0
2022-12-08,SAS,7.0,38.0,Away,31.0,38.8,1036.0
2022-12-11,MIL,13.0,52.0,Home,39.0,39.5,1088.0
2022-12-13,PHO,18.0,44.0,Home,26.0,39.9,1132.0
2022-12-15,MIA,14.0,40.0,Home,26.0,41.1,1172.0
2022-12-17,POR,10.0,36.0,Home,26.0,40.6,1208.0
2022-12-19,SAS,9.0,46.0,Home,37.0,40.9,1254.0
2022-12-21,ORL,11.0,45.0,Home,34.0,41.2,1299.0
2022-12-23,DAL,7.0,34.0,Home,27.0,40.9,1333.0
2022-12-26,CHI,8.0,35.0,Away,27.0,40.9,1368.0
2022-12-27,BOS,9.0,49.0,Away,40.0,41.9,1417.0
2022-12-29,DAL,6.0,44.0,Away,38.0,42.5,1461.0
2022-12-31,NYK,16.0,46.0,Home,30.0,41.9,1507.0
2023-01-02,DAL,8.0,41.0,Home,33.0,41.6,1548.0
2023-01-04,NOP,15.0,51.0,Away,36.0,42.7,1599.0
2023-01-05,UTA,9.0,42.0,Home,33.0,43.3,1641.0
2023-01-08,MIN,9.0,44.0,Home,35.0,43.1,1685.0
2023-01-11,SAC,9.0,45.0,Away,36.0,43.1,1730.0
2023-01-13,SAC,14.0,46.0,Away,32.0,44.3,1776.0
2023-01-15,LAC,11.0,44.0,Away,33.0,45.2,1820.0
