Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,HOU,15.0,54.0,Home,39.0,54.0,54.0,44.41463414634146
2022-10-21,ORL,10.0,44.0,Home,34.0,49.0,98.0,54.0
2022-10-23,CHO,14.0,52.0,Home,38.0,50.0,150.0,49.0
2022-11-05,NOP,19.0,59.0,Home,40.0,52.25,209.0,50.0
2022-11-07,MIL,6.0,41.0,Home,35.0,50.0,250.0,52.25
2022-11-09,UTA,13.0,47.0,Home,34.0,49.5,297.0,50.0
2022-11-10,PHI,9.0,45.0,Home,36.0,48.857142857142854,342.0,49.5
2022-11-16,BOS,6.0,49.0,Home,43.0,48.875,391.0,48.857142857142854
2022-11-19,TOR,17.0,51.0,Home,34.0,49.111111111111114,442.0,48.875
2022-11-23,SAC,10.0,48.0,Home,38.0,49.0,490.0,49.111111111111114
2022-11-27,MIA,6.0,46.0,Home,40.0,48.2,536.0,49.0
2022-12-02,DEN,9.0,33.0,Home,24.0,47.1,569.0,48.2
2022-12-05,OKC,14.0,49.0,Home,35.0,46.8,618.0,47.1
2022-12-11,CHI,13.0,53.0,Home,40.0,46.2,671.0,46.8
2022-12-19,ORL,10.0,45.0,Home,35.0,46.6,716.0,46.2
2022-12-21,CHI,8.0,47.0,Home,39.0,46.6,763.0,46.6
2022-12-23,DET,9.0,43.0,Home,34.0,46.4,806.0,46.6
2022-12-28,BRK,5.0,47.0,Home,42.0,46.2,853.0,46.4
2022-12-30,LAL,12.0,55.0,Home,43.0,46.6,908.0,46.2
2023-01-11,MIL,14.0,57.0,Home,43.0,47.5,965.0,46.6
2023-01-16,MIA,12.0,41.0,Home,29.0,47.0,1006.0,47.5
2023-01-20,NYK,9.0,34.0,Home,25.0,47.1,1040.0,47.0
2023-01-21,CHO,6.0,36.0,Home,30.0,45.8,1076.0,47.1
2023-01-28,LAC,6.0,37.0,Home,31.0,44.2,1113.0,45.8
2023-02-09,PHO,9.0,35.0,Home,26.0,43.2,1148.0,44.2
2023-02-11,SAS,14.0,49.0,Home,35.0,43.4,1197.0,43.2
2023-02-15,NYK,10.0,55.0,Home,45.0,44.6,1252.0,43.4
2023-02-24,CLE,10.0,35.0,Home,25.0,43.4,1287.0,44.6
2023-02-26,BRK,6.0,37.0,Home,31.0,41.6,1324.0,43.4
2023-02-28,WAS,16.0,48.0,Home,32.0,40.7,1372.0,41.6
2023-03-03,POR,9.0,34.0,Home,25.0,40.0,1406.0,40.7
2023-03-11,BOS,5.0,40.0,Home,35.0,40.6,1446.0,40.0
2023-03-13,MIN,5.0,37.0,Home,32.0,40.7,1483.0,40.6
2023-03-17,GSW,16.0,54.0,Home,38.0,42.4,1537.0,40.7
2023-03-21,DET,9.0,35.0,Home,26.0,42.4,1572.0,42.4
2023-03-25,IND,10.0,32.0,Home,22.0,40.7,1604.0,42.4
2023-03-26,MEM,6.0,39.0,Home,33.0,39.1,1643.0,40.7
2023-03-28,CLE,10.0,40.0,Home,30.0,39.6,1683.0,39.1
2023-04-02,DAL,10.0,47.0,Home,37.0,40.6,1730.0,39.6
2023-04-05,WAS,12.0,39.0,Home,27.0,39.7,1769.0,40.6
2023-04-07,PHI,13.0,52.0,Home,39.0,41.5,1821.0,39.7
