Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-18,PHI,4.0,31.0,Home,27.0,,31.0
2022-10-28,CLE,9.0,42.0,Home,33.0,,73.0
2022-10-30,WAS,15.0,51.0,Home,36.0,,124.0
2022-11-04,CHI,4.0,37.0,Home,33.0,,161.0
2022-11-09,DET,15.0,48.0,Home,33.0,,209.0
2022-11-11,DEN,11.0,38.0,Home,27.0,,247.0
2022-11-14,OKC,10.0,51.0,Home,41.0,,298.0
2022-11-23,DAL,5.0,35.0,Home,30.0,,333.0
2022-11-25,SAC,11.0,45.0,Home,34.0,,378.0
2022-11-27,WAS,6.0,29.0,Home,23.0,40.7,407.0
2022-11-28,CHO,13.0,37.0,Home,24.0,41.3,444.0
2022-11-30,MIA,9.0,32.0,Home,23.0,40.3,476.0
2022-12-02,MIA,12.0,50.0,Home,38.0,40.2,526.0
2022-12-16,ORL,15.0,53.0,Home,38.0,41.8,579.0
2022-12-18,ORL,6.0,46.0,Home,40.0,41.6,625.0
2022-12-21,IND,12.0,47.0,Home,35.0,42.5,672.0
2022-12-23,MIN,11.0,45.0,Home,34.0,41.9,717.0
2022-12-25,MIL,8.0,39.0,Home,31.0,42.3,756.0
2022-12-27,HOU,13.0,49.0,Home,36.0,42.7,805.0
2022-12-29,LAC,8.0,41.0,Home,33.0,43.9,846.0
2023-01-09,CHI,6.0,42.0,Home,36.0,44.4,888.0
2023-01-11,NOP,4.0,33.0,Home,29.0,44.5,921.0
2023-01-19,GSW,8.0,47.0,Home,39.0,44.2,968.0
2023-01-26,NYK,10.0,50.0,Home,40.0,43.9,1018.0
2023-01-28,LAL,11.0,47.0,Home,36.0,44.0,1065.0
2023-02-01,BRK,5.0,32.0,Home,27.0,42.5,1097.0
2023-02-03,PHO,10.0,53.0,Home,43.0,43.3,1150.0
2023-02-08,PHI,8.0,37.0,Home,29.0,43.1,1187.0
2023-02-10,CHO,11.0,47.0,Home,36.0,42.9,1234.0
2023-02-12,MEM,3.0,34.0,Home,31.0,42.2,1268.0
2023-02-15,DET,6.0,35.0,Home,29.0,41.5,1303.0
2023-03-01,CLE,10.0,38.0,Home,28.0,42.0,1341.0
2023-03-03,BRK,13.0,47.0,Home,34.0,42.0,1388.0
2023-03-05,NYK,11.0,54.0,Home,43.0,42.4,1442.0
2023-03-08,POR,6.0,47.0,Home,41.0,42.4,1489.0
2023-03-24,IND,6.0,44.0,Home,38.0,43.6,1533.0
2023-03-26,SAS,3.0,38.0,Home,35.0,42.1,1571.0
2023-03-31,UTA,13.0,52.0,Home,39.0,43.6,1623.0
2023-04-05,TOR,13.0,50.0,Home,37.0,43.9,1673.0
2023-04-07,TOR,12.0,35.0,Home,23.0,44.0,1708.0
2023-04-09,ATL,16.0,50.0,Home,34.0,45.5,1758.0
