Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,NOP,21.0,61.0,Home,40.0,,61.0
2022-10-21,TOR,8.0,41.0,Home,33.0,,102.0
2022-10-27,DAL,7.0,37.0,Home,30.0,,139.0
2022-10-29,IND,17.0,53.0,Home,36.0,,192.0
2022-10-31,IND,10.0,38.0,Home,28.0,,230.0
2022-11-01,CHI,11.0,44.0,Home,33.0,,274.0
2022-11-09,NYK,11.0,46.0,Home,35.0,,320.0
2022-11-20,MEM,13.0,44.0,Home,31.0,,364.0
2022-11-27,POR,11.0,42.0,Home,31.0,,406.0
2022-11-28,ORL,9.0,35.0,Home,26.0,44.1,441.0
2022-11-30,WAS,14.0,51.0,Home,37.0,43.1,492.0
2022-12-02,TOR,11.0,43.0,Home,32.0,43.3,535.0
2022-12-04,BOS,8.0,48.0,Home,40.0,44.4,583.0
2022-12-07,CHO,10.0,40.0,Home,30.0,43.1,623.0
2022-12-09,ATL,12.0,38.0,Home,26.0,43.1,661.0
2022-12-21,GSW,9.0,36.0,Home,27.0,42.3,697.0
2022-12-23,MIL,13.0,45.0,Home,32.0,42.2,742.0
2023-01-02,SAS,15.0,43.0,Home,28.0,42.1,785.0
2023-01-12,BOS,12.0,48.0,Home,36.0,42.7,833.0
2023-01-15,OKC,11.0,50.0,Home,39.0,44.2,883.0
2023-01-26,DET,15.0,48.0,Home,33.0,43.9,931.0
2023-01-28,NYK,14.0,45.0,Home,31.0,44.1,976.0
2023-01-30,LAL,16.0,53.0,Home,37.0,44.6,1029.0
2023-02-04,WAS,6.0,39.0,Home,33.0,44.5,1068.0
2023-02-06,LAC,11.0,46.0,Home,35.0,45.3,1114.0
2023-02-07,PHO,16.0,48.0,Home,32.0,46.5,1162.0
2023-02-09,CHI,8.0,46.0,Home,38.0,46.6,1208.0
2023-02-11,PHI,8.0,41.0,Home,33.0,46.4,1249.0
2023-02-15,MIA,12.0,41.0,Home,29.0,45.7,1290.0
2023-02-28,MIL,11.0,55.0,Home,44.0,46.2,1345.0
2023-03-05,CHO,5.0,49.0,Home,44.0,46.3,1394.0
2023-03-16,SAC,13.0,57.0,Home,44.0,47.5,1451.0
2023-03-19,DEN,6.0,40.0,Home,34.0,46.2,1491.0
2023-03-21,CLE,8.0,34.0,Home,26.0,45.7,1525.0
2023-03-23,CLE,13.0,40.0,Home,27.0,45.1,1565.0
2023-03-29,HOU,20.0,52.0,Home,32.0,45.5,1617.0
2023-03-31,ATL,16.0,46.0,Home,30.0,45.5,1663.0
2023-04-02,UTA,11.0,52.0,Home,41.0,46.6,1715.0
2023-04-04,MIN,7.0,44.0,Home,37.0,46.9,1759.0
2023-04-07,ORL,15.0,57.0,Home,42.0,47.1,1816.0
2023-04-09,PHI,13.0,50.0,Home,37.0,47.2,1866.0
