Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-22,CLE,8.0,48.0,Home,40.0,,48.0
2022-10-24,BOS,14.0,45.0,Home,31.0,,93.0
2022-10-26,IND,6.0,38.0,Home,32.0,,131.0
2022-10-29,PHI,8.0,41.0,Home,33.0,,172.0
2022-11-02,CHO,13.0,47.0,Home,34.0,,219.0
2022-11-07,TOR,5.0,31.0,Home,26.0,,250.0
2022-11-09,NOP,13.0,50.0,Home,37.0,,300.0
2022-11-13,DEN,5.0,36.0,Home,31.0,,336.0
2022-11-18,ORL,6.0,41.0,Home,35.0,,377.0
2022-11-21,BOS,5.0,38.0,Home,33.0,41.5,415.0
2022-12-07,WAS,6.0,38.0,Home,32.0,40.5,453.0
2022-12-10,DAL,8.0,37.0,Home,29.0,39.7,490.0
2022-12-14,NYK,15.0,48.0,Home,33.0,40.7,538.0
2022-12-16,NYK,15.0,50.0,Home,35.0,41.6,588.0
2022-12-26,HOU,8.0,45.0,Home,37.0,41.4,633.0
2022-12-28,MIL,22.0,61.0,Home,39.0,44.4,694.0
2022-12-30,DET,13.0,35.0,Home,22.0,42.9,729.0
2022-12-31,CLE,15.0,50.0,Home,35.0,44.3,779.0
2023-01-04,BRK,5.0,34.0,Home,29.0,43.6,813.0
2023-01-07,UTA,7.0,39.0,Home,32.0,43.7,852.0
2023-01-13,OKC,12.0,46.0,Home,34.0,44.5,898.0
2023-01-15,GSW,7.0,40.0,Home,33.0,44.8,938.0
2023-01-23,ATL,9.0,43.0,Home,34.0,44.3,981.0
2023-01-31,LAC,11.0,44.0,Home,33.0,43.7,1025.0
2023-02-02,CHO,16.0,45.0,Home,29.0,43.7,1070.0
2023-02-04,POR,7.0,33.0,Home,26.0,40.9,1103.0
2023-02-06,SAS,6.0,38.0,Home,32.0,41.2,1141.0
2023-02-13,ORL,7.0,42.0,Home,35.0,40.4,1183.0
2023-02-16,MIL,9.0,52.0,Home,43.0,42.2,1235.0
2023-02-24,BRK,5.0,31.0,Home,26.0,41.4,1266.0
2023-02-26,WAS,12.0,42.0,Home,30.0,41.0,1308.0
2023-03-03,PHO,13.0,41.0,Home,28.0,41.1,1349.0
2023-03-05,IND,13.0,35.0,Home,22.0,40.3,1384.0
2023-03-15,SAC,5.0,45.0,Home,40.0,40.4,1429.0
2023-03-17,MIN,14.0,50.0,Home,36.0,40.9,1479.0
2023-03-18,MIA,14.0,39.0,Home,25.0,41.5,1518.0
2023-03-22,PHI,11.0,44.0,Home,33.0,42.1,1562.0
2023-03-29,LAL,13.0,45.0,Home,32.0,42.4,1607.0
2023-04-02,MEM,8.0,47.0,Home,39.0,41.9,1654.0
2023-04-04,ATL,7.0,48.0,Home,41.0,43.6,1702.0
2023-04-09,DET,15.0,59.0,Home,44.0,45.3,1761.0
