Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-21,NOP,15.0,53.0,Home,38.0,53.0,53.0,46.0
2022-10-29,GSW,10.0,49.0,Home,39.0,51.0,102.0,53.0
2022-10-31,SAC,10.0,42.0,Home,32.0,48.0,144.0,51.0
2022-11-05,BRK,9.0,41.0,Home,32.0,46.25,185.0,48.0
2022-11-07,WAS,10.0,47.0,Home,37.0,46.4,232.0,46.25
2022-11-09,POR,8.0,45.0,Home,37.0,46.166666666666664,277.0,46.4
2022-11-16,IND,7.0,34.0,Home,27.0,44.42857142857143,311.0,46.166666666666664
2022-11-23,PHI,8.0,45.0,Home,37.0,44.5,356.0,44.42857142857143
2022-11-25,MIN,11.0,45.0,Home,34.0,44.55555555555556,401.0,44.5
2022-12-02,WAS,18.0,56.0,Home,38.0,45.7,457.0,44.55555555555556
2022-12-03,MIL,8.0,47.0,Home,39.0,45.1,504.0,45.7
2022-12-05,LAC,13.0,47.0,Home,34.0,44.9,551.0,45.1
2022-12-09,NYK,16.0,48.0,Home,32.0,45.5,599.0,44.9
2022-12-14,DET,12.0,52.0,Home,40.0,46.6,651.0,45.5
2022-12-16,ATL,4.0,41.0,Home,37.0,46.0,692.0,46.6
2022-12-29,OKC,11.0,41.0,Home,30.0,45.6,733.0,46.0
2022-12-31,BRK,2.0,42.0,Home,40.0,46.4,775.0,45.6
2023-01-02,LAL,9.0,53.0,Home,44.0,47.2,828.0,46.4
2023-01-04,MEM,11.0,59.0,Home,48.0,48.6,887.0,47.2
2023-01-14,BOS,14.0,46.0,Home,32.0,47.6,933.0,48.6
2023-01-16,BOS,14.0,47.0,Home,33.0,47.6,980.0,47.6
2023-01-26,CHI,7.0,43.0,Home,36.0,47.2,1023.0,47.6
2023-01-29,MIA,10.0,36.0,Home,26.0,46.0,1059.0,47.2
2023-02-05,ORL,18.0,52.0,Home,34.0,46.0,1111.0,46.0
2023-02-11,DEN,14.0,51.0,Home,37.0,47.0,1162.0,46.0
2023-02-13,ATL,16.0,42.0,Home,26.0,47.1,1204.0,47.0
2023-02-15,SAS,20.0,58.0,Home,38.0,48.7,1262.0,47.1
2023-02-25,MIA,7.0,42.0,Home,35.0,47.6,1304.0,48.7
2023-02-27,DET,10.0,39.0,Home,29.0,45.6,1343.0,47.6
2023-03-01,PHO,5.0,48.0,Home,43.0,45.8,1391.0,45.6
2023-03-03,ORL,13.0,42.0,Home,29.0,45.3,1433.0,45.8
2023-03-11,UTA,20.0,60.0,Home,40.0,47.0,1493.0,45.3
2023-03-12,CLE,11.0,40.0,Home,29.0,47.4,1533.0,47.0
2023-03-14,CLE,8.0,30.0,Home,22.0,45.2,1563.0,47.4
2023-03-17,PHI,14.0,62.0,Home,48.0,46.3,1625.0,45.2
2023-03-20,IND,13.0,48.0,Home,35.0,46.9,1673.0,46.3
2023-03-26,DAL,3.0,37.0,Home,34.0,44.8,1710.0,46.9
2023-03-31,CHI,9.0,42.0,Home,33.0,44.8,1752.0,44.8
2023-04-02,TOR,15.0,45.0,Home,30.0,45.4,1797.0,44.8
2023-04-04,TOR,10.0,41.0,Home,31.0,44.7,1838.0,45.4
2023-04-07,HOU,14.0,48.0,Home,34.0,45.3,1886.0,44.7
