Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-23,WAS,4.0,35.0,Home,31.0,,35.0
2022-10-26,ORL,10.0,43.0,Home,33.0,,78.0
2022-10-30,NYK,12.0,45.0,Home,33.0,,123.0
2022-11-02,BOS,8.0,52.0,Home,44.0,,175.0
2022-11-13,MIN,11.0,47.0,Home,36.0,,222.0
2022-11-18,CHO,17.0,53.0,Home,36.0,,275.0
2022-11-20,MIA,11.0,30.0,Home,19.0,,305.0
2022-11-21,ATL,10.0,35.0,Home,25.0,,340.0
2022-11-23,POR,11.0,32.0,Home,21.0,,372.0
2022-11-30,PHI,7.0,30.0,Home,23.0,40.2,402.0
2022-12-02,ORL,11.0,40.0,Home,29.0,40.7,442.0
2022-12-06,LAL,14.0,43.0,Home,29.0,40.7,485.0
2022-12-09,SAC,5.0,38.0,Home,33.0,40.0,523.0
2022-12-10,OKC,7.0,40.0,Home,33.0,38.8,563.0
2022-12-16,IND,5.0,33.0,Home,28.0,37.4,596.0
2022-12-17,DAL,5.0,45.0,Home,40.0,36.6,641.0
2022-12-19,UTA,15.0,35.0,Home,20.0,37.1,676.0
2022-12-21,MIL,13.0,46.0,Home,33.0,38.2,722.0
2022-12-23,TOR,11.0,45.0,Home,34.0,39.5,767.0
2022-12-26,BRK,7.0,38.0,Home,31.0,40.3,805.0
2023-01-02,CHI,6.0,42.0,Home,36.0,40.5,847.0
2023-01-04,PHO,8.0,49.0,Home,41.0,41.1,896.0
2023-01-16,NOP,3.0,28.0,Home,25.0,40.1,924.0
2023-01-20,GSW,14.0,45.0,Home,31.0,40.6,969.0
2023-01-21,MIL,7.0,36.0,Home,29.0,40.9,1005.0
2023-01-29,LAC,15.0,45.0,Home,30.0,40.9,1050.0
2023-01-31,MIA,9.0,45.0,Home,36.0,41.9,1095.0
2023-02-02,MEM,11.0,44.0,Home,33.0,41.7,1139.0
2023-02-08,DET,9.0,32.0,Home,23.0,40.4,1171.0
2023-02-11,CHI,6.0,44.0,Home,38.0,41.0,1215.0
2023-02-13,SAS,11.0,35.0,Home,24.0,40.3,1250.0
2023-02-23,DEN,18.0,47.0,Home,29.0,40.1,1297.0
2023-02-26,TOR,13.0,43.0,Home,30.0,41.6,1340.0
2023-03-04,DET,12.0,49.0,Home,37.0,42.0,1389.0
2023-03-06,BOS,15.0,52.0,Home,37.0,43.6,1441.0
2023-03-15,PHI,13.0,46.0,Home,33.0,43.7,1487.0
2023-03-17,WAS,6.0,38.0,Home,32.0,43.0,1525.0
2023-03-26,HOU,12.0,36.0,Home,24.0,42.2,1561.0
2023-03-31,NYK,16.0,48.0,Home,32.0,43.8,1609.0
2023-04-02,IND,11.0,44.0,Home,33.0,43.8,1653.0
2023-04-09,CHO,10.0,49.0,Home,39.0,45.2,1702.0
