Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-22,MEM,6.0,29.0,Home,23.0,,29.0
2022-10-29,OKC,9.0,47.0,Home,38.0,,76.0
2022-10-30,ORL,11.0,47.0,Home,36.0,,123.0
2022-11-02,UTA,12.0,40.0,Home,28.0,,163.0
2022-11-04,TOR,18.0,44.0,Home,26.0,,207.0
2022-11-07,BRK,14.0,34.0,Home,20.0,,241.0
2022-11-12,POR,12.0,44.0,Home,32.0,,285.0
2022-11-15,LAC,3.0,40.0,Home,37.0,,325.0
2022-11-16,HOU,9.0,56.0,Home,47.0,,381.0
2022-11-18,DEN,13.0,36.0,Home,23.0,41.7,417.0
2022-11-20,DEN,4.0,44.0,Home,40.0,43.2,461.0
2022-11-29,GSW,10.0,50.0,Home,40.0,43.5,511.0
2022-12-05,PHO,13.0,41.0,Home,28.0,42.9,552.0
2022-12-09,MIL,13.0,51.0,Home,38.0,44.0,603.0
2022-12-12,OKC,10.0,42.0,Home,32.0,43.8,645.0
2022-12-14,CLE,5.0,43.0,Home,38.0,44.7,688.0
2022-12-16,POR,10.0,42.0,Home,32.0,44.5,730.0
2022-12-25,LAL,6.0,35.0,Home,29.0,44.0,765.0
2022-12-27,NYK,17.0,55.0,Home,38.0,43.9,820.0
2022-12-29,HOU,12.0,48.0,Home,36.0,45.1,868.0
2023-01-05,BOS,10.0,52.0,Home,42.0,45.9,920.0
2023-01-07,NOP,15.0,44.0,Home,29.0,45.3,964.0
2023-01-18,ATL,7.0,35.0,Home,28.0,44.7,999.0
2023-01-20,MIA,5.0,39.0,Home,34.0,43.5,1038.0
2023-01-22,LAC,9.0,46.0,Home,37.0,43.9,1084.0
2023-01-24,WAS,6.0,41.0,Home,35.0,43.7,1125.0
2023-01-30,DET,9.0,40.0,Home,31.0,43.5,1165.0
2023-02-02,NOP,12.0,50.0,Home,38.0,45.0,1215.0
2023-02-13,MIN,10.0,39.0,Home,29.0,43.4,1254.0
2023-02-23,SAS,10.0,45.0,Home,35.0,43.1,1299.0
2023-02-26,LAL,17.0,56.0,Home,39.0,43.5,1355.0
2023-02-28,IND,5.0,41.0,Home,36.0,43.2,1396.0
2023-03-02,PHI,5.0,37.0,Home,32.0,43.4,1433.0
2023-03-05,PHO,9.0,41.0,Home,32.0,43.6,1474.0
2023-03-07,UTA,6.0,47.0,Home,41.0,43.7,1521.0
2023-03-13,MEM,7.0,47.0,Home,40.0,44.3,1568.0
2023-03-22,GSW,11.0,44.0,Home,33.0,44.7,1612.0
2023-03-24,CHO,6.0,43.0,Home,37.0,44.0,1655.0
2023-04-05,SAC,22.0,57.0,Home,35.0,45.8,1712.0
2023-04-07,CHI,8.0,50.0,Home,42.0,46.3,1762.0
2023-04-09,SAS,13.0,69.0,Home,56.0,47.6,1831.0
