Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-22,OKC,10.0,47.0,Home,37.0,,47.0
2022-10-26,LAL,7.0,47.0,Home,40.0,,94.0
2022-10-28,UTA,8.0,38.0,Home,30.0,,132.0
2022-11-05,SAS,6.0,28.0,Home,22.0,,160.0
2022-11-16,NYK,6.0,40.0,Home,34.0,,200.0
2022-11-22,DET,12.0,40.0,Home,28.0,,240.0
2022-11-28,HOU,12.0,37.0,Home,25.0,,277.0
2022-11-30,HOU,10.0,39.0,Home,29.0,,316.0
2022-12-06,DAL,4.0,35.0,Home,31.0,,351.0
2022-12-10,UTA,10.0,42.0,Home,32.0,39.3,393.0
2022-12-14,WAS,4.0,24.0,Home,20.0,37.0,417.0
2022-12-18,CHO,12.0,48.0,Home,36.0,37.1,465.0
2022-12-20,MEM,7.0,42.0,Home,35.0,37.5,507.0
2022-12-23,POR,13.0,43.0,Home,30.0,39.0,550.0
2022-12-25,PHO,12.0,46.0,Home,34.0,39.6,596.0
2022-12-30,MIA,11.0,36.0,Home,25.0,39.2,632.0
2023-01-01,BOS,10.0,41.0,Home,31.0,39.6,673.0
2023-01-05,LAC,8.0,41.0,Home,33.0,39.8,714.0
2023-01-06,CLE,18.0,40.0,Home,22.0,40.3,754.0
2023-01-09,LAL,11.0,44.0,Home,33.0,40.5,798.0
2023-01-11,PHO,15.0,44.0,Home,29.0,42.5,842.0
2023-01-15,ORL,10.0,39.0,Home,29.0,41.6,881.0
2023-01-17,POR,5.0,35.0,Home,30.0,40.9,916.0
2023-01-18,MIN,12.0,36.0,Home,24.0,40.2,952.0
2023-01-20,IND,16.0,39.0,Home,23.0,39.5,991.0
2023-01-22,OKC,14.0,50.0,Home,36.0,40.9,1041.0
2023-01-31,NOP,8.0,36.0,Home,28.0,40.4,1077.0
2023-02-02,GSW,10.0,42.0,Home,32.0,40.5,1119.0
2023-02-04,ATL,10.0,43.0,Home,33.0,40.8,1162.0
2023-02-07,MIN,8.0,36.0,Home,28.0,40.0,1198.0
2023-02-15,DAL,6.0,31.0,Home,25.0,38.7,1229.0
2023-02-26,LAC,6.0,38.0,Home,32.0,38.6,1267.0
2023-03-03,MEM,10.0,40.0,Home,30.0,39.1,1307.0
2023-03-06,TOR,11.0,41.0,Home,30.0,39.6,1348.0
2023-03-08,CHI,9.0,50.0,Home,41.0,40.7,1398.0
2023-03-12,BRK,4.0,28.0,Home,24.0,38.5,1426.0
2023-03-25,MIL,4.0,40.0,Home,36.0,38.9,1466.0
2023-03-27,PHI,11.0,40.0,Home,29.0,38.7,1506.0
2023-03-30,NOP,8.0,46.0,Home,38.0,39.0,1552.0
2023-04-02,GSW,22.0,57.0,Home,35.0,41.1,1609.0
2023-04-09,SAC,10.0,34.0,Home,24.0,41.4,1643.0
