Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,ORL,10.0,48.0,Home,38.0,48.0,48.0,43.90243902439025
2022-10-26,ATL,10.0,46.0,Home,36.0,47.0,94.0,48.0
2022-10-28,ATL,10.0,45.0,Home,35.0,46.333333333333336,139.0,47.0
2022-10-30,GSW,13.0,42.0,Home,29.0,45.25,181.0,46.333333333333336
2022-11-04,CLE,10.0,47.0,Home,37.0,45.6,228.0,45.25
2022-11-07,OKC,16.0,46.0,Home,30.0,45.666666666666664,274.0,45.6
2022-11-12,BOS,9.0,42.0,Home,33.0,45.142857142857146,316.0,45.666666666666664
2022-11-14,TOR,12.0,42.0,Home,30.0,44.75,358.0,45.142857142857146
2022-11-27,CLE,10.0,41.0,Home,31.0,44.333333333333336,399.0,44.75
2022-11-29,NYK,17.0,51.0,Home,34.0,45.0,450.0,44.333333333333336
2022-12-01,DAL,4.0,30.0,Home,26.0,43.2,480.0,45.0
2022-12-04,MEM,12.0,46.0,Home,34.0,43.2,526.0,43.2
2022-12-11,LAL,6.0,42.0,Home,36.0,42.9,568.0,43.2
2022-12-16,SAC,4.0,33.0,Home,29.0,42.0,601.0,42.9
2022-12-18,BRK,4.0,35.0,Home,31.0,40.8,636.0,42.0
2022-12-20,UTA,12.0,43.0,Home,31.0,40.5,679.0,40.8
2022-12-26,LAC,10.0,48.0,Home,38.0,41.1,727.0,40.5
2022-12-28,ORL,15.0,47.0,Home,32.0,41.6,774.0,41.1
2023-01-08,PHI,14.0,44.0,Home,30.0,41.9,818.0,41.6
2023-01-11,MIN,13.0,36.0,Home,23.0,40.4,854.0,41.9
2023-01-13,NOP,8.0,48.0,Home,40.0,42.2,902.0,40.4
2023-01-15,NYK,18.0,52.0,Home,34.0,42.8,954.0,42.2
2023-01-19,CHI,11.0,48.0,Home,37.0,43.4,1002.0,42.8
2023-01-23,MIL,13.0,50.0,Home,37.0,45.1,1052.0,43.4
2023-01-28,HOU,16.0,48.0,Home,32.0,46.4,1100.0,45.1
2023-02-03,CHO,8.0,37.0,Home,29.0,45.8,1137.0,46.4
2023-02-04,PHO,10.0,46.0,Home,36.0,45.6,1183.0,45.8
2023-02-06,BOS,10.0,51.0,Home,41.0,46.0,1234.0,45.6
2023-02-10,SAS,13.0,51.0,Home,38.0,46.7,1285.0,46.0
2023-02-25,TOR,10.0,46.0,Home,36.0,47.7,1331.0,46.7
2023-03-01,CHI,10.0,40.0,Home,30.0,46.9,1371.0,47.7
2023-03-06,POR,5.0,38.0,Home,33.0,45.5,1409.0,46.9
2023-03-07,WAS,9.0,37.0,Home,28.0,44.4,1446.0,45.5
2023-03-09,CHO,13.0,44.0,Home,31.0,43.8,1490.0,44.4
2023-03-11,IND,18.0,58.0,Home,40.0,44.8,1548.0,43.8
2023-03-13,IND,13.0,42.0,Home,29.0,45.3,1590.0,44.8
2023-03-16,DEN,13.0,47.0,Home,34.0,45.4,1637.0,45.3
2023-03-19,MIA,8.0,42.0,Home,34.0,44.5,1679.0,45.4
2023-03-27,MIL,15.0,50.0,Home,35.0,44.4,1729.0,44.5
2023-04-04,MIA,5.0,33.0,Home,28.0,43.1,1762.0,44.4
2023-04-05,BRK,11.0,38.0,Home,27.0,42.9,1800.0,43.1
