Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-18,LAL,9.0,48.0,Home,39.0,,48.0
2022-10-21,DEN,12.0,41.0,Home,29.0,,89.0
2022-10-23,SAC,13.0,51.0,Home,38.0,,140.0
2022-10-27,MIA,8.0,31.0,Home,23.0,,171.0
2022-11-07,SAC,9.0,43.0,Home,34.0,,214.0
2022-11-11,CLE,14.0,46.0,Home,32.0,,260.0
2022-11-14,SAS,22.0,53.0,Home,31.0,,313.0
2022-11-18,NYK,13.0,45.0,Home,32.0,,358.0
2022-11-23,LAC,10.0,43.0,Home,33.0,,401.0
2022-11-25,UTA,15.0,42.0,Home,27.0,44.3,443.0
2022-12-02,CHI,6.0,44.0,Home,38.0,43.9,487.0
2022-12-03,HOU,14.0,45.0,Home,31.0,44.3,532.0
2022-12-05,IND,7.0,47.0,Home,40.0,43.9,579.0
2022-12-10,BOS,6.0,39.0,Home,33.0,44.7,618.0
2022-12-25,MEM,9.0,44.0,Home,35.0,44.8,662.0
2022-12-27,CHO,9.0,47.0,Home,38.0,44.9,709.0
2022-12-28,UTA,10.0,50.0,Home,40.0,44.6,759.0
2022-12-30,POR,17.0,49.0,Home,32.0,45.0,808.0
2023-01-02,ATL,10.0,53.0,Home,43.0,46.0,861.0
2023-01-04,DET,11.0,41.0,Home,30.0,45.9,902.0
2023-01-07,ORL,7.0,44.0,Home,37.0,45.9,946.0
2023-01-10,PHO,19.0,57.0,Home,38.0,47.1,1003.0
2023-01-22,BRK,9.0,42.0,Home,33.0,46.6,1045.0
2023-01-25,MEM,11.0,36.0,Home,25.0,46.3,1081.0
2023-01-27,TOR,14.0,46.0,Home,32.0,46.5,1127.0
2023-02-04,DAL,10.0,39.0,Home,29.0,45.7,1166.0
2023-02-06,OKC,7.0,36.0,Home,29.0,44.3,1202.0
2023-02-11,LAL,10.0,52.0,Home,42.0,44.6,1254.0
2023-02-13,WAS,9.0,33.0,Home,24.0,42.6,1287.0
2023-02-24,HOU,13.0,44.0,Home,31.0,42.9,1331.0
2023-02-26,MIN,10.0,43.0,Home,33.0,42.8,1374.0
2023-02-28,POR,9.0,33.0,Home,24.0,40.4,1407.0
2023-03-02,LAC,9.0,47.0,Home,38.0,40.9,1454.0
2023-03-03,NOP,7.0,29.0,Home,22.0,40.2,1483.0
2023-03-11,MIL,7.0,48.0,Home,41.0,40.4,1531.0
2023-03-13,PHO,17.0,47.0,Home,30.0,41.2,1578.0
2023-03-24,PHI,4.0,38.0,Home,34.0,41.4,1616.0
2023-03-26,MIN,9.0,49.0,Home,40.0,41.1,1665.0
2023-03-28,NOP,11.0,41.0,Home,30.0,41.9,1706.0
2023-03-31,SAS,14.0,46.0,Home,32.0,42.1,1752.0
2023-04-04,OKC,13.0,38.0,Home,25.0,41.6,1790.0
