Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-21,MEM,17.0,50.0,Home,33.0,50.0,50.0,41.65853658536585
2022-10-24,UTA,18.0,49.0,Home,31.0,49.5,99.0,50.0
2022-11-02,LAC,9.0,43.0,Home,34.0,47.333333333333336,142.0,49.5
2022-11-14,LAC,9.0,44.0,Home,35.0,46.5,186.0,47.333333333333336
2022-11-18,IND,12.0,45.0,Home,33.0,46.2,231.0,46.5
2022-11-20,GSW,8.0,40.0,Home,32.0,45.166666666666664,271.0,46.2
2022-11-25,ATL,6.0,28.0,Home,22.0,42.714285714285715,299.0,45.166666666666664
2022-11-26,OKC,16.0,41.0,Home,25.0,42.5,340.0,42.714285714285715
2022-12-05,PHI,11.0,39.0,Home,28.0,42.111111111111114,379.0,42.5
2022-12-11,MIL,13.0,52.0,Home,39.0,43.1,431.0,42.111111111111114
2022-12-13,PHO,18.0,44.0,Home,26.0,42.5,475.0,43.1
2022-12-15,MIA,14.0,40.0,Home,26.0,41.6,515.0,42.5
2022-12-17,POR,10.0,36.0,Home,26.0,40.9,551.0,41.6
2022-12-19,SAS,9.0,46.0,Home,37.0,41.1,597.0,40.9
2022-12-21,ORL,11.0,45.0,Home,34.0,41.1,642.0,41.1
2022-12-23,DAL,7.0,34.0,Home,27.0,40.5,676.0,41.1
2022-12-31,NYK,16.0,46.0,Home,30.0,42.3,722.0,40.5
2023-01-02,DAL,8.0,41.0,Home,33.0,42.3,763.0,42.3
2023-01-05,UTA,9.0,42.0,Home,33.0,42.6,805.0,42.3
2023-01-08,MIN,9.0,44.0,Home,35.0,41.8,849.0,42.6
2023-01-18,CHO,11.0,37.0,Home,26.0,41.1,886.0,41.8
2023-01-23,MIN,12.0,41.0,Home,29.0,41.2,927.0,41.1
2023-01-25,WAS,15.0,48.0,Home,33.0,42.4,975.0,41.2
2023-01-26,CLE,11.0,36.0,Home,25.0,41.4,1011.0,42.4
2023-02-01,OKC,24.0,52.0,Home,28.0,42.1,1063.0,41.4
2023-02-03,TOR,13.0,43.0,Home,30.0,43.0,1106.0,42.1
2023-02-06,SAC,7.0,35.0,Home,28.0,41.9,1141.0,43.0
2023-02-08,SAC,10.0,31.0,Home,21.0,40.9,1172.0,41.9
2023-02-28,DEN,11.0,43.0,Home,32.0,41.0,1215.0,40.9
2023-03-01,MEM,8.0,44.0,Home,36.0,41.0,1259.0,41.0
2023-03-05,SAS,13.0,35.0,Home,22.0,40.8,1294.0,41.0
2023-03-07,BRK,5.0,36.0,Home,31.0,40.3,1330.0,40.8
2023-03-11,CHI,13.0,44.0,Home,31.0,39.9,1374.0,40.3
2023-03-13,BOS,10.0,38.0,Home,28.0,40.1,1412.0,39.9
2023-03-15,LAL,11.0,36.0,Home,25.0,38.5,1448.0,40.1
2023-03-17,NOP,8.0,35.0,Home,27.0,37.7,1483.0,38.5
2023-03-19,NOP,10.0,39.0,Home,29.0,38.1,1522.0,37.7
2023-03-20,GSW,16.0,48.0,Home,32.0,39.8,1570.0,38.1
2023-03-31,DET,13.0,40.0,Home,27.0,39.5,1610.0,39.8
2023-04-02,LAL,11.0,51.0,Home,40.0,40.2,1661.0,39.5
2023-04-04,DEN,13.0,47.0,Home,34.0,41.4,1708.0,40.2
