Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,NYK,18.0,54.0,Home,36.0,54.0,54.0,43.75609756097561
2022-10-24,BRK,9.0,35.0,Home,26.0,44.5,89.0,54.0
2022-11-04,CHO,12.0,41.0,Home,29.0,43.333333333333336,130.0,44.5
2022-11-06,WAS,15.0,49.0,Home,34.0,44.75,179.0,43.333333333333336
2022-11-07,BOS,7.0,45.0,Home,38.0,44.8,224.0,44.75
2022-11-11,MIN,7.0,33.0,Home,26.0,42.833333333333336,257.0,44.8
2022-11-18,OKC,8.0,43.0,Home,35.0,42.857142857142854,300.0,42.833333333333336
2022-11-22,SAC,9.0,45.0,Home,36.0,43.125,345.0,42.857142857142854
2022-11-25,NOP,11.0,41.0,Home,30.0,42.888888888888886,386.0,43.125
2022-12-02,PHI,10.0,42.0,Home,32.0,42.8,428.0,42.888888888888886
2022-12-05,MIA,9.0,45.0,Home,36.0,41.9,473.0,42.8
2022-12-07,OKC,14.0,48.0,Home,34.0,43.2,521.0,41.9
2022-12-09,DET,13.0,47.0,Home,34.0,43.8,568.0,43.2
2022-12-12,ATL,20.0,39.0,Home,19.0,42.8,607.0,43.8
2022-12-15,MIL,11.0,39.0,Home,28.0,42.2,646.0,42.8
2022-12-27,PHO,15.0,47.0,Home,32.0,43.6,693.0,42.2
2022-12-31,NOP,15.0,46.0,Home,31.0,43.9,739.0,43.6
2023-01-01,SAC,14.0,47.0,Home,33.0,44.1,786.0,43.9
2023-01-08,UTA,8.0,46.0,Home,38.0,44.6,832.0,44.1
2023-01-09,SAS,12.0,42.0,Home,30.0,44.6,874.0,44.6
2023-01-11,SAS,17.0,48.0,Home,31.0,44.9,922.0,44.6
2023-01-16,PHO,9.0,37.0,Home,28.0,43.8,959.0,44.9
2023-01-18,CLE,11.0,47.0,Home,36.0,43.8,1006.0,43.8
2023-01-29,IND,11.0,38.0,Home,27.0,43.7,1044.0,43.8
2023-02-01,POR,9.0,41.0,Home,32.0,43.9,1085.0,43.7
2023-02-05,TOR,11.0,42.0,Home,31.0,43.4,1127.0,43.9
2023-02-07,CHI,11.0,49.0,Home,38.0,43.7,1176.0,43.4
2023-02-10,MIN,7.0,35.0,Home,28.0,42.5,1211.0,43.7
2023-02-15,UTA,15.0,61.0,Home,46.0,44.0,1272.0,42.5
2023-02-25,DEN,11.0,48.0,Home,37.0,44.6,1320.0,44.0
2023-02-28,LAL,14.0,56.0,Home,42.0,45.4,1376.0,44.6
2023-03-09,GSW,8.0,32.0,Home,24.0,44.9,1408.0,45.4
2023-03-11,DAL,10.0,43.0,Home,33.0,44.5,1451.0,44.9
2023-03-18,GSW,15.0,42.0,Home,27.0,44.9,1493.0,44.5
2023-03-20,DAL,8.0,37.0,Home,29.0,44.5,1530.0,44.9
2023-03-22,HOU,20.0,48.0,Home,28.0,45.1,1578.0,44.5
2023-03-24,HOU,10.0,38.0,Home,28.0,44.0,1616.0,45.1
2023-03-28,ORL,8.0,47.0,Home,39.0,45.2,1663.0,44.0
2023-03-29,LAC,3.0,32.0,Home,29.0,42.3,1695.0,45.2
2023-03-31,LAC,12.0,50.0,Home,38.0,42.5,1745.0,42.3
2023-04-04,POR,13.0,49.0,Home,36.0,41.8,1794.0,42.5
