Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,CHI,12.0,46.0,Home,34.0,46.0,46.0,40.829268292682926
2022-10-21,BOS,12.0,43.0,Home,31.0,44.5,89.0,46.0
2022-10-22,TOR,8.0,37.0,Home,29.0,42.0,126.0,44.5
2022-10-24,TOR,10.0,52.0,Home,42.0,44.5,178.0,42.0
2022-11-01,GSW,10.0,41.0,Home,31.0,43.8,219.0,44.5
2022-11-02,SAC,4.0,39.0,Home,35.0,43.0,258.0,43.8
2022-11-07,POR,4.0,37.0,Home,33.0,42.142857142857146,295.0,43.0
2022-11-10,CHO,8.0,50.0,Home,42.0,43.125,345.0,42.142857142857146
2022-11-12,CHO,4.0,37.0,Home,33.0,42.44444444444444,382.0,43.125
2022-11-14,PHO,20.0,45.0,Home,25.0,42.7,427.0,42.44444444444444
2022-11-23,WAS,7.0,43.0,Home,36.0,42.4,470.0,42.7
2022-11-25,WAS,13.0,45.0,Home,32.0,42.6,515.0,42.4
2022-12-06,DET,9.0,40.0,Home,31.0,42.9,555.0,42.6
2022-12-08,LAC,7.0,43.0,Home,36.0,42.0,598.0,42.9
2022-12-10,SAS,9.0,46.0,Home,37.0,42.5,644.0,42.0
2022-12-20,CHI,5.0,39.0,Home,34.0,42.5,683.0,42.5
2022-12-23,IND,9.0,43.0,Home,34.0,43.1,726.0,42.5
2022-12-26,MIN,8.0,44.0,Home,36.0,42.5,770.0,43.1
2022-12-28,LAL,8.0,44.0,Home,36.0,43.2,814.0,42.5
2023-01-08,BRK,6.0,40.0,Home,34.0,42.7,854.0,43.2
2023-01-10,OKC,14.0,44.0,Home,30.0,42.8,898.0,42.7
2023-01-12,MIL,8.0,39.0,Home,31.0,42.2,937.0,42.8
2023-01-14,MIL,7.0,32.0,Home,25.0,41.4,969.0,42.2
2023-01-22,NOP,8.0,41.0,Home,33.0,41.2,1010.0,41.4
2023-01-24,BOS,5.0,44.0,Home,39.0,41.0,1054.0,41.2
2023-01-27,ORL,2.0,40.0,Home,38.0,41.1,1094.0,41.0
2023-02-08,IND,5.0,31.0,Home,26.0,39.9,1125.0,41.1
2023-02-10,HOU,10.0,47.0,Home,37.0,40.2,1172.0,39.9
2023-02-13,DEN,6.0,39.0,Home,33.0,39.7,1211.0,40.2
2023-03-01,PHI,9.0,41.0,Home,32.0,39.8,1252.0,39.7
2023-03-03,NYK,6.0,34.0,Home,28.0,38.8,1286.0,39.8
2023-03-04,ATL,10.0,37.0,Home,27.0,38.6,1323.0,38.8
2023-03-06,ATL,12.0,37.0,Home,25.0,39.1,1360.0,38.6
2023-03-08,CLE,7.0,32.0,Home,25.0,38.2,1392.0,39.1
2023-03-10,CLE,8.0,34.0,Home,26.0,37.2,1426.0,38.2
2023-03-13,UTA,16.0,48.0,Home,32.0,38.0,1474.0,37.2
2023-03-15,MEM,12.0,39.0,Home,27.0,38.8,1513.0,38.0
2023-03-22,NYK,9.0,42.0,Home,33.0,38.3,1555.0,38.8
2023-03-25,BRK,17.0,45.0,Home,28.0,38.9,1600.0,38.3
2023-04-01,DAL,1.0,31.0,Home,30.0,37.9,1631.0,38.9
2023-04-09,ORL,13.0,43.0,Home,30.0,38.8,1674.0,37.9
