Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-23,UTA,15.0,44.0,Home,29.0,,44.0
2022-10-25,DAL,11.0,37.0,Home,26.0,,81.0
2022-11-04,GSW,3.0,29.0,Home,26.0,,110.0
2022-11-10,POR,11.0,46.0,Home,35.0,,156.0
2022-11-12,HOU,10.0,43.0,Home,33.0,,199.0
2022-11-15,MEM,14.0,51.0,Home,37.0,,250.0
2022-11-16,CHI,7.0,37.0,Home,30.0,,287.0
2022-11-18,BOS,11.0,46.0,Home,35.0,,333.0
2022-11-21,GSW,4.0,34.0,Home,30.0,,367.0
2022-11-28,OKC,18.0,47.0,Home,29.0,41.4,414.0
2022-11-30,TOR,3.0,30.0,Home,27.0,40.0,444.0
2022-12-04,DEN,9.0,43.0,Home,34.0,40.6,487.0
2022-12-07,DET,8.0,42.0,Home,34.0,41.9,529.0
2022-12-09,PHO,8.0,37.0,Home,29.0,41.0,566.0
2022-12-11,PHO,19.0,42.0,Home,23.0,40.9,608.0
2022-12-19,MIL,8.0,44.0,Home,36.0,40.2,652.0
2022-12-22,SAS,14.0,44.0,Home,30.0,40.9,696.0
2022-12-26,IND,6.0,36.0,Home,30.0,39.9,732.0
2022-12-28,MIN,5.0,35.0,Home,30.0,40.0,767.0
2022-12-30,PHI,3.0,29.0,Home,26.0,38.2,796.0
2023-01-04,HOU,12.0,43.0,Home,31.0,39.5,839.0
2023-01-06,BRK,10.0,43.0,Home,33.0,39.5,882.0
2023-01-18,MIA,10.0,43.0,Home,33.0,39.6,925.0
2023-01-24,DEN,7.0,34.0,Home,27.0,39.3,959.0
2023-01-25,MIN,4.0,36.0,Home,32.0,38.7,995.0
2023-01-28,WAS,13.0,53.0,Home,40.0,39.6,1048.0
2023-02-04,LAL,13.0,44.0,Home,31.0,39.6,1092.0
2023-02-05,SAC,11.0,38.0,Home,27.0,39.8,1130.0
2023-02-07,ATL,10.0,41.0,Home,31.0,40.4,1171.0
2023-02-10,CLE,12.0,41.0,Home,29.0,41.6,1212.0
2023-02-27,ORL,11.0,43.0,Home,32.0,41.6,1255.0
2023-03-08,DAL,5.0,34.0,Home,29.0,40.7,1289.0
2023-03-11,OKC,4.0,38.0,Home,34.0,40.2,1327.0
2023-03-12,POR,10.0,46.0,Home,36.0,41.4,1373.0
2023-03-14,LAL,15.0,52.0,Home,37.0,43.0,1425.0
2023-03-21,SAS,10.0,37.0,Home,27.0,41.4,1462.0
2023-03-23,CHO,4.0,38.0,Home,34.0,40.8,1500.0
2023-04-01,LAC,11.0,37.0,Home,26.0,40.7,1537.0
2023-04-04,SAC,11.0,43.0,Home,32.0,40.9,1580.0
2023-04-05,MEM,15.0,49.0,Home,34.0,41.7,1629.0
2023-04-07,NYK,7.0,37.0,Home,30.0,41.1,1666.0
