Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-21,DET,13.0,49.0,Home,36.0,,49.0
2022-10-24,ORL,13.0,41.0,Home,28.0,,90.0
2022-10-26,CHO,9.0,42.0,Home,33.0,,132.0
2022-11-02,ATL,17.0,51.0,Home,34.0,,183.0
2022-11-05,BOS,8.0,34.0,Home,26.0,,217.0
2022-11-11,DET,12.0,43.0,Home,31.0,,260.0
2022-11-13,OKC,4.0,38.0,Home,34.0,,298.0
2022-11-25,POR,13.0,48.0,Home,35.0,,346.0
2022-11-27,MEM,16.0,50.0,Home,34.0,,396.0
2022-11-30,MIL,14.0,52.0,Home,38.0,44.8,448.0
2022-12-03,DAL,14.0,50.0,Home,36.0,44.9,498.0
2022-12-04,CLE,8.0,39.0,Home,31.0,44.7,537.0
2022-12-07,ATL,11.0,39.0,Home,28.0,44.4,576.0
2022-12-11,SAC,11.0,41.0,Home,30.0,43.4,617.0
2022-12-20,GSW,4.0,29.0,Home,25.0,42.9,646.0
2022-12-21,TOR,16.0,38.0,Home,22.0,42.4,684.0
2022-12-23,CHI,11.0,41.0,Home,30.0,42.7,725.0
2022-12-25,PHI,5.0,32.0,Home,27.0,41.1,757.0
2023-01-02,PHO,5.0,36.0,Home,31.0,39.7,793.0
2023-01-04,SAS,9.0,38.0,Home,29.0,38.3,831.0
2023-01-09,MIL,12.0,48.0,Home,36.0,38.1,879.0
2023-01-11,IND,8.0,41.0,Home,33.0,38.3,920.0
2023-01-16,TOR,14.0,42.0,Home,28.0,38.6,962.0
2023-01-18,WAS,18.0,52.0,Home,34.0,39.7,1014.0
2023-01-24,CLE,10.0,41.0,Home,31.0,40.9,1055.0
2023-01-31,LAL,11.0,44.0,Home,33.0,41.5,1099.0
2023-02-02,MIA,9.0,33.0,Home,24.0,40.7,1132.0
2023-02-04,LAC,9.0,46.0,Home,37.0,42.1,1178.0
2023-02-05,PHI,8.0,44.0,Home,36.0,42.9,1222.0
2023-02-11,UTA,11.0,38.0,Home,27.0,42.9,1260.0
2023-02-13,BRK,10.0,39.0,Home,29.0,42.0,1299.0
2023-02-25,NOP,13.0,39.0,Home,26.0,41.8,1338.0
2023-02-27,BOS,7.0,35.0,Home,28.0,41.1,1373.0
2023-03-01,BRK,5.0,31.0,Home,26.0,39.0,1404.0
2023-03-07,CHO,10.0,42.0,Home,32.0,39.1,1446.0
2023-03-18,DEN,6.0,33.0,Home,27.0,38.0,1479.0
2023-03-20,MIN,7.0,34.0,Home,27.0,38.1,1513.0
2023-03-27,HOU,13.0,40.0,Home,27.0,37.5,1553.0
2023-03-29,MIA,6.0,35.0,Home,29.0,36.6,1588.0
2023-04-02,WAS,5.0,38.0,Home,33.0,36.6,1626.0
2023-04-09,IND,8.0,44.0,Home,36.0,37.1,1670.0
