Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-23,MIN,12.0,54.0,Home,42.0,54.0,54.0,44.63414634146341
2022-10-25,LAC,7.0,47.0,Home,40.0,50.5,101.0,54.0
2022-10-27,LAC,10.0,44.0,Home,34.0,48.333333333333336,145.0,50.5
2022-11-01,ORL,12.0,49.0,Home,37.0,48.5,194.0,48.333333333333336
2022-11-03,DEN,8.0,47.0,Home,39.0,48.2,241.0,48.5
2022-11-09,MIL,11.0,55.0,Home,44.0,49.333333333333336,296.0,48.2
2022-11-11,TOR,14.0,39.0,Home,25.0,47.857142857142854,335.0,49.333333333333336
2022-11-21,NYK,14.0,48.0,Home,34.0,47.875,383.0,47.857142857142854
2022-11-23,DEN,17.0,55.0,Home,38.0,48.666666666666664,438.0,47.875
2022-11-25,CHI,14.0,47.0,Home,33.0,48.5,485.0,48.666666666666664
2022-11-30,SAS,13.0,44.0,Home,31.0,47.5,529.0,48.5
2022-12-14,MIA,7.0,39.0,Home,32.0,46.7,568.0,47.5
2022-12-16,MIN,11.0,43.0,Home,32.0,46.6,611.0,46.7
2022-12-17,MEM,10.0,53.0,Home,43.0,47.0,664.0,46.6
2022-12-19,POR,14.0,45.0,Home,31.0,46.8,709.0,47.0
2022-12-21,POR,9.0,36.0,Home,27.0,44.9,745.0,46.8
2022-12-23,NOP,13.0,55.0,Home,42.0,46.5,800.0,44.9
2022-12-27,SAS,16.0,41.0,Home,25.0,45.8,841.0,46.5
2022-12-31,PHI,14.0,56.0,Home,42.0,45.9,897.0,45.8
2023-01-03,BOS,11.0,38.0,Home,27.0,45.0,935.0,45.9
2023-01-06,WAS,11.0,46.0,Home,35.0,45.2,981.0,45.0
2023-01-08,DAL,8.0,39.0,Home,31.0,45.2,1020.0,45.2
2023-01-18,IND,20.0,48.0,Home,28.0,45.7,1068.0,45.2
2023-01-25,ATL,11.0,46.0,Home,35.0,45.0,1114.0,45.7
2023-01-27,CLE,11.0,37.0,Home,26.0,44.2,1151.0,45.0
2023-01-30,GSW,6.0,44.0,Home,38.0,45.0,1195.0,44.2
2023-02-04,HOU,9.0,34.0,Home,25.0,42.9,1229.0,45.0
2023-02-13,NOP,4.0,33.0,Home,29.0,42.1,1262.0,42.9
2023-02-15,HOU,14.0,47.0,Home,33.0,41.2,1309.0,42.1
2023-02-26,SAC,13.0,48.0,Home,35.0,42.2,1357.0,41.2
2023-02-28,SAC,8.0,51.0,Home,43.0,42.7,1408.0,42.2
2023-03-01,LAL,10.0,41.0,Home,31.0,42.9,1449.0,42.7
2023-03-03,UTA,10.0,48.0,Home,38.0,42.9,1497.0,42.9
2023-03-05,UTA,12.0,39.0,Home,27.0,42.2,1536.0,42.9
2023-03-07,GSW,8.0,33.0,Home,25.0,41.8,1569.0,42.2
2023-03-14,BRK,11.0,46.0,Home,35.0,42.0,1615.0,41.8
2023-03-19,PHO,9.0,40.0,Home,31.0,42.6,1655.0,42.0
2023-03-28,CHO,15.0,52.0,Home,37.0,44.5,1707.0,42.6
2023-03-29,DET,10.0,42.0,Home,32.0,44.0,1749.0,44.5
2023-04-02,PHO,5.0,38.0,Home,33.0,43.0,1787.0,44.0
2023-04-09,MEM,11.0,43.0,Home,32.0,42.2,1830.0,43.0
