Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-22,BOS,7.0,37.0,Home,30.0,37.0,37.0,40.26829268292683
2022-10-28,CHO,10.0,47.0,Home,37.0,42.0,84.0,37.0
2022-11-03,GSW,9.0,35.0,Home,26.0,39.666666666666664,119.0,42.0
2022-11-05,SAC,6.0,36.0,Home,30.0,38.75,155.0,39.666666666666664
2022-11-07,HOU,14.0,40.0,Home,26.0,39.0,195.0,38.75
2022-11-09,DAL,4.0,29.0,Home,25.0,37.333333333333336,224.0,39.0
2022-11-11,PHO,11.0,38.0,Home,27.0,37.42857142857143,262.0,37.333333333333336
2022-11-14,CHO,14.0,37.0,Home,23.0,37.375,299.0,37.42857142857143
2022-11-16,MIN,8.0,40.0,Home,32.0,37.666666666666664,339.0,37.375
2022-11-25,PHI,13.0,47.0,Home,34.0,38.6,386.0,37.666666666666664
2022-11-27,PHI,6.0,43.0,Home,37.0,39.2,429.0,38.6
2022-11-30,ATL,14.0,49.0,Home,35.0,39.4,478.0,39.2
2022-12-05,MIL,7.0,45.0,Home,38.0,40.4,523.0,39.4
2022-12-07,LAC,17.0,53.0,Home,36.0,42.1,576.0,40.4
2022-12-09,TOR,7.0,33.0,Home,26.0,41.4,609.0,42.1
2022-12-11,TOR,7.0,28.0,Home,21.0,41.3,637.0,41.4
2022-12-14,ATL,11.0,39.0,Home,28.0,41.4,676.0,41.3
2022-12-23,SAS,13.0,38.0,Home,25.0,41.5,714.0,41.4
2022-12-27,LAL,9.0,46.0,Home,37.0,42.1,760.0,41.5
2022-12-30,WAS,4.0,53.0,Home,49.0,42.7,813.0,42.1
2023-01-04,OKC,9.0,33.0,Home,24.0,41.7,846.0,42.7
2023-01-05,MEM,9.0,49.0,Home,40.0,41.7,895.0,41.7
2023-01-20,NOP,11.0,39.0,Home,28.0,41.1,934.0,41.7
2023-01-23,BOS,8.0,37.0,Home,29.0,39.5,971.0,41.1
2023-01-25,IND,10.0,32.0,Home,22.0,39.4,1003.0,39.5
2023-01-28,CHI,4.0,38.0,Home,34.0,40.4,1041.0,39.4
2023-02-07,NYK,11.0,43.0,Home,32.0,40.8,1084.0,40.4
2023-02-09,DEN,7.0,39.0,Home,32.0,40.9,1123.0,40.8
2023-02-11,MIA,11.0,46.0,Home,35.0,40.9,1169.0,40.9
2023-02-23,DET,6.0,45.0,Home,39.0,40.1,1214.0,40.9
2023-02-25,IND,10.0,45.0,Home,35.0,41.3,1259.0,40.1
2023-03-05,POR,9.0,46.0,Home,37.0,41.0,1305.0,41.3
2023-03-07,MIL,3.0,38.0,Home,35.0,40.9,1343.0,41.0
2023-03-09,UTA,11.0,42.0,Home,31.0,41.4,1385.0,40.9
2023-03-11,MIA,5.0,35.0,Home,30.0,41.7,1420.0,41.4
2023-03-21,WAS,4.0,33.0,Home,29.0,41.2,1453.0,41.7
2023-03-23,NYK,13.0,44.0,Home,31.0,41.3,1497.0,41.2
2023-03-26,BRK,15.0,44.0,Home,29.0,41.8,1541.0,41.3
2023-04-02,DET,9.0,38.0,Home,29.0,41.0,1579.0,41.8
2023-04-04,CLE,5.0,30.0,Home,25.0,39.5,1609.0,41.0
2023-04-06,CLE,9.0,42.0,Home,33.0,39.2,1651.0,39.5
