Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-20,MIL,7.0,48.0,Home,41.0,,48.0
2022-10-22,SAS,12.0,43.0,Home,31.0,,91.0
2022-10-24,IND,14.0,47.0,Home,33.0,,138.0
2022-11-02,WAS,7.0,43.0,Home,36.0,,181.0
2022-11-04,NYK,10.0,50.0,Home,40.0,,231.0
2022-11-07,PHO,6.0,37.0,Home,31.0,,268.0
2022-11-12,ATL,12.0,43.0,Home,31.0,,311.0
2022-11-13,UTA,18.0,50.0,Home,32.0,,361.0
2022-11-18,MIL,8.0,42.0,Home,34.0,,403.0
2022-11-19,MIN,8.0,43.0,Home,35.0,44.6,446.0
2022-11-22,BRK,4.0,35.0,Home,31.0,43.3,481.0
2022-11-28,ATL,8.0,42.0,Home,34.0,43.2,523.0
2022-12-09,LAL,7.0,37.0,Home,30.0,42.2,560.0
2022-12-11,CHO,15.0,45.0,Home,30.0,42.4,605.0
2022-12-13,SAC,13.0,48.0,Home,35.0,42.2,653.0
2022-12-16,GSW,13.0,48.0,Home,35.0,43.3,701.0
2022-12-19,TOR,9.0,50.0,Home,41.0,44.0,751.0
2022-12-21,DET,11.0,46.0,Home,35.0,43.6,797.0
2022-12-23,LAC,6.0,33.0,Home,27.0,42.7,830.0
2023-01-02,NOP,10.0,49.0,Home,39.0,43.3,879.0
2023-01-04,IND,13.0,45.0,Home,32.0,44.3,924.0
2023-01-06,CHI,8.0,45.0,Home,37.0,44.6,969.0
2023-01-10,DET,3.0,26.0,Home,23.0,43.5,995.0
2023-01-12,OKC,5.0,39.0,Home,34.0,42.9,1034.0
2023-01-25,BRK,6.0,31.0,Home,25.0,41.2,1065.0
2023-01-28,DEN,6.0,36.0,Home,30.0,40.0,1101.0
2023-01-30,ORL,15.0,50.0,Home,35.0,40.0,1151.0
2023-02-01,ORL,12.0,46.0,Home,34.0,40.0,1197.0
2023-02-10,NYK,4.0,35.0,Home,31.0,40.2,1232.0
2023-02-13,HOU,15.0,42.0,Home,27.0,39.5,1274.0
2023-02-15,CLE,10.0,35.0,Home,25.0,38.5,1309.0
2023-02-23,MEM,13.0,49.0,Home,36.0,38.9,1358.0
2023-02-25,BOS,9.0,44.0,Home,35.0,40.7,1402.0
2023-02-27,MIA,12.0,37.0,Home,25.0,40.5,1439.0
2023-03-10,POR,5.0,36.0,Home,31.0,41.0,1475.0
2023-03-12,WAS,6.0,35.0,Home,29.0,40.9,1510.0
2023-03-20,CHI,4.0,42.0,Home,38.0,40.1,1552.0
2023-03-29,DAL,8.0,40.0,Home,32.0,39.5,1592.0
2023-03-31,TOR,14.0,34.0,Home,20.0,39.4,1626.0
2023-04-04,BOS,13.0,43.0,Home,30.0,39.5,1669.0
2023-04-06,MIA,10.0,42.0,Home,32.0,40.2,1711.0
