Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-21,PHO,9.0,41.0,Home,32.0,,41.0
2022-10-24,DEN,10.0,38.0,Home,28.0,,79.0
2022-10-26,MIA,15.0,46.0,Home,31.0,,125.0
2022-10-28,HOU,13.0,39.0,Home,26.0,,164.0
2022-11-02,MEM,10.0,46.0,Home,36.0,,210.0
2022-11-15,SAS,11.0,38.0,Home,27.0,,248.0
2022-11-17,BRK,5.0,47.0,Home,42.0,,295.0
2022-11-19,UTA,11.0,42.0,Home,31.0,,337.0
2022-11-29,LAC,14.0,48.0,Home,34.0,,385.0
2022-12-04,IND,12.0,44.0,Home,32.0,42.9,429.0
2022-12-08,DEN,16.0,48.0,Home,32.0,43.6,477.0
2022-12-10,MIN,4.0,28.0,Home,24.0,42.6,505.0
2022-12-12,MIN,7.0,37.0,Home,30.0,41.7,542.0
2022-12-26,CHO,18.0,45.0,Home,27.0,42.3,587.0
2023-01-02,DET,9.0,45.0,Home,36.0,42.2,632.0
2023-01-10,ORL,6.0,35.0,Home,29.0,41.9,667.0
2023-01-12,CLE,12.0,44.0,Home,32.0,41.6,711.0
2023-01-14,DAL,2.0,25.0,Home,23.0,39.9,736.0
2023-01-15,DAL,13.0,39.0,Home,26.0,39.0,775.0
2023-01-19,PHI,5.0,43.0,Home,38.0,38.9,818.0
2023-01-22,LAL,10.0,51.0,Home,41.0,39.2,869.0
2023-01-23,SAS,14.0,40.0,Home,26.0,40.4,909.0
2023-01-25,UTA,8.0,35.0,Home,27.0,40.2,944.0
2023-01-28,TOR,15.0,45.0,Home,30.0,40.2,989.0
2023-01-30,ATL,17.0,45.0,Home,28.0,40.2,1034.0
2023-02-06,MIL,7.0,55.0,Home,48.0,42.2,1089.0
2023-02-08,GSW,10.0,32.0,Home,22.0,41.0,1121.0
2023-02-10,OKC,10.0,29.0,Home,19.0,41.4,1150.0
2023-02-13,LAL,14.0,56.0,Home,42.0,43.1,1206.0
2023-02-14,WAS,5.0,44.0,Home,39.0,43.2,1250.0
2023-02-26,HOU,18.0,48.0,Home,30.0,42.9,1298.0
2023-03-01,NOP,11.0,41.0,Home,30.0,43.0,1339.0
2023-03-14,NYK,9.0,52.0,Home,43.0,44.7,1391.0
2023-03-17,BOS,18.0,52.0,Home,34.0,45.4,1443.0
2023-03-19,LAC,18.0,49.0,Home,31.0,45.8,1492.0
2023-03-24,CHI,11.0,47.0,Home,36.0,45.0,1539.0
2023-03-26,OKC,13.0,42.0,Home,29.0,46.0,1581.0
2023-03-27,NOP,8.0,53.0,Home,45.0,48.4,1634.0
2023-03-29,SAC,10.0,59.0,Home,49.0,48.7,1693.0
2023-03-31,SAC,8.0,41.0,Home,33.0,48.4,1734.0
2023-04-09,GSW,9.0,58.0,Home,49.0,49.4,1792.0
