Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-19,CHO,14.0,51.0,Home,37.0,51.0,51.0,43.80487804878049
2022-10-28,CHI,15.0,42.0,Home,27.0,46.5,93.0,51.0
2022-10-30,MIN,16.0,45.0,Home,29.0,46.0,138.0,46.5
2022-11-02,TOR,9.0,50.0,Home,41.0,47.0,188.0,46.0
2022-11-04,LAC,3.0,44.0,Home,41.0,46.4,232.0,47.0
2022-11-07,DEN,8.0,40.0,Home,32.0,45.333333333333336,272.0,46.4
2022-11-09,MEM,18.0,53.0,Home,35.0,46.42857142857143,325.0,45.333333333333336
2022-11-11,MIL,21.0,48.0,Home,27.0,46.625,373.0,46.42857142857143
2022-11-23,NOP,8.0,42.0,Home,34.0,46.111111111111114,415.0,46.625
2022-11-25,LAL,10.0,49.0,Home,39.0,46.4,464.0,46.111111111111114
2022-11-26,LAL,3.0,39.0,Home,36.0,45.2,503.0,46.4
2022-12-02,NOP,10.0,53.0,Home,43.0,46.3,556.0,45.2
2022-12-04,PHO,14.0,45.0,Home,31.0,46.3,601.0,46.3
2022-12-08,HOU,16.0,42.0,Home,26.0,45.5,643.0,46.3
2022-12-12,CLE,15.0,44.0,Home,29.0,45.5,687.0,45.5
2022-12-14,POR,5.0,40.0,Home,35.0,45.5,727.0,45.5
2022-12-17,MIA,8.0,40.0,Home,32.0,44.2,767.0,45.5
2022-12-26,UTA,16.0,45.0,Home,29.0,43.9,812.0,44.2
2022-12-29,NYK,13.0,38.0,Home,25.0,43.5,850.0,43.9
2022-12-31,DAL,6.0,26.0,Home,20.0,41.2,876.0,43.5
2023-01-06,DET,15.0,37.0,Home,22.0,41.0,913.0,41.2
2023-01-07,BOS,8.0,43.0,Home,35.0,40.0,956.0,41.0
2023-01-13,GSW,12.0,55.0,Home,43.0,41.0,1011.0,40.0
2023-01-15,SAC,7.0,38.0,Home,31.0,40.6,1049.0,41.0
2023-01-17,BRK,10.0,49.0,Home,39.0,41.1,1098.0,40.6
2023-01-20,LAC,11.0,32.0,Home,21.0,40.3,1130.0,41.1
2023-01-28,PHO,17.0,52.0,Home,35.0,41.5,1182.0,40.3
2023-01-30,WAS,5.0,45.0,Home,40.0,41.5,1227.0,41.5
2023-02-01,SAC,6.0,34.0,Home,28.0,41.1,1261.0,41.5
2023-02-03,PHI,14.0,39.0,Home,25.0,42.4,1300.0,41.1
2023-03-02,IND,6.0,40.0,Home,34.0,42.7,1340.0,42.4
2023-03-04,HOU,14.0,45.0,Home,31.0,42.9,1385.0,42.7
2023-03-10,DEN,8.0,33.0,Home,25.0,40.7,1418.0,42.9
2023-03-12,OKC,12.0,55.0,Home,43.0,42.4,1473.0,40.7
2023-03-14,ORL,13.0,42.0,Home,29.0,41.7,1515.0,42.4
2023-03-15,DAL,10.0,52.0,Home,42.0,43.7,1567.0,41.7
2023-03-17,MEM,15.0,52.0,Home,37.0,43.7,1619.0,43.7
2023-03-19,ATL,20.0,51.0,Home,31.0,44.3,1670.0,43.7
2023-03-29,UTA,8.0,45.0,Home,37.0,45.4,1715.0,44.3
2023-04-06,POR,8.0,36.0,Home,28.0,45.1,1751.0,45.4
2023-04-08,MIN,11.0,45.0,Home,34.0,45.6,1796.0,45.1
