Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,CLE,6.0,38.0,Home,32.0,,38.0
2022-10-26,PHI,4.0,34.0,Home,30.0,,72.0
2022-10-28,PHI,7.0,41.0,Home,34.0,,113.0
2022-10-31,ATL,7.0,37.0,Home,30.0,,150.0
2022-11-06,CHI,15.0,46.0,Home,31.0,,196.0
2022-11-09,HOU,16.0,49.0,Home,33.0,,245.0
2022-11-16,MIA,4.0,23.0,Home,19.0,,268.0
2022-11-23,BRK,7.0,39.0,Home,32.0,,307.0
2022-11-26,DAL,4.0,34.0,Home,30.0,,341.0
2022-11-28,CLE,13.0,47.0,Home,34.0,38.8,388.0
2022-12-03,ORL,5.0,29.0,Home,24.0,37.9,417.0
2022-12-05,BOS,13.0,49.0,Home,36.0,39.4,466.0
2022-12-07,LAL,10.0,46.0,Home,36.0,39.9,512.0
2022-12-14,SAC,13.0,50.0,Home,37.0,41.2,562.0
2022-12-16,BRK,4.0,37.0,Home,33.0,40.3,599.0
2022-12-18,GSW,12.0,41.0,Home,29.0,39.5,640.0
2022-12-27,LAC,15.0,47.0,Home,32.0,41.9,687.0
2022-12-29,MEM,17.0,53.0,Home,36.0,43.3,740.0
2022-12-30,PHO,9.0,42.0,Home,33.0,44.1,782.0
2023-01-04,MIL,13.0,73.0,Home,60.0,46.7,855.0
2023-01-06,NYK,13.0,51.0,Home,38.0,48.9,906.0
2023-01-08,POR,10.0,42.0,Home,32.0,48.2,948.0
2023-01-10,CHO,6.0,34.0,Home,28.0,47.0,982.0
2023-01-12,CHO,9.0,42.0,Home,33.0,46.2,1024.0
2023-01-14,ATL,5.0,40.0,Home,35.0,46.5,1064.0
2023-01-21,BOS,11.0,41.0,Home,30.0,46.5,1105.0
2023-01-22,NYK,14.0,47.0,Home,33.0,46.5,1152.0
2023-02-08,SAS,7.0,39.0,Home,32.0,45.1,1191.0
2023-02-10,UTA,9.0,46.0,Home,37.0,45.5,1237.0
2023-02-12,DET,6.0,32.0,Home,26.0,41.4,1269.0
2023-02-14,ORL,9.0,29.0,Home,20.0,39.2,1298.0
2023-02-23,NOP,6.0,43.0,Home,37.0,39.3,1341.0
2023-02-28,CHI,6.0,35.0,Home,29.0,39.4,1376.0
2023-03-14,DEN,4.0,32.0,Home,28.0,38.4,1408.0
2023-03-16,OKC,11.0,39.0,Home,28.0,38.3,1447.0
2023-03-18,MIN,9.0,42.0,Home,33.0,38.4,1489.0
2023-03-22,IND,8.0,39.0,Home,31.0,37.6,1528.0
2023-03-24,DET,8.0,39.0,Home,31.0,37.6,1567.0
2023-03-26,WAS,12.0,45.0,Home,33.0,37.5,1612.0
2023-03-28,MIA,12.0,43.0,Home,31.0,38.6,1655.0
2023-04-09,MIL,7.0,38.0,Home,31.0,39.5,1693.0
