Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,DEN,10.0,35.0,Home,25.0,,35.0
2022-10-26,HOU,14.0,49.0,Home,35.0,,84.0
2022-10-29,MEM,10.0,40.0,Home,30.0,,124.0
2022-10-31,MEM,18.0,52.0,Home,34.0,,176.0
2022-11-07,LAL,7.0,33.0,Home,26.0,,209.0
2022-11-15,NYK,13.0,43.0,Home,30.0,,252.0
2022-11-18,PHO,12.0,42.0,Home,30.0,,294.0
2022-11-23,DET,8.0,38.0,Home,30.0,,332.0
2022-11-28,CHI,13.0,50.0,Home,37.0,,382.0
2022-11-30,LAC,17.0,39.0,Home,22.0,42.1,421.0
2022-12-02,IND,9.0,35.0,Home,26.0,42.1,456.0
2022-12-03,POR,12.0,49.0,Home,37.0,42.1,505.0
2022-12-07,GSW,14.0,42.0,Home,28.0,42.3,547.0
2022-12-09,MIN,6.0,44.0,Home,38.0,41.5,591.0
2022-12-13,NOP,15.0,43.0,Home,28.0,42.5,634.0
2022-12-15,NOP,19.0,49.0,Home,30.0,43.1,683.0
2022-12-22,WAS,3.0,37.0,Home,34.0,42.6,720.0
2022-12-31,MIA,10.0,37.0,Home,27.0,42.5,757.0
2023-01-03,SAC,7.0,40.0,Home,33.0,41.5,797.0
2023-01-10,CLE,7.0,37.0,Home,30.0,41.3,834.0
2023-01-13,ORL,11.0,40.0,Home,29.0,41.8,874.0
2023-01-14,PHI,9.0,37.0,Home,28.0,40.6,911.0
2023-01-18,LAC,16.0,50.0,Home,34.0,41.4,961.0
2023-01-20,BRK,6.0,42.0,Home,36.0,41.2,1003.0
2023-01-23,CHO,11.0,42.0,Home,31.0,41.1,1045.0
2023-01-28,DAL,7.0,31.0,Home,24.0,39.3,1076.0
2023-02-01,TOR,25.0,52.0,Home,27.0,40.8,1128.0
2023-02-03,ATL,14.0,52.0,Home,38.0,42.3,1180.0
2023-02-06,DAL,17.0,49.0,Home,32.0,43.2,1229.0
2023-02-08,MIN,8.0,47.0,Home,39.0,44.2,1276.0
2023-02-23,OKC,20.0,54.0,Home,34.0,45.6,1330.0
2023-02-25,SAS,9.0,41.0,Home,32.0,46.0,1371.0
2023-02-28,SAS,9.0,45.0,Home,36.0,45.5,1416.0
2023-03-18,BOS,5.0,40.0,Home,35.0,45.3,1456.0
2023-03-20,SAC,8.0,43.0,Home,35.0,45.4,1499.0
2023-03-22,POR,7.0,43.0,Home,36.0,46.6,1542.0
2023-03-24,MIL,9.0,50.0,Home,41.0,46.4,1592.0
2023-03-27,PHO,18.0,49.0,Home,31.0,46.1,1641.0
2023-04-04,LAL,11.0,44.0,Home,33.0,45.6,1685.0
2023-04-06,OKC,17.0,50.0,Home,33.0,45.9,1735.0
2023-04-08,DEN,5.0,41.0,Home,36.0,44.6,1776.0
