Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-21,CHI,10.0,38.0,Home,28.0,,38.0
2022-10-25,DET,11.0,41.0,Home,30.0,,79.0
2022-10-28,IND,5.0,41.0,Home,36.0,,120.0
2022-10-31,PHI,4.0,37.0,Home,33.0,,157.0
2022-11-04,BRK,7.0,48.0,Home,41.0,,205.0
2022-11-10,DAL,7.0,41.0,Home,34.0,,246.0
2022-11-12,UTA,7.0,42.0,Home,35.0,,288.0
2022-11-13,MEM,14.0,51.0,Home,37.0,,339.0
2022-11-16,OKC,9.0,37.0,Home,28.0,,376.0
2022-11-18,MIA,10.0,53.0,Home,43.0,42.9,429.0
2022-11-20,CHO,15.0,51.0,Home,36.0,44.2,480.0
2022-11-28,MIN,15.0,45.0,Home,30.0,44.6,525.0
2022-12-04,LAL,9.0,51.0,Home,42.0,45.6,576.0
2022-12-10,LAC,9.0,42.0,Home,33.0,46.1,618.0
2022-12-12,BRK,7.0,41.0,Home,34.0,45.4,659.0
2022-12-27,PHI,10.0,39.0,Home,29.0,45.2,698.0
2022-12-28,PHO,11.0,30.0,Home,19.0,44.0,728.0
2023-01-09,NOP,12.0,44.0,Home,32.0,43.3,772.0
2023-01-11,CHI,8.0,39.0,Home,31.0,43.5,811.0
2023-01-13,NYK,14.0,54.0,Home,40.0,43.6,865.0
2023-01-16,GSW,9.0,43.0,Home,34.0,42.8,908.0
2023-01-21,ORL,9.0,41.0,Home,32.0,42.4,949.0
2023-02-03,POR,11.0,38.0,Home,27.0,41.1,987.0
2023-02-06,CLE,7.0,43.0,Home,36.0,41.2,1030.0
2023-02-08,CHO,12.0,40.0,Home,28.0,41.1,1070.0
2023-02-11,IND,17.0,33.0,Home,16.0,40.5,1103.0
2023-02-24,NYK,12.0,43.0,Home,31.0,41.8,1146.0
2023-03-02,TOR,13.0,43.0,Home,30.0,41.7,1189.0
2023-03-04,TOR,10.0,34.0,Home,24.0,41.2,1223.0
2023-03-05,MIL,7.0,45.0,Home,38.0,40.3,1268.0
2023-03-08,ATL,8.0,36.0,Home,28.0,39.6,1304.0
2023-03-10,ATL,13.0,46.0,Home,33.0,40.1,1350.0
2023-03-14,DET,19.0,44.0,Home,25.0,40.7,1394.0
2023-03-18,SAC,7.0,44.0,Home,37.0,40.8,1438.0
2023-03-22,DEN,11.0,41.0,Home,30.0,40.9,1479.0
2023-03-24,SAS,11.0,41.0,Home,30.0,41.7,1520.0
2023-03-28,BOS,7.0,38.0,Home,31.0,41.2,1558.0
2023-03-31,ORL,6.0,48.0,Home,42.0,41.7,1606.0
2023-04-04,MIL,12.0,56.0,Home,44.0,43.9,1662.0
2023-04-07,MIA,14.0,47.0,Home,33.0,44.1,1709.0
2023-04-09,HOU,13.0,51.0,Home,38.0,45.6,1760.0
