Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-19,WAS,14.0,53.0,Home,39.0,53.0,53.0
2022-10-21,SAS,7.0,37.0,Home,30.0,45.0,90.0
2022-10-22,DET,17.0,53.0,Home,36.0,47.666666666666664,143.0
2022-10-24,PHI,7.0,39.0,Away,32.0,45.5,182.0
2022-10-26,CHI,9.0,44.0,Away,35.0,45.2,226.0
2022-10-28,WAS,9.0,38.0,Away,29.0,44.0,264.0
2022-10-29,BRK,6.0,34.0,Away,28.0,42.57142857142857,298.0
2022-10-31,BRK,6.0,39.0,Away,33.0,42.125,337.0
2022-11-04,MIA,8.0,42.0,Home,34.0,42.111111111111114,379.0
2022-11-07,NOP,13.0,43.0,Home,30.0,42.2,422.0
2022-11-09,DEN,11.0,47.0,Home,36.0,41.6,469.0
2022-11-12,TOR,16.0,43.0,Home,27.0,42.2,512.0
2022-11-16,CHO,14.0,44.0,Away,30.0,41.3,556.0
2022-11-18,HOU,14.0,49.0,Away,35.0,42.3,605.0
2022-11-19,ORL,11.0,41.0,Home,30.0,42.0,646.0
2022-11-21,ORL,12.0,38.0,Home,26.0,42.0,684.0
2022-11-23,MIN,8.0,50.0,Home,42.0,43.6,734.0
2022-11-25,BRK,5.0,38.0,Home,33.0,43.5,772.0
2022-11-27,LAC,18.0,62.0,Away,44.0,45.5,834.0
2022-11-28,LAL,18.0,57.0,Away,39.0,46.9,891.0
2022-11-30,SAC,11.0,58.0,Away,47.0,48.0,949.0
2022-12-02,UTA,8.0,47.0,Away,39.0,48.4,996.0
2022-12-04,POR,11.0,45.0,Away,34.0,48.5,1041.0
2022-12-05,GSW,12.0,47.0,Away,35.0,48.3,1088.0
2022-12-07,MIN,16.0,51.0,Away,35.0,49.3,1139.0
2022-12-09,WAS,12.0,38.0,Home,26.0,49.3,1177.0
2022-12-10,BRK,29.0,59.0,Home,30.0,50.2,1236.0
2022-12-12,MIA,9.0,48.0,Home,39.0,51.2,1284.0
2022-12-14,GSW,12.0,46.0,Home,34.0,49.6,1330.0
2022-12-16,CLE,6.0,34.0,Away,28.0,47.3,1364.0
2022-12-18,NYK,14.0,49.0,Home,35.0,46.4,1413.0
2022-12-21,BOS,25.0,62.0,Away,37.0,47.9,1475.0
2022-12-23,MIA,13.0,38.0,Away,25.0,47.2,1513.0
2022-12-26,NOP,16.0,54.0,Away,38.0,47.9,1567.0
2022-12-27,ATL,9.0,42.0,Home,33.0,47.0,1609.0
2022-12-29,CLE,17.0,44.0,Home,27.0,47.6,1653.0
2022-12-31,LAC,8.0,39.0,Home,31.0,45.6,1692.0
2023-01-02,TOR,12.0,36.0,Home,24.0,44.4,1728.0
2023-01-04,PHI,14.0,46.0,Away,32.0,44.4,1774.0
2023-01-06,POR,12.0,52.0,Home,40.0,46.2,1826.0
2023-01-08,CHO,13.0,49.0,Home,36.0,46.2,1875.0
2023-01-11,NYK,12.0,50.0,Away,38.0,45.0,1925.0
2023-01-13,ATL,14.0,50.0,Home,36.0,46.2,1975.0
2023-01-14,MEM,7.0,45.0,Home,38.0,45.3,2020.0
2023-01-16,MIL,9.0,41.0,Away,32.0,45.2,2061.0
2023-01-18,OKC,13.0,42.0,Away,29.0,45.0,2103.0
2023-01-20,DEN,12.0,38.0,Away,26.0,44.9,2141.0
2023-01-21,PHO,14.0,55.0,Away,41.0,46.8,2196.0
2023-01-24,CHI,11.0,45.0,Home,34.0,46.7,2241.0
2023-01-25,ORL,9.0,34.0,Away,25.0,44.9,2275.0
2023-01-27,MIL,14.0,50.0,Home,36.0,45.0,2325.0
2023-01-29,MEM,15.0,41.0,Away,26.0,44.1,2366.0
2023-02-02,LAL,13.0,51.0,Home,38.0,44.2,2417.0
2023-02-03,SAC,11.0,49.0,Home,38.0,44.6,2466.0
2023-02-05,CLE,8.0,46.0,Home,38.0,45.1,2512.0
2023-02-08,MIA,15.0,48.0,Away,33.0,45.7,2560.0
2023-02-10,PHO,19.0,53.0,Home,34.0,47.2,2613.0
2023-02-11,WAS,8.0,40.0,Away,32.0,45.7,2653.0
2023-02-13,UTA,11.0,46.0,Home,35.0,45.8,2699.0
2023-02-15,CHI,6.0,38.0,Home,32.0,46.2,2737.0
2023-02-23,BOS,20.0,51.0,Home,31.0,46.3,2788.0
2023-02-25,ORL,15.0,55.0,Away,40.0,47.7,2843.0
2023-02-28,DAL,9.0,38.0,Away,29.0,46.4,2881.0
2023-03-02,SAS,13.0,50.0,Away,37.0,46.5,2931.0
2023-03-05,CHI,4.0,33.0,Away,29.0,45.2,2964.0
2023-03-06,PHI,5.0,36.0,Home,31.0,44.0,3000.0
2023-03-09,HOU,20.0,58.0,Home,38.0,44.5,3058.0
2023-03-11,DET,12.0,42.0,Away,30.0,44.7,3100.0
2023-03-13,DET,19.0,52.0,Away,33.0,45.3,3152.0
2023-03-16,MIL,9.0,44.0,Away,35.0,45.9,3196.0
2023-03-18,PHI,6.0,30.0,Home,24.0,43.8,3226.0
2023-03-20,CHO,10.0,37.0,Away,27.0,42.0,3263.0
2023-03-22,TOR,13.0,40.0,Away,27.0,42.2,3303.0
2023-03-24,BOS,9.0,49.0,Away,40.0,42.1,3352.0
2023-03-25,ATL,15.0,42.0,Away,27.0,43.0,3394.0
2023-03-27,DAL,4.0,33.0,Home,29.0,42.7,3427.0
2023-03-29,MIL,14.0,52.0,Home,38.0,42.1,3479.0
2023-03-31,OKC,11.0,45.0,Home,34.0,42.4,3524.0
2023-04-02,CLE,13.0,43.0,Away,30.0,41.5,3567.0
2023-04-05,NYK,20.0,52.0,Home,32.0,42.3,3619.0
2023-04-07,DET,10.0,42.0,Home,32.0,43.5,3661.0
2023-04-09,NYK,19.0,53.0,Away,34.0,45.1,3714.0
