Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds,Rebounds Allowed Last 10
2022-10-20,LAL,8.0,38.0,Away,30.0,38.0,38.0,43.13414634146341
2022-10-22,SAC,9.0,39.0,Away,30.0,38.5,77.0,38.0
2022-10-23,PHO,13.0,49.0,Home,36.0,42.0,126.0,38.5
2022-10-25,OKC,21.0,60.0,Away,39.0,46.5,186.0,42.0
2022-10-27,OKC,13.0,36.0,Away,23.0,44.4,222.0,46.5
2022-10-30,NOP,12.0,50.0,Home,38.0,45.333333333333336,272.0,44.4
2022-10-31,HOU,7.0,44.0,Home,37.0,45.142857142857146,316.0,45.333333333333336
2022-11-02,HOU,16.0,50.0,Away,34.0,45.75,366.0,45.142857142857146
2022-11-04,SAS,6.0,35.0,Away,29.0,44.55555555555556,401.0,45.75
2022-11-06,UTA,7.0,42.0,Home,35.0,44.3,443.0,44.55555555555556
2022-11-07,CLE,10.0,48.0,Home,38.0,45.3,491.0,44.3
2022-11-09,LAL,8.0,43.0,Home,35.0,45.7,534.0,45.3
2022-11-12,BRK,6.0,41.0,Home,35.0,44.9,575.0,45.7
2022-11-14,HOU,10.0,40.0,Away,30.0,42.9,615.0,44.9
2022-11-15,DAL,8.0,34.0,Away,26.0,42.7,649.0,42.9
2022-11-17,DET,10.0,43.0,Home,33.0,42.0,692.0,42.7
2022-11-19,SAS,15.0,43.0,Home,28.0,41.9,735.0,42.0
2022-11-21,UTA,16.0,45.0,Home,29.0,41.4,780.0,41.9
2022-11-23,GSW,12.0,45.0,Away,33.0,42.4,825.0,41.4
2022-11-25,DEN,10.0,37.0,Home,27.0,41.9,862.0,42.4
2022-11-27,IND,9.0,39.0,Home,30.0,41.0,901.0,41.9
2022-11-29,POR,9.0,43.0,Away,34.0,41.0,944.0,41.0
2022-11-30,UTA,13.0,46.0,Away,33.0,41.5,990.0,41.0
2022-12-03,SAC,8.0,46.0,Home,38.0,42.1,1036.0,41.5
2022-12-05,CHO,14.0,49.0,Away,35.0,43.6,1085.0,42.1
2022-12-07,ORL,16.0,53.0,Away,37.0,44.6,1138.0,43.6
2022-12-08,MIA,7.0,43.0,Away,36.0,44.6,1181.0,44.6
2022-12-10,WAS,8.0,50.0,Away,42.0,45.1,1231.0,44.6
2022-12-12,BOS,5.0,36.0,Home,31.0,44.2,1267.0,45.1
2022-12-14,MIN,7.0,43.0,Home,36.0,44.8,1310.0,44.2
2022-12-15,PHO,15.0,53.0,Home,38.0,46.2,1363.0,44.8
2022-12-17,WAS,7.0,42.0,Home,35.0,46.1,1405.0,46.2
2022-12-21,CHO,11.0,40.0,Home,29.0,45.5,1445.0,46.1
2022-12-23,PHI,6.0,39.0,Away,33.0,44.8,1484.0,45.5
2022-12-26,DET,16.0,45.0,Away,29.0,44.4,1529.0,44.8
2022-12-27,TOR,10.0,39.0,Away,29.0,43.0,1568.0,44.4
2022-12-29,BOS,11.0,49.0,Away,38.0,43.6,1617.0,43.0
2022-12-31,IND,8.0,36.0,Away,28.0,42.2,1653.0,43.6
2023-01-02,MIA,12.0,48.0,Home,36.0,43.4,1701.0,42.2
2023-01-05,DEN,10.0,57.0,Away,47.0,44.8,1758.0,43.4
2023-01-06,MIN,10.0,45.0,Away,35.0,44.0,1803.0,44.8
2023-01-08,ATL,7.0,43.0,Home,36.0,44.1,1846.0,44.0
2023-01-10,DAL,3.0,32.0,Home,29.0,43.3,1878.0,44.1
2023-01-13,DEN,10.0,43.0,Home,33.0,43.7,1921.0,43.3
2023-01-15,HOU,10.0,39.0,Home,29.0,43.1,1960.0,43.7
2023-01-17,PHI,8.0,33.0,Home,25.0,42.5,1993.0,43.1
2023-01-18,UTA,9.0,44.0,Away,35.0,42.0,2037.0,42.5
2023-01-20,SAS,12.0,34.0,Away,22.0,41.8,2071.0,42.0
2023-01-22,DAL,12.0,38.0,Away,26.0,40.8,2109.0,41.8
2023-01-24,LAL,9.0,32.0,Away,23.0,38.3,2141.0,40.8
2023-01-26,SAS,11.0,42.0,Home,31.0,38.0,2183.0,38.3
2023-01-28,ATL,15.0,47.0,Away,32.0,38.4,2230.0,38.0
2023-01-29,CLE,4.0,35.0,Away,31.0,38.7,2265.0,38.4
2023-01-31,CHI,6.0,51.0,Away,45.0,39.5,2316.0,38.7
2023-02-02,MIL,8.0,53.0,Away,45.0,40.9,2369.0,39.5
2023-02-04,NYK,10.0,46.0,Away,36.0,42.2,2415.0,40.9
2023-02-06,BRK,8.0,42.0,Away,34.0,42.0,2457.0,42.2
2023-02-08,DAL,8.0,44.0,Home,36.0,43.0,2501.0,42.0
2023-02-10,MIL,9.0,49.0,Home,40.0,44.1,2550.0,43.0
2023-02-14,GSW,8.0,36.0,Home,28.0,44.5,2586.0,44.1
2023-02-16,PHO,7.0,38.0,Away,31.0,44.1,2624.0,44.5
2023-02-24,SAC,12.0,43.0,Home,31.0,43.7,2667.0,44.1
2023-02-26,DEN,11.0,50.0,Away,39.0,45.2,2717.0,43.7
2023-02-28,MIN,10.0,46.0,Home,36.0,44.7,2763.0,45.2
2023-03-02,GSW,15.0,60.0,Away,45.0,45.4,2823.0,44.7
2023-03-03,SAC,9.0,45.0,Away,36.0,45.3,2868.0,45.4
2023-03-05,MEM,2.0,26.0,Home,24.0,43.7,2894.0,45.3
2023-03-08,TOR,15.0,41.0,Home,26.0,43.4,2935.0,43.7
2023-03-11,NYK,20.0,54.0,Home,34.0,43.9,2989.0,43.4
2023-03-15,GSW,7.0,36.0,Home,29.0,43.9,3025.0,43.9
2023-03-18,ORL,9.0,45.0,Home,36.0,44.6,3070.0,43.9
2023-03-19,POR,11.0,40.0,Away,29.0,44.3,3110.0,44.6
2023-03-21,OKC,12.0,47.0,Home,35.0,44.0,3157.0,44.3
2023-03-23,OKC,13.0,40.0,Home,27.0,43.4,3197.0,44.0
2023-03-25,NOP,12.0,45.0,Home,33.0,41.9,3242.0,43.4
2023-03-27,CHI,8.0,34.0,Home,26.0,40.8,3276.0,41.9
2023-03-29,MEM,14.0,45.0,Away,31.0,42.7,3321.0,40.8
2023-03-31,MEM,12.0,51.0,Away,39.0,43.7,3372.0,42.7
2023-04-01,NOP,14.0,40.0,Away,26.0,42.3,3412.0,43.7
2023-04-05,LAL,10.0,44.0,Home,34.0,43.1,3456.0,42.3
