Date,Opponent,Offensive Rebounds Allowed,Total Rebounds Allowed,Home/Away,Defensive Rebounds Allowed,Rebounds Allowed MA,Cumulative Total Rebounds
2022-10-18,GSW,11.0,48.0,Away,37.0,48.0,48.0
2022-10-20,LAC,10.0,58.0,Home,48.0,53.0,106.0
2022-10-23,POR,13.0,52.0,Home,39.0,52.666666666666664,158.0
2022-10-26,DEN,9.0,54.0,Away,45.0,53.0,212.0
2022-10-28,MIN,14.0,49.0,Away,35.0,52.2,261.0
2022-10-30,DEN,13.0,48.0,Home,35.0,51.5,309.0
2022-11-02,NOP,11.0,51.0,Home,40.0,51.42857142857143,360.0
2022-11-04,UTA,15.0,48.0,Home,33.0,51.0,408.0
2022-11-06,CLE,9.0,48.0,Home,39.0,50.666666666666664,456.0
2022-11-07,UTA,10.0,41.0,Away,31.0,49.7,497.0
2022-11-09,LAC,6.0,41.0,Away,35.0,49.0,538.0
2022-11-11,SAC,10.0,40.0,Home,30.0,47.2,578.0
2022-11-13,BRK,8.0,41.0,Home,33.0,46.1,619.0
2022-11-18,DET,10.0,37.0,Home,27.0,44.4,656.0
2022-11-20,SAS,13.0,44.0,Home,31.0,43.9,700.0
2022-11-22,PHO,8.0,49.0,Away,41.0,44.0,749.0
2022-11-25,SAS,20.0,50.0,Away,30.0,43.9,799.0
2022-11-26,SAS,17.0,47.0,Away,30.0,43.8,846.0
2022-11-28,IND,12.0,49.0,Home,37.0,43.9,895.0
2022-11-30,POR,12.0,45.0,Home,33.0,44.3,940.0
2022-12-02,MIL,10.0,42.0,Away,32.0,44.4,982.0
2022-12-04,WAS,11.0,44.0,Away,33.0,44.8,1026.0
2022-12-06,CLE,9.0,44.0,Away,35.0,45.1,1070.0
2022-12-07,TOR,17.0,54.0,Away,37.0,46.8,1124.0
2022-12-09,PHI,7.0,42.0,Away,35.0,46.6,1166.0
2022-12-11,DET,10.0,40.0,Away,30.0,45.7,1206.0
2022-12-13,BOS,13.0,51.0,Home,38.0,45.8,1257.0
2022-12-16,DEN,9.0,39.0,Home,30.0,45.0,1296.0
2022-12-18,WAS,10.0,48.0,Home,38.0,44.9,1344.0
2022-12-19,PHO,15.0,51.0,Away,36.0,45.5,1395.0
2022-12-21,SAC,10.0,46.0,Away,36.0,45.9,1441.0
2022-12-23,CHO,11.0,41.0,Home,30.0,45.6,1482.0
2022-12-25,DAL,11.0,38.0,Away,27.0,45.0,1520.0
2022-12-27,ORL,8.0,37.0,Away,29.0,43.3,1557.0
2022-12-28,MIA,10.0,37.0,Away,27.0,42.8,1594.0
2022-12-30,ATL,12.0,41.0,Away,29.0,42.9,1635.0
2023-01-02,CHO,8.0,47.0,Away,39.0,42.5,1682.0
2023-01-04,MIA,14.0,43.0,Home,29.0,42.9,1725.0
2023-01-06,ATL,7.0,39.0,Home,32.0,42.0,1764.0
2023-01-07,SAC,13.0,34.0,Away,21.0,40.3,1798.0
2023-01-09,DEN,14.0,55.0,Away,41.0,41.2,1853.0
2023-01-12,DAL,3.0,54.0,Home,51.0,42.5,1907.0
2023-01-15,PHI,5.0,38.0,Home,33.0,42.5,1945.0
2023-01-16,HOU,17.0,48.0,Home,31.0,43.6,1993.0
2023-01-18,SAC,14.0,47.0,Home,33.0,44.6,2040.0
2023-01-20,MEM,24.0,63.0,Home,39.0,46.8,2103.0
2023-01-22,POR,11.0,38.0,Away,27.0,45.9,2141.0
2023-01-24,LAC,7.0,47.0,Home,40.0,46.3,2188.0
2023-01-25,SAS,17.0,48.0,Home,31.0,47.2,2236.0
2023-01-28,BOS,7.0,46.0,Away,39.0,48.4,2282.0
2023-01-30,BRK,12.0,50.0,Away,38.0,47.9,2332.0
2023-01-31,NYK,13.0,45.0,Away,32.0,47.0,2377.0
2023-02-02,IND,6.0,46.0,Away,40.0,47.8,2423.0
2023-02-04,NOP,14.0,48.0,Away,34.0,47.8,2471.0
2023-02-07,OKC,7.0,37.0,Home,30.0,46.8,2508.0
2023-02-09,MIL,16.0,51.0,Home,35.0,45.6,2559.0
2023-02-11,GSW,7.0,43.0,Away,36.0,46.1,2602.0
2023-02-13,POR,8.0,42.0,Away,34.0,45.6,2644.0
2023-02-15,NOP,13.0,50.0,Home,37.0,45.8,2694.0
2023-02-23,GSW,17.0,48.0,Home,31.0,46.0,2742.0
2023-02-26,DAL,11.0,48.0,Away,37.0,45.8,2790.0
2023-02-28,MEM,14.0,47.0,Away,33.0,46.0,2837.0
